Country,Year,gain,gain_delta,economic,governance,readiness,readiness_delta,social,capacity,ecosystems,exposure,food,habitat,health,infrastructure,sensitivity,vulnerability,vulnerability_delta,water,biome_threat,business,coast_area,coast_popn,corruption,d-Ppt,d-Temp,daly,dependency_natural,ecological_footprint,electrical_outages,energy_access,energy_sensit,enrollment,external,fertilizers,finan,fiscal,food_capacity,gov_spend,health_disease,imports,international_treaties,invest,irrigated,labor,life,machinery,malnutr,matern,mobiles,monetary,non_violence,protected_biomes,road_floods,road_paved,rule_of_law,rural_popn,sanit,slums,staff,threatened_species,trade,trade_transport,urban_concentration,urban_excess_growth,urban_risk,voice_accountability,water_access,water_disease,water_use,yield_cv,yld_proj
Afghanistan,1995,nan,nan,nan,0.084916513,nan,nan,0.067873321,0.858883703,0.593736168,0.537768897,0.813755324,0.627196414,0.718236725,0.338598734,0.526096762,0.637589114,0.105472574,0.733860716,0.562664747,nan,0.0,0.0,0.129826588,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.011972418,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.724565114,nan,0.095273954,nan,0.823181999,0.000718672,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.153435303,0.802,0.71,nan,0.9712,0.199115501,nan,0.78,0.375793312,0.716812846,0.614375911,0.124922952,0.98,0.936666667,0.3557,nan,0.509166672
Afghanistan,1996,nan,nan,nan,0.084916513,nan,nan,0.067873321,0.854617965,0.595588303,0.536852344,0.813005324,0.631936732,0.717250383,0.338598734,0.52917513,0.636880862,0.103910154,0.726194049,0.562664747,nan,0.0,0.0,0.129826588,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.011972418,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.733825788,nan,0.095273954,nan,0.81726395,0.000719236,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.153435303,0.799,0.703999996,nan,0.9712,0.199115501,nan,0.78,0.365711223,0.750596525,0.614375911,0.124922952,0.94,0.936666667,0.3557,nan,0.509166672
Afghanistan,1997,nan,nan,nan,0.079596448,nan,nan,0.068474393,0.850294612,0.597313598,0.535960679,0.812255324,0.629211343,0.716273716,0.338598734,0.528493267,0.634949879,0.099661178,0.718527381,0.562664747,nan,0.0,0.0,0.130866623,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.011972418,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.74245226,nan,0.095273954,nan,0.81140395,0.00071568,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.154937983,0.796,0.697999992,nan,0.9712,0.199115501,nan,0.78,0.355902912,0.746777894,0.614375911,0.107922721,0.9,0.936666667,0.3557,nan,0.509166672
Afghanistan,1998,nan,nan,nan,0.074276379,nan,nan,0.069075452,0.845215849,0.597522215,0.535097305,0.811505324,0.626570489,0.715048594,0.338598734,0.527670551,0.632739818,0.095919176,0.710860717,0.562664747,nan,0.0,0.0,0.131906636,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.011972418,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.743495347,nan,0.095273954,nan,0.805573218,0.000709037,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.156440631,0.793,0.692000008,nan,0.969679999,0.199115501,nan,0.78,0.346405799,0.743070735,0.614375911,0.090922502,0.86,0.936666667,0.3557,nan,0.509166672
Afghanistan,1999,nan,nan,nan,0.073029367,nan,nan,0.067801709,0.840038824,0.597522215,0.534259556,0.810755324,0.624007289,0.71259877,0.338598734,0.526117605,0.630271594,0.095504696,0.70319405,0.562664747,nan,0.0,0.0,0.124181008,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.004563716,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.743495347,nan,0.095273954,nan,0.799802975,0.000718672,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.153256273,0.79,0.686000004,nan,0.96816,0.199115501,nan,0.78,0.337190554,0.739469981,0.614375911,0.094907093,0.82,0.936666667,0.3557,nan,0.509166672
Afghanistan,2000,nan,nan,nan,0.071782366,nan,nan,0.066527965,0.834872824,0.597522215,0.536750031,0.810005324,0.628786684,0.711660577,0.338598734,0.525470864,0.629280233,0.094955334,0.695527383,0.562664747,nan,0.0,0.0,0.116455378,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.006114556,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.743495347,nan,0.095273954,nan,0.794142975,0.000715866,1.0,1.0,0.0,nan,0.0,0.978235294,0.073593671,0.763400002,0.150071912,0.787,0.68,nan,0.96664,0.199115501,nan,0.78,0.364585777,0.73597173,0.614375911,0.098891721,0.78,0.936666667,0.3557,nan,0.509166672
Afghanistan,2001,nan,nan,nan,0.109595807,nan,nan,0.065431218,0.829723996,0.597522215,0.539497002,0.809205324,0.638054403,0.711123179,0.338598734,0.526989446,0.629083917,0.092646299,0.687860718,0.562664747,nan,0.0,0.0,0.165112448,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.009898461,0.017016801,nan,nan,0.943854623,nan,0.720565942,nan,0.743495347,nan,0.095273954,nan,0.788654682,0.000715866,1.0,1.0,0.0,nan,0.007296753,0.978235294,0.073593671,0.763400002,0.147330046,0.7838,0.674000015,nan,0.96512,0.199115501,nan,0.78,0.39480246,0.752093645,0.614375911,0.156378222,0.74,0.936666667,0.3557,nan,0.509166672
Afghanistan,2002,nan,nan,nan,0.1543495,nan,nan,0.064536734,0.825659865,0.597522215,0.54242612,0.811074391,0.643736882,0.73572131,0.338598734,0.54157929,0.633518673,0.095846195,0.680194048,0.562664747,nan,0.0,0.0,0.213769533,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.163084807,0.017016801,nan,nan,0.954530893,nan,0.720565942,nan,0.743495347,nan,0.073921413,nan,0.783337121,0.000715866,1.0,1.0,0.001011369,nan,0.035414268,0.978235294,0.073593671,0.763400002,0.14458815,0.7806,0.667999992,nan,0.96484,0.199115501,nan,0.78,0.427022766,0.748285736,0.614375911,0.213864699,0.7,0.936666667,0.3557,nan,0.509166672
Afghanistan,2003,nan,nan,nan,0.161451272,nan,nan,0.070382113,0.817596669,0.597522215,0.545542443,0.802912861,0.64985327,0.734741243,0.338598734,0.540820074,0.631778526,0.102359634,0.672527384,0.562664747,nan,0.0,0.0,0.190094071,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016248,0.162670259,0.01637545,nan,nan,0.927941883,nan,0.720565942,nan,0.743495347,nan,0.127740783,nan,0.778151267,0.000715866,0.997142887,1.0,0.007864681,nan,0.052205289,0.978235294,0.073593671,0.763400002,0.155774941,0.7774,0.662000008,nan,0.96456,0.199115501,nan,0.78,0.461302316,0.744588124,0.614375911,0.242054457,0.66,0.936666667,0.3557,nan,0.509166672
Afghanistan,2004,nan,nan,nan,0.173827668,nan,nan,0.07835056,0.800242539,0.597522215,0.54725576,0.771521324,0.65290427,0.739680955,0.338598734,0.543622265,0.627692303,0.101672706,0.664860713,0.562664747,nan,0.0,0.0,0.226452968,0.720797628,0.7,0.782499988,nan,0.504100187,0.649,0.856,nan,0.016389571,0.197763653,0.02267784,nan,nan,0.942718623,nan,0.720565942,nan,0.743495347,nan,0.091884915,nan,0.772976145,0.000715866,0.86,1.0,0.022934218,nan,0.038683604,0.978235294,0.073593671,0.763400002,0.16801972,0.7742,0.655999985,nan,0.96428,0.199115501,nan,0.78,0.480148795,0.740996645,0.614375911,0.256346433,0.62,0.936666667,0.3557,nan,0.509166672
