ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,,,,,,,0
ALB,Albania,42.6,62.9,67.7,57.8,59.7,71.8,86.0,85.8,79.6,85.0,84.5,80.3,80.4,79.6,78.7,79.9,R-IEF Monetary Free.xls
DZA,Algeria,57.0,56.0,60.1,69.0,74.0,78.2,82.8,78.9,81.1,80.1,78.8,80.7,80.2,78.6,77.2,75.4,20
AND,Andorra,,,,,,,,,,,,,,,,,20
AGO,Angola,,,,,,,,,,,40.3,47.7,57.8,61.8,62.6,61.8,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,78.6
ARG,Argentina,77.5,82.0,87.7,89.8,89.6,95.4,94.3,88.5,64.0,65.4,71.5,71.4,65.0,60.6,61.2,63.2,76.3
ARM,Armenia,,,,55.5,69.1,77.8,91.1,81.7,84.5,82.0,80.6,80.3,84.6,77.8,72.9,76.0,
AUS,Australia,86.5,82.8,84.0,87.9,89.0,87.9,83.3,82.1,83.2,84.0,85.0,84.8,83.7,84.7,82.7,85.0,61.2
AUT,Austria,83.6,84.8,86.0,87.2,88.4,89.6,86.4,85.1,85.9,87.0,86.4,86.0,81.4,80.9,79.3,82.9,
AZE,Azerbaijan,,,,37.8,70.7,65.1,78.8,84.8,80.2,80.4,75.5,76.8,76.5,66.3,62.7,72.6,60.7
BHS,Bahamas,85.8,86.1,86.9,88.4,87.0,87.3,88.1,80.4,82.5,79.5,82.2,76.1,76.3,75.5,72.7,,73.1
BHR,Bahrain,89.1,85.2,89.6,83.5,89.2,90.3,84.3,83.4,84.7,89.0,86.3,80.1,74.3,74.0,73.4,74.0,84.5
BGD,Bangladesh,70.7,66.1,71.1,71.0,68.1,68.6,72.7,80.8,78.9,76.3,74.9,68.7,68.9,67.3,66.6,,82.2
BRB,Barbados,89.0,87.5,85.9,79.6,88.0,87.4,86.3,85.1,88.9,87.7,87.7,76.6,74.0,74.5,73.1,76.3,74.5
BLR,Belarus,,,,15.9,32.5,,,14.1,31.6,42.7,49.8,61.5,66.2,66.8,62.6,62.2,76
BEL,Belgium,85.0,86.4,86.1,86.7,87.9,88.3,86.0,85.2,81.3,81.8,81.5,80.5,80.4,81.0,77.9,82.5,70.4
BLZ,Belize,85.4,84.6,80.6,85.0,92.0,88.9,94.0,89.2,86.5,85.2,84.2,73.2,77.3,78.4,75.6,78.8,67.5
BEN,Benin,57.9,62.3,69.7,76.1,75.6,81.2,78.3,77.8,79.0,81.1,83.1,82.4,77.5,79.6,74.6,78.2,75.8
BTN,Bhutan,,,,,,,,,,,,,,75.9,73.4,71.8,65.3
BOL,"Bolivia, Plurinational State of",81.6,80.5,78.6,83.2,82.8,87.7,81.9,85.2,87.5,84.9,82.6,70.9,76.5,67.9,63.2,68.8,81.2
BIH,Bosnia and Herzegovina,,,,,83.3,75.2,77.2,77.9,82.4,84.5,86.1,82.5,76.6,79.0,74.7,80.6,77.6
BWA,Botswana,68.1,74.2,74.8,75.8,77.7,77.6,76.9,78.0,77.4,76.4,77.6,76.8,69.7,71.8,68.8,70.9,79.7
