ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,-1.87538524,,-2.045387492,,-2.005541396,,-1.430676503,-1.289727713,-1.218267837,-1.17171726,-1.198665762,-1.128073422,-1.264163331,-1.424107484,-1.454594532,
ALB,Albania,,-0.835756681,,-0.448077632,,-0.27610542,,-0.07354491,0.098270501,0.026297842,-0.038514572,0.027976232,0.033513626,0.144362364,0.1050969,0.097512696,
DZA,Algeria,,-1.284640943,,-1.432767315,,-1.181630167,,-1.05653001,-1.108298759,-0.760152643,-0.740252666,-0.943814158,-0.988516256,-0.98081936,-1.025964962,-1.008794209,
AND,Andorra,,1.636086085,,1.619103588,,1.594051843,,1.454778498,1.316016592,1.479101659,1.435702143,1.342519019,1.331404868,1.369367103,1.346977114,1.359626252,
AGO,Angola,,-1.649409263,,-1.421895267,,-1.543486842,,-1.284327173,-1.249994794,-1.26510099,-1.239537545,-1.229887202,-1.141211179,-1.096368828,-1.143010999,-1.139245651,
ATG,Antigua and Barbuda,,0.127786627,,0.082316813,,0.150430183,,0.111794992,0.187717009,0.530965517,0.512552508,0.593253958,0.532481808,0.571521453,0.582322007,0.507985131,
ARG,Argentina,,0.298000768,,0.158382886,,0.259122364,,0.161864804,0.31681868,0.338383976,0.219582571,0.337485547,0.368984205,0.266557424,0.242874528,0.309604138,
ARM,Armenia,,-0.768857581,,-0.556859435,,-0.433452776,,-0.560208224,-0.51798617,-0.516922406,-0.631667747,-0.729760492,-0.762149328,-0.860651163,-0.887454717,-0.851710256,
AUS,Australia,,1.475130666,,1.425013561,,1.514145215,,1.397300834,1.406009808,1.501494574,1.507007823,1.380300198,1.355062307,1.3776083,1.382417804,1.428903554,
AUT,Austria,,1.541738561,,1.420740967,,1.384464277,,1.305851855,1.317316959,1.49319396,1.373607275,1.388879058,1.351724894,1.372752377,1.390364648,1.440676269,
AZE,Azerbaijan,,-1.155043099,,-0.956936867,,-0.981445043,,-0.896243211,-1.01269256,-0.979528077,-1.049248166,-1.21203879,-1.183570319,-1.278047349,-1.232517721,-1.272331561,
BHS,Bahamas,,1.069910864,,1.139683037,,1.163864225,,1.172978999,1.067982942,1.023438455,0.986059697,1.052954712,1.128815106,1.103969744,1.023304984,0.998521024,
BHR,Bahrain,,-0.762143776,,-1.033065934,,-1.062608478,,-0.618346401,-0.692843294,-0.612294113,-0.767785848,-0.920250702,-0.876904932,-0.894144831,-0.782368008,-0.854846263,
BGD,Bangladesh ,,-0.148571476,,-0.257980341,,-0.283969185,,-0.450183722,-0.605690659,-0.654909608,-0.565220077,-0.449685972,-0.522880186,-0.452677446,-0.300323757,-0.27560594,
BRB,Barbados,,1.510446234,,1.452977634,,1.424701435,,1.375673029,1.217497306,1.151967941,1.055965612,1.142406237,1.136117159,1.06764043,1.20177512,1.211264968,
BLR,Belarus,,-1.095374713,,-0.898418141,,-1.34973801,,-1.401035865,-1.353775904,-1.370811435,-1.745388652,-1.770482919,-1.695001965,-1.599539625,-1.561973608,-1.553724788,
BEL,Belgium,,1.482258719,,1.363261717,,1.394334524,,1.384074802,1.473491553,1.46633642,1.40908154,1.370768187,1.389385595,1.359272024,1.409320091,1.42778387,
BLZ,Belize,,0.758694779,,0.808342038,,0.898447056,,0.824953335,0.882262642,0.759296159,0.748599182,0.540629199,0.587704571,0.670950362,0.785391984,0.707811745,
BEN,Benin,,0.13030428,,0.374412604,,0.387698905,,0.058472164,0.168049439,0.022474622,0.078134356,0.316849945,0.392271747,0.313776297,0.332639834,0.290077979,
BTN,Bhutan,,-0.733779828,,-0.980228355,,-0.958760522,,-1.219845731,-1.214390592,-0.940018846,-1.049718614,-0.947872966,-0.807630888,-0.566377644,-0.518399392,-0.461899994,
BOL,"Bolivia, Plurinational State of",,0.036847591,,0.283313571,,0.07738758,,0.066361149,-0.028232748,-0.164779636,-0.181350629,0.084511291,0.046777486,-0.021857501,-0.042581916,-0.088978093,
BIH,Bosnia and Herzegovina,,-0.215771949,,-0.126875542,,-0.068070965,,-0.228111739,0.010937265,0.07643879,0.059944853,0.140185478,0.085281933,-0.016536511,-0.031455307,-0.116466239,
BWA,Botswana,,0.856781379,,0.736899587,,0.662015628,,0.63978995,0.657432234,0.723482442,0.573011645,0.476705541,0.48984142,0.471857653,0.392697201,0.432291648,
BRA,Brazil,,0.099588354,,0.192373763,,0.167548936,,0.368578913,0.477439952,0.353336661,0.430191361,0.458153157,0.505937889,0.504027096,0.481392448,0.499221577,
BRN,Brunei Darussalam,,-0.64059309,,-0.755090647,,-0.730679819,,-0.906806583,-1.007835049,-0.820067642,-1.018345493,-1.088436814,-1.042111028,-1.00469855,-0.796643524,-0.695794352,
BGR,Bulgaria,,0.385617125,,0.367078121,,0.477460023,,0.577365779,0.518843516,0.556697108,0.497805407,0.59625692,0.659401619,0.58059205,0.53191207,0.485637139,
BFA,Burkina Faso,,-0.760416186,,-0.551388762,,-0.327412912,,-0.455552068,-0.31135202,-0.421028977,-0.413801109,-0.317992824,-0.341978655,-0.304313419,-0.25972204,-0.240204437,
BDI,Burundi,,-1.594506292,,-1.509782455,,-1.67853097,,-1.290051353,-1.317059585,-1.340902885,-0.674332197,-0.760466218,-0.75081884,-0.772441744,-0.715736584,-0.921315531,
KHM,Cambodia,,-0.778840575,,-0.88227567,,-0.783970146,,-0.732375854,-0.948009476,-0.849187447,-1.0063483,-0.889113809,-0.882816861,-0.945755301,-0.889550276,-0.872836585,
CMR,Cameroon,,-0.953994933,,-1.161717901,,-1.137861255,,-1.160663799,-1.133463497,-0.963601777,-1.040731596,-0.996476918,-0.979563861,-1.055204309,-0.98863061,-1.061796818,
CAN,Canada,,1.630358408,,1.597085457,,1.581750424,,1.488984204,1.518421448,1.672854189,1.483371048,1.405902531,1.36925643,1.411496246,1.428308199,1.379444766,
CPV,Cape Verde,,0.736198121,,0.73343705,,0.573434527,,0.573452333,0.645238216,0.669258557,0.470488108,0.726279787,0.836112365,0.887219777,0.844884981,0.854541923,
CAF,Central African Republic,,-0.934975025,,-0.658513145,,-0.647611462,,-1.026574754,-1.306541247,-1.292493189,-0.846375892,-0.990790895,-1.060371731,-1.006306666,-0.946280662,-1.123859826,
TCD,Chad,,-1.035475721,,-0.98785491,,-0.931756121,,-0.922427222,-1.095022857,-1.206443112,-1.382704004,-1.510826128,-1.421600068,-1.462024077,-1.416497742,-1.383462578,
CHL,Chile,,0.651305419,,0.462488122,,0.82026745,,1.043546522,0.978035888,1.170552498,1.224517437,0.976285271,1.042655924,0.970040103,0.951367689,1.042662503,
CHN,China,,-1.294129305,,-1.380069428,,-1.271384557,,-1.57439088,-1.546737979,-1.452430637,-1.512274914,-1.666923476,-1.70412195,-1.6592774,-1.656167704,-1.649501221,
COL,Colombia,,-0.647206162,,-0.537301219,,-0.596471197,,-0.495669044,-0.511598174,-0.299736483,-0.284499099,-0.167207809,-0.230693851,-0.216833823,-0.176197729,-0.185530888,
COM,Comoros,,-0.694728647,,-0.634223068,,-1.029297087,,-0.578667705,-0.467973591,-0.536594129,-0.588018089,-0.240760493,-0.413128584,-0.265576716,-0.266652175,-0.399568627,
COG,Congo,,-1.033879905,,-1.655396397,,-1.657456431,,-0.872087084,-0.812288299,-0.957398208,-1.081028025,-1.164625208,-1.149337682,-1.111029847,-1.066012471,-1.031387753,
COD,"Congo, the Democratic Republic of the",,-1.693480194,,-1.895573339,,-1.837016171,,-1.701568785,-1.602464411,-1.698194557,-1.585372197,-1.33476059,-1.384155453,-1.448456617,-1.423572686,-1.41737979,
CRI,Costa Rica,,1.07037482,,1.167949752,,1.067451743,,1.098609706,0.966023191,0.995586722,0.816636786,0.883947811,0.912251982,0.951765677,0.999496792,1.027426938,
CIV,C™te d'Ivoire,,-0.580853641,,-0.729928579,,-1.127439184,,-1.190548463,-1.254519138,-1.285029608,-1.500162068,-1.363791524,-1.265603843,-1.257135311,-1.122408567,-1.117035679,
HRV,Croatia,,-0.188533322,,-0.311615128,,0.414466453,,0.530371953,0.6949287,0.712590242,0.462844604,0.460075912,0.475248692,0.514764548,0.549492421,0.441442905,
CUB,Cuba,,-1.411541579,,-1.620613904,,-1.633361419,,-1.658094956,-1.858298882,-1.798750381,-1.870248884,-1.914620799,-1.899259785,-1.787276453,-1.723854818,-1.621731306,
CYP,Cyprus,,1.084735832,,1.016343153,,1.148250699,,1.18451878,1.044592017,0.989764305,0.974720657,1.077707599,1.025696727,1.024933335,1.11177321,1.064023044,
CZE,Czech Republic,,1.03272664,,0.942818556,,0.713204842,,1.003406788,0.976916241,0.967218114,0.92683483,0.997690389,1.031500862,1.071210877,1.053503311,1.017954078,
DNK,Denmark,,1.589978,,1.491474591,,1.577522024,,1.539059226,1.596435524,1.825517397,1.76323294,1.621790742,1.487767671,1.593297556,1.572082773,1.58057155,
DJI,Djibouti,,-1.000975783,,-1.056459866,,-0.61904557,,-0.596099018,-0.566432313,-0.651797871,-1.053995954,-1.08587136,-1.192296437,-1.13263911,-1.133240671,-1.140288575,
DMA,Dominica,,0.963847716,,1.035274309,,1.022084177,,1.098545285,1.087115157,0.990683337,0.970234348,1.030409858,1.041935556,1.007648171,0.961463735,1.012136252,
DOM,Dominican Republic,,-0.039874366,,-0.038132606,,0.159750665,,0.21589959,-0.003336035,0.043634927,-0.032613963,0.202105773,0.215390076,0.145538754,0.10611156,0.052127646,
