ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57
ALB,Albania,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408
DZA,Algeria,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327
ATG,Antigua and Barbuda,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ARG,Argentina,3.511,3.608999968,3.707000017,3.804999828,3.902999878,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001
ARM,Armenia,37.65,34.58200073,31.51399994,28.44600105,25.37800026,22.31,25.12599945,27.94199944,30.75799942,33.5739975,36.39,36.39,36.39,36.39,36.39,36.39,36.39
AUS,Australia,4.504,4.519800186,4.535600185,4.551400185,4.567200184,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583,4.583
AUT,Austria,4.687,4.690399647,4.693799973,4.697199821,4.700600147,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704,4.704
AZE,Azerbaijan,36.07,34.66400146,33.25799942,31.85200119,30.44600105,29.04,30.27400017,31.50799942,32.74200058,33.97599792,35.21,35.21,35.21,35.21,35.21,35.21,35.21
BHS,Bahamas,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
BHR,Bahrain,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8
BGD,Bangladesh ,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923,2.923
BRB,Barbados,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12
