ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,,,,14.4,,,
ALB,Albania,,,,,,,,,,,,,,100.0,,,
DZA,Algeria,,,,,,,,,,,,,,99.3,,,
AND,Andorra,,,,,,,,,,,,,,100.0,,,
AGO,Angola,,,,,,,,,,,,,,26.2,,,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,95.0,,,
ARG,Argentina,,,,,,,,,,,,,,97.2,,,
ARM,Armenia,,,,,,,,,,,,,,100.0,,,
AUS,Australia,,,,,,,,,,,,,,100.0,,,
AUT,Austria,,,,,,,,,,,,,,100.0,,,
AZE,Azerbaijan,,,,,,,,,,,,,,100.0,,,
BHS,Bahamas,,,,,,,,,,,,,,94.0,,,
BHR,Bahrain,,,,,,,,,,,,,,99.4,,,
BGD,Bangladesh,,,,,,,,,,,,,,41.0,,,
BRB,Barbados,,,,,,,,,,,,,,100.0,,,
BLR,Belarus,,,,,,,,,,,,,,100.0,,,
BEL,Belgium,,,,,,,,,,,,,,100.0,,,
BLZ,Belize,,,,,,,,,,,,,,91.7,,,
BEN,Benin,,,,,,,,,,,,,,24.8,,,
BTN,Bhutan,,,,,,,,,,,,,,68.5,,,
BOL,"Bolivia, Plurinational State of",,,,,,,,,,,,,,77.5,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,100.0,,,
BWA,Botswana,,,,,,,,,,,,,,45.4,,,
BRA,Brazil,,,,,,,,,,,,,,97.8,,,
BRN,Brunei Darussalam,,,,,,,,,,,,,,99.7,,,
BGR,Bulgaria,,,,,,,,,,,,,,100.0,,,
BFA,Burkina Faso,,,,,,,,,,,,,,10.0,,,
BDI,Burundi,,,,,,,,,,,,,,2.8,,,
KHM,Cambodia,,,,,,,,,,,,,,24.0,,,
CMR,Cameroon,,,,,,,,,,,,,,29.4,,,
CAN,Canada,,,,,,,,,,,,,,100.0,,,
CPV,Cape Verde,,,,,,,,,,,,,,70.4,,,
CAF,Central African Republic,,,,,,,,,,,,,,5.1,,,
TCD,Chad,,,,,,,,,,,,,,3.5,,,
CHL,Chile,,,,,,,,,,,,,,98.5,,,
CHN,China,,,,,,,,,,,,,,99.4,,,
COL,Colombia,,,,,,,,,,,,,,93.6,,,
COM,Comoros,,,,,,,,,,,,,,40.1,,,
COG,Congo,,,,,,,,,,,,,,30.0,,,
COD,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,
CRI,Costa Rica,,,,,,,,,,,,,,99.1,,,
CIV,C™te d'Ivoire,,,,,,,,,,,,,,47.3,,,
HRV,Croatia,,,,,,,,,,,,,,100.0,,,
CUB,Cuba,,,,,,,,,,,,,,97.0,,,
CYP,Cyprus,,,,,,,,,,,,,,100.0,,,
CZE,Czech Republic,,,,,,,,,,,,,,100.0,,,
DNK,Denmark,,,,,,,,,,,,,,100.0,,,
DJI,Djibouti,,,,,,,,,,,,,,49.7,,,
DMA,Dominica,,,,,,,,,,,,,,99.0,,,
DOM,Dominican Republic,,,,,,,,,,,,,,95.9,,,
ECU,Ecuador,,,,,,,,,,,,,,92.2,,,
EGY,Egypt,,,,,,,,,,,,,,99.4,,,
SLV,El Salvador,,,,,,,,,,,,,,86.4,,,
GNQ,Equatorial Guinea,,,,,,,,,,,,,,27.0,,,
ERI,Eritrea,,,,,,,,,,,,,,32.0,,,
EST,Estonia,,,,,,,,,,,,,,100.0,,,
ETH,Ethiopia,,,,,,,,,,,,,,15.3,,,
FJI,Fiji,,,,,,,,,,,,,,60.0,,,
FIN,Finland,,,,,,,,,,,,,,100.0,,,
FRA,France,,,,,,,,,,,,,,100.0,,,
GAB,Gabon,,,,,,,,,,,,,,36.7,,,
GMB,Gambia,,,,,,,,,,,,,,8.3,,,
GEO,Georgia,,,,,,,,,,,,,,100.0,,,
DEU,Germany,,,,,,,,,,,,,,100.0,,,
GHA,Ghana,,,,,,,,,,,,,,54.0,,,
GRC,Greece,,,,,,,,,,,,,,100.0,,,
GRD,Grenada,,,,,,,,,,,,,,99.5,,,
GTM,Guatemala,,,,,,,,,,,,,,80.5,,,
GIN,Guinea,,,,,,,,,,,,,,20.2,,,
GNB,Guinea-Bissau,,,,,,,,,,,,,,11.5,,,
GUY,Guyana,,,,,,,,,,,,,,77.5,,,
HTI,Haiti,,,,,,,,,,,,,,38.5,,,
HND,Honduras,,,,,,,,,,,,,,70.3,,,
HUN,Hungary,,,,,,,,,,,,,,100.0,,,
ISL,Iceland,,,,,,,,,,,,,,100.0,,,
IND,India,,,,,,,,,,,,,,64.5,,,
IDN,Indonesia,,,,,,,,,,,,,,64.5,,,
IRN,"Iran, Islamic Republic of",,,,,,,,,,,,,,98.4,,,
IRQ,Iraq,,,,,,,,,,,,,,85.0,,,
IRL,Ireland,,,,,,,,,,,,,,100.0,,,
ISR,Israel,,,,,,,,,,,,,,100.0,,,
ITA,Italy,,,,,,,,,,,,,,100.0,,,
JAM,Jamaica,,,,,,,,,,,,,,92.0,,,
JPN,Japan,,,,,,,,,,,,,,100.0,,,
JOR,Jordan,,,,,,,,,,,,,,99.9,,,
KAZ,Kazakhstan,,,,,,,,,,,,,,100.0,,,
KEN,Kenya,,,,,,,,,,,,,,15.0,,,
KIR,Kiribati,,,,,,,,,,,,,,60.0,,,
PRK,"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,,
KOR,"Korea, Republic of",,,,,,,,,,,,,,26.0,,,
KWT,Kuwait,,,,,,,,,,,,,,100.0,,,
KGZ,Kyrgyzstan,,,,,,,,,,,,,,100.0,,,
LAO,Lao People's Democratic Republic,,,,,,,,,,,,,,55.0,,,
LVA,Latvia,,,,,,,,,,,,,,100.0,,,
LBN,Lebanon,,,,,,,,,,,,,,99.9,,,
LSO,Lesotho,,,,,,,,,,,,,,16.0,,,
LBR,Liberia,,,,,,,,,,,,,,3.3,,,
LBY,Libyan Arab Jamahiriya,,,,,,,,,,,,,,99.8,,,
LIE,Liechtenstein,,,,,,,,,,,,,,100.0,,,
LTU,Lithuania,,,,,,,,,,,,,,100.0,,,
LUX,Luxembourg,,,,,,,,,,,,,,100.0,,,
MDG,Madagascar,,,,,,,,,,,,,,19.0,,,
MWI,Malawi,,,,,,,,,,,,,,9.0,,,
MYS,Malaysia,,,,,,,,,,,,,,99.4,,,
MDV,Maldives,,,,,,,,,,,,,,100.0,,,
MLI,Mali,,,,,,,,,,,,,,17.4,,,
MLT,Malta,,,,,,,,,,,,,,100.0,,,
MHL,Marshall Islands,,,,,,,,,,,,,,74.5,,,
MRT,Mauritania,,,,,,,,,,,,,,30.1,,,
MUS,Mauritius,,,,,,,,,,,,,,99.4,,,
MEX,Mexico,,,,,,,,,,,,,,98.5,,,
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,54.0,,,
MDA,"Moldova, Republic of",,,,,,,,,,,,,,100.0,,,
MCO,Monaco,,,,,,,,,,,,,,100.0,,,
MKD,Macedonia ,,,,,,,,,,,,,,100.0,,,
MNG,Mongolia,,,,,,,,,,,,,,67.0,,,
MNE,Montenegro,,,,,,,,,,,,,,100.0,,,
MAR,Morocco,,,,,,,,,,,,,,97.0,,,
MOZ,Mozambique,,,,,,,,,,,,,,11.7,,,
MMR,Myanmar,,,,,,,,,,,,,,13.0,,,
NAM,Namibia,,,,,,,,,,,,,,34.0,,,
NRU,Nauru,,,,,,,,,,,,,,99.9,,,
NPL,Nepal,,,,,,,,,,,,,,43.6,,,
NLD,Netherlands,,,,,,,,,,,,,,100.0,,,
NZL,New Zealand,,,,,,,,,,,,,,100.0,,,
NIC,Nicaragua,,,,,,,,,,,,,,72.1,,,
NER,Niger,,,,,,,,,,,,,,9.3,,,
NGA,Nigeria,,,,,,,,,,,,,,46.8,,,
NOR,Norway,,,,,,,,,,,,,,100.0,,,
OMN,Oman,,,,,,,,,,,,,,98.0,,,
PAK,Pakistan,,,,,,,,,,,,,,57.6,,,
PLW,Palau,,,,,,,,,,,,,,99.5,,,
PAN,Panama,,,,,,,,,,,,,,88.1,,,
PNG,Papua New Guinea,,,,,,,,,,,,,,10.0,,,
PRY,Paraguay,,,,,,,,,,,,,,94.5,,,
PER,Peru,,,,,,,,,,,,,,76.9,,,
PHL,Philippines,,,,,,,,,,,,,,86.0,,,
POL,Poland,,,,,,,,,,,,,,100.0,,,
PRT,Portugal,,,,,,,,,,,,,,100.0,,,
QAT,Qatar,,,,,,,,,,,,,,98.7,,,
ROU,Romania,,,,,,,,,,,,,,100.0,,,
RUS,Russian Federation,,,,,,,,,,,,,,100.0,,,
RWA,Rwanda,,,,,,,,,,,,,,4.8,,,
KNA,Saint Kitts and Nevis,,,,,,,,,,,,,,87.0,,,
LCA,Saint Lucia,,,,,,,,,,,,,,99.0,,,
VCT,Saint Vincent and the Grenadines,,,,,,,,,,,,,,99.0,,,
WSM,Samoa,,,,,,,,,,,,,,97.0,,,
