ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,568.5519461,631.7827124,672.0791954,748.1128133,808.9020726,874.1979929,879.0326756,1029.215154,1082.949267,
ALB,Albania,3598.354761,3961.757375,3581.470551,4053.182072,4471.72045,4799.513398,5126.26431,5253.756466,5522.970763,5814.835828,6101.576853,6376.603379,6725.003521,7216.119498,7427.807916,7660.043814,7861.131481
DZA,Algeria,5625.910457,5755.813183,5728.374113,5933.120682,6036.459463,6081.408236,6149.22366,6344.119808,6681.642459,6924.379244,7168.564544,7201.681842,7305.142336,7367.171813,7431.280165,7564.391141,7643.171434
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,2090.259199,2259.483083,2373.277048,2468.013528,2477.574544,2476.18349,2471.999957,2734.74834,2728.21281,2931.128681,3354.650958,3926.104097,4671.694081,5166.084593,5143.279103,5171.713948,5201.308694
ATG,Antigua and Barbuda,14958.82981,15557.21906,15894.95928,16177.70402,16446.56646,16330.94142,16373.94709,16507.26021,17087.72618,18041.92215,18556.03467,20763.38113,18560.94944,18628.99509,16526.50579,14904.48839,14139.04569
ARG,Argentina,9593.417106,9999.691346,10681.27274,10963.67841,10474.70439,10282.40569,9731.205523,8589.246354,9263.679689,10010.70849,10833.40561,11647.3845,12544.62012,13275.68445,13272.2035,14362.61581,15501.42072
ARM,Armenia,1706.192383,1835.300377,1918.844455,2075.962425,2157.289689,2295.358013,2523.155836,2860.291798,3262.446256,3601.532202,4096.440119,4631.212472,5260.535273,5614.552099,4810.88772,4900.474333,5112.397885
AUS,Australia,25385.45046,26101.73154,26836.69461,27776.29108,28877.68626,29662.9653,29871.95938,30661.56113,31276.5457,32200.84116,32719.02501,33233.32568,33805.98448,34405.90488,34183.62126,34409.47442,34548.31969
AUT,Austria,27425.8194,28064.39862,28679.8631,29732.90823,30725.35544,31775.73316,31925.7334,32307.13267,32428.53081,33062.53159,33626.38683,34688.34224,35834.55607,36177.36111,34681.08772,35380.23766,36352.99748
AZE,Azerbaijan,1853.794686,1859.025573,1947.966603,2122.521692,2259.670188,2489.953857,2715.340053,2980.840663,3289.675898,3593.625159,4496.143936,5981.242209,7395.156017,8023.568247,8589.563915,8912.370497,8889.890598
BHS,Bahamas,26394.25146,27130.53488,27348.74717,28308.07382,29977.91102,30837.54213,31232.22674,31636.90897,30793.70935,30617.66941,31199.35797,31519.93406,31509.64853,30334.62498,28459.74029,28134.84802,28239.05741
BHR,Bahrain,21925.47795,22197.50003,22186.64754,22555.18217,22942.2258,23725.56667,24650.19865,25964.58002,27614.94073,28093.65495,28068.47168,26752.5515,25404.38292,23755.4762,22037.23663,21345.19106,
BGD,Bangladesh ,829.844683,850.5234198,878.4605497,906.362208,932.477445,969.7849603,1002.730381,1028.899387,1065.142089,1114.633367,1164.596077,1226.399293,1290.693441,1356.258493,1418.986839,1488.286811,1568.437856
BRB,Barbados,15589.68935,15826.28022,16784.27233,17418.45354,17815.32354,18175.86709,17213.43023,16564.77832,16861.26803,17446.61083,17964.8368,18540.77949,18591.21135,18586.21912,17564.36616,,
BLR,Belarus,4198.924437,4330.939282,4845.172504,5277.204636,5475.117427,5810.043576,6105.786817,6443.088487,6932.533067,7765.217946,8540.816352,9436.321528,10284.54004,11456.61003,11590.01457,12504.80624,13191.19114
BEL,Belgium,26705.64817,27033.1748,27975.04975,28453.84294,29393.57797,30398.44681,30538.75359,30815.599,30934.38116,31807.18698,32189.35133,32846.93669,33558.65196,33617.42962,32414.0013,32837.35224,33126.51554
BLZ,Belize,4840.64365,4788.163758,4785.463817,4787.554509,5109.373842,5620.663922,5727.332455,5840.045092,6186.142736,6268.152245,6254.342073,6337.175353,6213.598683,6218.930074,6011.756833,5979.715059,5895.770994
BEN,Benin,1161.440801,1189.897887,1228.016898,1249.024713,1271.586493,1306.464565,1330.249056,1346.702183,1354.895275,1352.89997,1349.137385,1361.997487,1382.35088,1410.529701,1422.293104,1423.889327,1427.694066
BTN,Bhutan,2193.295661,2320.445251,2410.053397,2486.456786,2586.037392,2703.118527,2809.424753,2969.165398,3128.845475,3283.608521,3480.176983,3633.734825,4198.605592,4314.560448,4525.483051,4780.116712,5095.597499
BOL,"Bolivia, Plurinational State of",3349.098977,3418.879914,3511.608361,3610.994621,3551.747421,3566.993685,3554.544909,3571.294387,3597.701941,3678.16658,3772.038631,3885.021877,3995.024559,4172.334708,4244.019317,4349.550779,4499.197181
BIH,Bosnia and Herzegovina,1664.248913,3169.865243,4184.095384,4677.44996,4954.029305,5095.955058,5242.579426,5480.211436,5689.123106,6038.328979,6340.84407,6732.931116,7198.190442,7598.123984,7389.708194,7463.750655,7607.441804
BWA,Botswana,7386.787755,7614.119081,8202.376426,8882.162736,9156.100687,9530.940501,9722.038269,10459.28857,10981.8499,11499.36619,11542.21597,11973.91413,12376.27915,12562.40408,11794.8246,12462.61406,12938.9483
BRA,Brazil,7716.220189,7762.485505,7902.962475,7787.394784,7692.209306,7909.105808,7901.677245,8002.597392,7990.103471,8343.609593,8509.426303,8753.230644,9196.416938,9583.866106,9468.207522,10092.72696,10278.42975
BRN,Brunei Darussalam,51239.92961,51371.31271,49363.47673,47910.17151,48223.6213,48478.17432,48719.15343,49533.44935,49921.66522,49162.46998,48377.12574,49523.48353,48654.58182,46820.49084,45155.60531,45506.58906,
BGR,Bulgaria,6839.641384,6254.189722,6188.838156,6533.150736,6698.923368,7117.56846,7551.590855,8055.230459,8547.487295,9174.011021,9809.338565,10508.5605,11238.41113,11992.13195,11389.73302,11512.45824,11799.45649
BFA,Burkina Faso,708.3059983,764.8613223,790.9115815,825.3719345,861.9669226,853.44398,884.6784833,900.1390685,944.9492303,960.4847051,1013.54087,1050.77602,1056.942191,1085.513907,1084.894192,1136.035599,1148.517615
BDI,Burundi,558.4248503,509.273971,497.8333074,517.9592847,507.8200818,496.306128,496.7442964,506.6395472,487.0707471,496.0511859,485.8903454,496.7807644,504.7916432,514.5459807,517.5713706,523.5815877,533.2931232
KHM,Cambodia,810.884903,833.1681885,859.5623237,883.4196923,969.3617832,1035.49338,1100.455099,1156.545667,1237.677966,1348.086047,1508.008397,1650.871655,1798.974188,1898.138582,1878.682433,1968.131689,2079.98501
CMR,Cameroon,1652.993795,1693.473207,1737.943124,1783.555033,1819.656061,1853.243515,1893.254308,1924.949792,1957.766908,1985.070826,1985.738586,2004.634813,2029.385941,2042.735176,2038.359475,2058.09315,2090.282746
CAN,Canada,27778.03578,27925.27945,28799.35035,29720.99855,31106.65914,32446.78708,32693.85017,33349.45697,33639.97767,34343.67186,35033.42293,35730.41647,36124.31315,35948.05699,34526.90333,35222.88206,35716.02764
CPV,Cape Verde,1620.730185,1647.152787,1699.407327,1789.154447,1906.472234,2187.091496,2280.344613,2360.268826,2431.645951,2499.035936,2627.66234,2861.573261,3078.462387,3240.087884,3331.330694,3473.944577,3615.803881
CAF,Central African Republic,759.3707245,712.144956,733.1914956,751.3527858,762.8254931,765.756478,754.4135544,737.8414203,671.1033216,667.1460547,672.0038041,685.6534549,698.4789941,699.5004837,698.1848425,707.6358846,715.6235468
TCD,Chad,775.4754949,768.3855665,786.8116487,815.1071183,783.3462737,750.453794,808.8617336,846.4161699,936.792144,1209.431606,1373.942588,1335.981934,1301.514839,1262.005474,1214.561269,1336.989045,1342.760813
