ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,,,,,,,0
ALB,Albania,70,70,70,70,70,70,70,70,70,70,70,60,70,70,70,65,R-IEF Invest Free.xls
DZA,Algeria,50,50,50,50,50,50,70,70,70,50,50,50,40,50,45,20,24
AND,Andorra,,,,,,,,,,,,,,,,,24
AGO,Angola,30,30,30,30,30,,,,,,30,20,20,20,35,35,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,65
ARG,Argentina,70,70,70,70,70,70,70,50,50,50,50,50,50,50,45,45,20
ARM,Armenia,30,30,30,30,50,70,70,70,70,70,70,60,70,70,75,75,
AUS,Australia,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80,80,35
AUT,Austria,70,70,70,70,70,70,70,70,70,70,70,70,70,70,75,80,
AZE,Azerbaijan,10,10,30,30,30,30,30,30,30,30,30,30,30,30,55,55,40
BHS,Bahamas,50,50,50,50,50,50,50,50,50,50,50,40,40,40,30,,75
BHR,Bahrain,50,50,50,50,50,50,50,50,50,50,50,50,60,60,65,75,80
BGD,Bangladesh,50,50,50,50,50,50,50,50,50,30,30,30,20,20,45,,80
BRB,Barbados,70,70,70,70,70,70,70,50,50,50,50,50,60,50,45,45,55
BLR,Belarus,50,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,30
BEL,Belgium,70,70,70,70,70,70,90,90,90,90,90,90,90,90,80,80,75
BLZ,Belize,70,70,70,70,70,50,50,50,50,50,50,50,50,50,50,50,55
BEN,Benin,50,50,50,50,50,50,50,50,50,30,30,30,40,40,60,60,55
BTN,Bhutan,,,,,,,,,,,,,,30,15,20,20
BOL,"Bolivia, Plurinational State of",70,70,70,70,70,90,90,90,90,50,30,30,20,20,15,20,80
BIH,Bosnia and Herzegovina,,,30,30,30,30,30,30,30,30,50,50,50,50,70,70,50
BWA,Botswana,50,50,50,50,50,50,70,70,70,70,70,70,70,70,80,75,60
BRA,Brazil,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45,50,20
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,20
BGR,Bulgaria,70,50,50,70,70,70,70,50,50,50,70,60,60,60,50,55,70
BFA,Burkina Faso,70,70,70,70,70,70,70,70,50,50,50,40,40,40,50,55,75
BDI,Burundi,,30,30,30,30,,,,,,50,30,30,40,50,55,50
KHM,Cambodia,,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,
CMR,Cameroon,50,50,50,50,50,50,50,50,50,50,50,50,50,40,35,35,55
CAN,Canada,50,50,50,50,50,50,50,50,50,50,50,60,70,70,75,75,55
CPV,Cape Verde,70,70,70,70,70,70,70,50,50,50,50,50,60,60,60,60,55
CAF,Central African Republic,,,,,,,70,70,70,70,50,40,30,40,40,50,60
TCD,Chad,,30,30,30,30,30,30,50,50,50,50,40,40,40,45,45,35
CHL,Chile,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80,80,75
CHN,China,50,50,50,50,50,30,30,30,30,30,30,30,30,30,20,25,65
COL,Colombia,70,70,70,70,70,70,70,70,70,50,50,50,60,60,55,65,55
COM,Comoros,,,,,,,,,,,,,,20,10,10,50
COG,Congo,30,30,30,10,10,,,,,,,,,30,15,,80
COD,"Congo, the Democratic Republic of the",30,30,10,30,30,30,30,30,30,30,30,30,30,30,15,15,25
CRI,Costa Rica,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,65
CIV,C™te d'Ivoire,50,50,50,50,50,50,50,50,50,50,50,40,40,40,35,35,15
HRV,Croatia,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65,70,20
CUB,Cuba,10,10,10,10,30,30,30,30,30,30,30,10,10,10,,,20
CYP,Cyprus,70,70,70,50,50,50,50,50,50,50,70,70,70,70,70,75,70
CZE,Czech Republic,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
DNK,Denmark,70,70,70,70,70,70,70,70,70,70,70,80,90,90,90,90,70
DJI,Djibouti,,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,0
DMA,Dominica,,,,,,,,,,,,,,60,65,65,75
DOM,Dominican Republic,50,50,50,50,50,50,50,50,50,50,50,50,50,50,55,55,70
ECU,Ecuador,70,70,70,70,70,70,70,50,50,30,30,30,40,30,25,25,90
EGY,Egypt,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65,65
SLV,El Salvador,70,70,70,90,90,70,70,70,70,70,70,70,70,70,75,,60
GNQ,Equatorial Guinea,,,,30,30,30,30,50,50,30,30,30,30,30,20,20,55
ERI,Eritrea,,,,,,,,,,,,,,10,,,25
EST,Estonia,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,65
ETH,Ethiopia,30,30,30,30,30,30,30,30,50,50,50,50,40,40,25,20,75
FJI,Fiji,50,50,50,50,50,30,30,30,30,30,30,30,30,30,25,30,25
FIN,Finland,70,70,70,70,70,70,70,70,70,70,70,70,70,70,75,85,0
FRA,France,50,50,50,50,50,50,50,50,70,70,50,50,60,60,50,55,90
GAB,Gabon,70,70,70,70,50,50,50,50,50,50,50,40,40,40,45,45,25
GMB,Gambia,,30,30,30,30,50,50,50,50,50,50,50,50,50,55,,30
GEO,Georgia,50,50,50,50,50,50,50,50,50,30,50,60,70,70,70,70,85
DEU,Germany,70,70,70,70,70,90,90,90,90,90,90,90,80,80,85,85,55
GHA,Ghana,50,50,50,50,50,50,50,50,50,50,50,50,50,50,65,65,45
GRC,Greece,70,70,70,70,70,70,50,50,50,50,50,50,50,50,60,60,60
GRD,Grenada,,,,,,,,,,,,,,,,,70
GTM,Guatemala,50,50,50,50,50,50,50,50,30,30,50,50,50,50,60,,85
GIN,Guinea,50,50,50,50,50,50,50,50,30,30,30,30,40,40,40,40,65
GNB,Guinea-Bissau,,,,30,30,30,30,50,50,50,50,40,30,30,30,30,60
GUY,Guyana,50,50,50,50,50,50,50,50,50,50,50,50,40,40,30,30,
HTI,Haiti,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,60
HND,Honduras,50,50,50,50,50,50,50,50,30,30,50,50,50,50,60,,45
HUN,Hungary,70,70,70,70,70,70,70,70,70,70,70,70,80,80,75,,35
ISL,Iceland,,70,70,70,70,70,70,70,70,70,50,60,60,70,65,65,30
IND,India,50,50,50,30,30,30,50,50,50,50,50,40,40,30,35,35,30
IDN,Indonesia,70,70,70,70,70,50,50,50,30,30,30,30,30,30,35,35,65
IRN,"Iran, Islamic Republic of",10,10,10,10,10,10,30,30,30,30,10,10,10,10,,,70
