ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,43.84090244,44.13680488,44.42980488,44.72134146,45.00985366,45.29285366,45.56726829,45.83314634,46.09243902,46.35119512,46.61641463,46.89909756,47.20531707,47.53856098,47.89885366,48.28219512,48.28219512
ALB,Albania,71.87029268,72.24107317,72.69607317,73.19780488,73.72182927,74.23873171,74.72365854,75.16121951,75.54202439,75.85912195,76.112,76.30963415,76.47341463,76.6207561,76.76109756,76.90095122,76.90095122
DZA,Algeria,68.46587805,68.7344878,69.02565854,69.33836585,69.67304878,70.02417073,70.38112195,70.72990244,71.059,71.36490244,71.64614634,71.90529268,72.15090244,72.38904878,72.6227561,72.85253659,72.85253659
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,42.05092683,42.50160976,43.06163415,43.71431707,44.43909756,45.20492683,45.97331707,46.71192683,47.39336585,48.00370732,48.53843902,49.00714634,49.43529268,49.84741463,50.25102439,50.65365854,50.65365854
ATG,Antigua and Barbuda,74.73170732,74.73170732,74.73170732,74.84146118,74.95121765,75.06097412,75.17073059,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878,75.2804878
ARG,Argentina,72.62363415,72.84629268,73.06739024,73.28646341,73.50346341,73.71797561,73.9295122,74.13860976,74.34429268,74.54558537,74.74146341,74.93143902,75.11497561,75.29253659,75.46409756,75.63214634,75.63214634
ARM,Armenia,68.62046341,69.02943902,69.49163415,69.98553659,70.4924878,70.98943902,71.45804878,71.88960976,72.27839024,72.61641463,72.90070732,73.13421951,73.32782927,73.49595122,73.64553659,73.78356098,73.78356098
AUS,Australia,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.69512195
AUT,Austria,76.71560976,76.98365854,77.38756098,77.57317073,77.77560976,78.02682927,78.52682927,78.67804878,78.63170732,79.1804878,79.33170732,79.83170732,79.98292683,80.23414634,80.08292683,80.38292683,80.38292683
AZE,Azerbaijan,64.57582927,64.994,65.46239024,65.92336585,66.3554878,66.75721951,67.14768293,67.55485366,67.99431707,68.45719512,68.92273171,69.36141463,69.74865854,70.06785366,70.31763415,70.5065122,70.5065122
BHS,Bahamas,70.05636585,70.34804878,70.66270732,70.98285366,71.30343902,71.62829268,71.96968293,72.3384878,72.73717073,73.15782927,73.58365854,73.99192683,74.36543902,74.69385366,74.97526829,75.22212195,75.22212195
BHR,Bahrain,73.14702439,73.2802439,73.41346341,73.54317073,73.67136585,73.79607317,73.91829268,74.03753659,74.15529268,74.27153659,74.38773171,74.50782927,74.63129268,74.75860976,74.88978049,75.02382927,75.02382927
BGD,Bangladesh ,62.12268293,62.66212195,63.19656098,63.72197561,64.23390244,64.73034146,65.20831707,65.66831707,66.10985366,66.53136585,66.93229268,67.31007317,67.66665854,68.00402439,68.32521951,68.63480488,68.63480488
BRB,Barbados,74.95936585,75.04263415,75.12739024,75.21563415,75.30941463,75.40826829,75.50868293,75.60819512,75.70529268,75.80153659,75.90095122,76.00856098,76.12936585,76.26436585,76.41302439,76.57282927,76.57282927
BLR,Belarus,68.46097561,68.61219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20341463,70.45609756,70.40731707,70.40487805,70.40487805
BEL,Belgium,76.66829268,76.92195122,77.22195122,77.87317073,78.07073171,78.17317073,78.47317073,78.57560976,78.72926829,78.87804878,79.32764146,79.77723659,79.53414634,79.48292683,79.73658537,79.93658537,79.93658537
BLZ,Belize,73.12760976,73.22114634,73.30070732,73.37263415,73.44431707,73.53112195,73.64892683,73.80863415,74.01365854,74.25992683,74.53687805,74.827,75.11185366,75.3775122,75.6185122,75.83995122,75.83995122
BEN,Benin,50.94126829,51.3245122,51.67407317,51.99582927,52.2917561,52.56534146,52.81909756,53.0615122,53.3014878,53.54895122,53.81373171,54.10668293,54.43073171,54.78731707,55.17341463,55.58558537,55.58558537
BTN,Bhutan,56.72339024,57.62943902,58.56214634,59.51004878,60.45609756,61.37421951,62.23731707,63.02680488,63.73160976,64.34821951,64.88063415,65.34239024,65.75909756,66.15131707,66.53204878,66.90885366,66.90885366
BOL,"Bolivia, Plurinational State of",61.09587805,61.48729268,61.86573171,62.2357561,62.60087805,62.96368293,63.32417073,63.67880488,64.0275122,64.36929268,64.70404878,65.03021951,65.34773171,65.65809756,65.96385366,66.26856098,66.26856098
BIH,Bosnia and Herzegovina,68.06819512,69.71419512,71.34795122,72.7164878,73.714,74.30812195,74.55317073,74.61536585,74.63487805,74.65963415,74.72363415,74.83436585,74.96860976,75.10631707,75.25043902,75.40043902,75.40043902
BWA,Botswana,59.19780488,57.47765854,55.65153659,53.84170732,52.15895122,50.7654878,49.81156098,49.33753659,49.32734146,49.7374878,50.44656098,51.28431707,52.06895122,52.66368293,53.01153659,53.1095122,53.1095122
BRA,Brazil,68.34063415,68.73156098,69.10909756,69.4712439,69.81446341,70.13826829,70.43963415,70.72409756,70.99614634,71.26178049,71.52953659,71.81092683,72.10995122,72.42709756,72.75980488,73.09953659,73.09953659
BRN,Brunei Darussalam,74.96741463,75.22392683,75.48090244,75.73636585,75.98834146,76.23234146,76.46490244,76.68104878,76.88080488,77.06263415,77.22858537,77.38060976,77.52419512,77.66229268,77.79792683,77.93202439,77.93202439
BGR,Bulgaria,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,73.51219512
BFA,Burkina Faso,48.9797561,49.15943902,49.36997561,49.61034146,49.8854878,50.20129268,50.56556098,50.97763415,51.43236585,51.92221951,52.43519512,52.95790244,53.47695122,53.9824878,54.46604878,54.92419512,54.92419512
BDI,Burundi,44.5885122,44.75841463,45.02670732,45.33843902,45.67056098,46.00504878,46.33639024,46.67307317,47.02156098,47.38036585,47.75146341,48.13887805,48.54663415,48.9757561,49.42126829,49.87721951,49.87721951
KHM,Cambodia,56.06526829,56.25726829,56.49226829,56.76714634,57.08882927,57.46414634,57.89646341,58.37521951,58.88943902,59.42863415,59.97939024,60.52831707,61.06458537,61.58085366,62.07219512,62.53621951,62.53621951
CMR,Cameroon,51.99190244,51.59990244,51.19153659,50.7867561,50.4065122,50.07126829,49.79297561,49.57809756,49.43556098,49.37485366,49.41241463,49.56117073,49.81517073,50.16090244,50.58292683,51.0627561,51.0627561
CAN,Canada,77.97756098,78.2304878,78.4804878,78.66243902,78.88292683,79.23658537,79.48780488,79.5902439,79.83902439,80.14146341,80.29268293,80.64390244,80.80439024,80.96487805,80.66178049,80.79780488,80.79780488
CPV,Cape Verde,67.18231707,67.60319512,68.03704878,68.48780488,68.95639024,69.44826829,69.96985366,70.51365854,71.06763415,71.61778049,72.14065854,72.61034146,73.01085366,73.33619512,73.58680488,73.77404878,73.77404878
CAF,Central African Republic,46.10629268,45.48017073,44.89163415,44.37256098,43.95334146,43.66336585,43.52353659,43.52882927,43.67219512,43.94612195,44.34756098,44.8675122,45.48253659,46.1632439,46.88370732,47.61846341,47.61846341
