ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.11,0.11,0.11,0.129000008,0.148000002,0.166999996,0.186,0.189500004,0.193000004,0.196500003,0.2,0.202500001,0.204999998,0.207499996,0.21,0.21,0.21
ALB,Albania,1.306,1.354,1.295,1.289,1.282,1.389,1.347000003,1.305,1.266249895,1.227499962,1.188750029,1.15,1.146,1.149500012,1.153,1.153,1.153
DZA,Algeria,0.846,0.897333324,0.948666692,1,1.032500029,1.065000057,1.097499967,1.13,1.145400047,1.16079998,1.176200032,1.191599965,1.207,1.207,1.207,1.207,1.207
AND,Andorra,2.231,2.332999945,2.435,2.47,2.594,2.549,2.594,3.145500183,3.697,3.677999973,3.659000158,3.64,3.716,3.81400013,3.912,3.912,3.912
AGO,Angola,0.077,0.077,0.077,0.077428572,0.077857144,0.078285716,0.078714281,0.079142854,0.079571426,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
ATG,Antigua and Barbuda,0.76,1.141,0.817333341,0.493666649,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
ARG,Argentina,2.68,2.789999962,2.900000095,3.01,3.034166574,3.058333397,3.082499981,3.106666565,3.130833387,3.155,3.21,3.21,3.21,3.21,3.21,3.21,3.21
ARM,Armenia,3.042,3.591,3.156,3.156,3.051,2.987,3.526,3.55700016,3.588,3.625333309,3.662666798,3.7,3.697,3.729500055,3.762,3.762,3.762
AUS,Australia,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,2.115750074,1.73150003,1.347249985,0.963,1.638999939,2.315000057,2.991,2.991,2.991
AUT,Austria,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,3.486666679,3.573333502,3.66,3.794,4.271500111,4.749,4.853,4.853
AZE,Azerbaijan,3.925,3.899,3.831,3.602,3.521,3.607,3.536,3.541500092,3.547,3.574666739,3.602333307,3.63,3.794,3.788000107,3.782,3.782,3.782
BHS,Bahamas,1.49,1.518,1.28399992,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
BHR,Bahrain,1,1,1,1.148999929,1.297999978,1.447000027,1.596,1.426333308,1.25666666,1.087,2.72,2.842499971,2.965,1.442,1.442,1.442,1.442
BGD,Bangladesh ,0.201,0.200500011,0.2,0.207750008,0.215499997,0.223250002,0.231,0.239666671,0.248333335,0.257,0.3,0.297500014,0.295,0.295,0.295,0.295,0.295
BRB,Barbados,1.28,1.262500048,1.245000005,1.227499962,1.21,1.310166717,1.410333395,1.510499954,1.610666633,1.710833311,1.811,1.811,1.811,1.811,1.811,1.811,1.811
BLR,Belarus,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.52589255,4.55,4.622401812,4.68,4.78,4.869,4.98,5.178,5.178,5.178
BEL,Belgium,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,3.982500076,4.065000057,4.147500038,4.23,3.608500004,2.987,3.013,3.013,3.013
BLZ,Belize,0.6,0.548,0.673499942,0.798999965,0.924499989,1.05,1.025333285,1.000666618,0.975999951,0.951333284,0.926666677,0.90200001,0.877333343,0.852666676,0.828,0.828,0.828
BEN,Benin,0.058,0.055999998,0.053999998,0.051999997,0.049999997,0.048,0.046,0.044,0.041999999,0.04,0.044749998,0.0495,0.054250002,0.059,0.059,0.059,0.059
BTN,Bhutan,0.16,0.132750005,0.105499998,0.078249998,0.051,0.050999999,0.050999999,0.050999999,0.050999999,0.051,0.041666664,0.032333333,0.023,0.023,0.023,0.023,0.023
BOL,"Bolivia, Plurinational State of",0.34,0.819499969,1.299,1.279250026,1.259500027,1.239750028,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22
BIH,Bosnia and Herzegovina,1.427,1.427,1.427,1.427,1.401,1.422,1.338,1.338999987,1.34,1.37895,1.4179,1.472924948,1.527950048,1.58297503,1.638,1.638,1.638
BWA,Botswana,0.288,0.288,0.288,0.288,0.288,0.310399979,0.332800001,0.355199993,0.377600014,0.4,0.368000001,0.336,0.336,0.336,0.336,0.336,0.336
BRA,Brazil,1.31,1.272,1.308,1.351999998,1.396,1.15,1.240666628,1.33133328,1.422000051,1.512666702,1.603333354,1.694,1.72,1.764,1.764,1.764,1.764
BRN,Brunei Darussalam,0.848,0.848,0.887499988,0.927000046,0.966500044,1.006,1.072999954,1.14,1.186166644,1.232333302,1.278499961,1.324666739,1.370833397,1.417,1.417,1.417,1.417
