ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,22475663.0,23131309.0,23806081.0,24500537.0,25215252.0,25950816.0,26697430.0,27465525.0,28255719.0,29068646.0,29904962,30751661,31622333,32517656,33438329,34385068,35320445
ALB,Albania,3141102.0,3112597.0,3091902.0,3079037.0,3072725.0,3071856.0,3077378.0,3089778.0,3106701.0,3124861.0,3141800,3156607,3169665,3181397,3192723,3204284,3215988
DZA,Algeria,28291591.0,28786855.0,29242917.0,29673694.0,30099010.0,30533827.0,30982214.0,31441848.0,31913462.0,32396048.0,32888449,33391954,33906605,34428028,34950168,35468208,35980193
AND,Andorra,64699.0,65227.0,64905.0,64246.0,63985.0,64634.0,66390.0,69043.0,72203.0,75292.0,77888,79874,81390,82577,83677,84864,86165
AGO,Angola,12105105.0,12452725.0,12792237.0,13138265.0,13511575.0,13926373.0,14388244.0,14890474.0,15419943.0,15957460.0,16489021,17010366,17525367,18037964,18555115,19081912,19618432
ATG,Antigua and Barbuda,68642.0,70450.0,72322.0,74190.0,75985.0,77656.0,79165.0,80507.0,81716.0,82838.0,83916,84952,85935,86881,87802,88710,89612
ARG,Argentina,34855160.0,35287113.0,35714929.0,36134642.0,36541029.0,36930709.0,37302116.0,37657340.0,38001251.0,38340778.0,38681174,39023850,39368066,39714298,40062470,40412376,40764561
ARM,Armenia,3223173.0,3172185.0,3134836.0,3109101.0,3090624.0,3076098.0,3065810.0,3061067.0,3060554.0,3062612.0,3065954,3069844,3074181,3079087,3084979,3092072,3100236
AUS,Australia,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800,20697900,21072500,21498500,21951700,22299800,22620600
AUT,Austria,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829,8268641,8300788,8336926,8365275,8389771,8419000
AZE,Azerbaijan,7685000.0,7763000.0,7838250.0,7913000.0,7982750.0,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850,8484550,8581300,8763400,8947243,9054332,9168000
BHS,Bahamas,279774.0,283677.0,287217.0,290571.0,293988.0,297651.0,301606.0,305801.0,310201.0,314739.0,319358,324066,328861,333661,338358,342877,347176
BHR,Bahrain,559069.0,574914.0,592986.0,611237.0,626765.0,638193.0,642510.0,642070.0,647164.0,671760.0,724807,811410,925733,1052359,1169578,1261835,1323535
BGD,Bangladesh,117486952.0,119928682.0,122370403.0,124803351.0,127214841.0,129592275.0,131944584.0,134266428.0,136514768.0,138633401.0,140587922,142353501,143956805,145478300,147030145,148692131,150493658
BRB,Barbados,263416.0,264237.0,265088.0,265941.0,266758.0,267511.0,268192.0,268813.0,269389.0,269947.0,270503,271062,271618,272180,272750,273331,273925
BLR,Belarus,10194000.0,10160000.0,10117000.0,10069000.0,10035000.0,10005000.0,9970260.0,9925000.0,9873968.0,9824469.0,9775591,9732500,9702000,9602000,9507000,9490000,9473000
BEL,Belgium,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617,10547958,10625700,10709973,10796493,10895785,11008000
BLZ,Belize,216500.0,222000.0,230000.0,238500.0,243100.0,249800.0,257300.0,265200.0,273700.0,282600.0,291800,301386,311500,322100,333200,344700,356600
BEN,Benin,5651141.0,5821985.0,5988093.0,6154708.0,6329476.0,6517810.0,6721337.0,6937985.0,7164976.0,7397985.0,7633757,7871707,8112573,8355980,8601771,8849892,9099922
BTN,Bhutan,518584.0,520529.0,528222.0,540507.0,555377.0,571262.0,588050.0,606024.0,624431.0,642400.0,659293,674681,688581,701363,713665,725940,738267
BOL,"Bolivia, Plurinational State of",7470925.0,7637622.0,7804333.0,7971237.0,8138802.0,8307248.0,8476709.0,8646659.0,8815911.0,8982917.0,9146655,9306660,9463497,9618466,9773441,9929849,10088108
BIH,Bosnia and Herzegovina,3332098.0,3305672.0,3365616.0,3480285.0,3601438.0,3693698.0,3748370.0,3775883.0,3782717.0,3781358.0,3781001,3781588,3779034,3774164,3767683,3760149,3752228
BWA,Botswana,1585637.0,1623704.0,1660538.0,1695587.0,1728179.0,1757925.0,1784449.0,1808103.0,1830127.0,1852243.0,1875673,1900905,1927540,1954822,1981576,2006945,2030738
