ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,36.3055323,35.59978606,34.91320426,34.24840638,33.60333923,35.52100485,37.63617263,39.89159404,42.29116257,43.61041613,43.71385375,43.72711027,43.74119542,43.75119646,43.75608067,43.75624007,
ALB,Albania,23.56597661,24.17045768,24.73275814,25.25088144,25.73032944,26.17841037,26.54386023,26.8553849,27.12899646,27.38932149,27.65319357,27.90891967,28.15912449,28.39609616,28.61315721,,
DZA,Algeria,12.76676042,12.65082934,12.55797838,12.48201319,12.41349159,12.34638142,12.29017055,12.23440765,12.17851711,12.12333809,12.06827336,12.02525502,11.98237986,11.94158632,11.90391648,11.86985698,
AND,Andorra,34.01351399,33.89768839,34.22870473,34.74524156,35.05401494,34.86833019,34.55796218,34.21930908,33.69459108,33.27579603,33.12391772,33.11788864,33.16453594,33.35672676,33.59061542,,
AGO,Angola,36.66914609,36.08313308,36.55758261,37.06668383,37.55002655,37.97504877,38.32263339,38.6271168,38.92446794,39.26847345,39.68219554,40.25652018,40.90333048,41.57202994,42.20431416,42.75166921,
ATG,Antigua and Barbuda,99.18040233,99.22614416,99.26025775,99.29515087,99.339836,99.41199257,99.1929315,99.11031577,99.1566785,99.34064217,99.66147317,99.46447493,99.39968867,99.45982143,99.64667195,,
ARG,Argentina,36.07850917,35.95590762,35.84240975,35.74335606,35.66273637,35.6037371,35.57323828,35.56245279,35.55648789,35.53949,35.49991648,35.45613324,35.3845762,35.2857175,35.16149922,35.01346133,
ARM,Armenia,53.46277059,54.21824762,54.76087515,55.11046676,55.33660528,55.49457749,55.54470836,55.71069096,55.8835847,56.01049486,56.16044318,56.24245935,56.31651176,56.38057288,56.42357299,56.43967592,
AUS,Australia,24.66983916,24.55557032,24.52121804,24.50621805,24.4668474,24.41595371,24.33176311,24.17022538,24.00665961,23.86238863,23.68056715,23.46932157,23.18636256,22.85900947,22.51618581,22.29075872,
AUT,Austria,29.52374312,29.50355564,29.48971121,29.47697513,29.4392462,29.38811623,29.31071479,29.61971841,29.77928823,29.89887377,30.01727339,30.0318084,30.01876622,30.02359583,30.04396881,30.07314559,
AZE,Azerbaijan,44.01127239,43.897606,43.8042236,43.71870644,43.72112192,43.82499849,43.72659845,43.64136284,43.55136166,43.41081705,43.20652996,43.00585891,42.89436528,42.3728374,41.86464867,41.72581978,
BHS,Bahamas,84.36218405,84.69573327,85.1503703,85.67773689,86.20181194,86.67213878,87.03871503,87.3208857,87.51223488,87.61856257,87.65065358,87.62646715,87.52947276,87.38864893,87.24000965,,
BHR,Bahrain,26.97802809,26.55640158,26.0622087,25.59400777,25.26584383,25.11811258,25.25463801,25.59207011,25.73322977,25.15307934,23.68207278,21.50691658,19.18632587,17.19277674,15.76698447,,
BGD,Bangladesh ,32.68320187,32.8214387,32.97987392,33.16602241,33.38076612,33.62876676,33.84487064,34.07201921,34.30131723,34.52871126,34.74897085,34.87874821,34.99066551,35.06794421,35.0931966,35.05859612,
