ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,2,6,10,14,18,22,26,30,34,38,42,43.59999847,45.20000076,46.79999924,48.40000153,50,50
ALB,Albania,98,98,98,98,98,98,97.59999847,97.19999695,96.80000305,96.40000153,96,95.80000305,95.59999847,95.40000153,95.19999695,95,95
DZA,Algeria,93,92.19999695,91.40000153,90.59999847,89.80000305,89,88.19999695,87.40000153,86.59999847,85.80000305,85,84.59999847,84.19999695,83.80000305,83.40000153,83,83
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,43,43.59999847,44.20000076,44.79999924,45.40000153,46,46.40000153,46.79999924,47.20000076,47.59999847,48,48.59999847,49.20000076,49.79999924,50.40000153,51,51
ATG,Antigua and Barbuda,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
ARG,Argentina,95,95.19999695,95.40000153,95.59999847,95.80000305,96,96,96,96,96,96,96,96,96,96,96,96
ARM,Armenia,90,90.40000153,90.80000305,91.19999695,91.59999847,92,92.59999847,93.19999695,93.80000305,94.40000153,95,95.59999847,96.19999695,96.80000305,97.40000153,98,98
AUS,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AUT,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,Azerbaijan,71,71.59999847,72.19999695,72.80000305,73.40000153,74,74.59999847,75.19999695,75.80000305,76.40000153,77,77.59999847,78.19999695,78.80000305,79.40000153,80,80
BHS,Bahamas,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
BHR,Bahrain,,,,,,,,,,,,,,,,,
BGD,Bangladesh ,78,78.19999695,78.40000153,78.59999847,78.80000305,79,79.40000153,79.80000305,80.19999695,80.59999847,81,81,81,81,81,81,81
BRB,Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLR,Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BEL,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,80,81.19999695,82.40000153,83.59999847,84.80000305,86,87.40000153,88.80000305,90.19999695,91.59999847,93,94,95,96,97,98,98
BEN,Benin,62,62.79999924,63.59999847,64.40000153,65.19999695,66,66.80000305,67.59999847,68.40000153,69.19999695,70,71,72,73,74,75,75
BTN,Bhutan,86,86,86,86,86,86,87,88,89,90,91,92,93,94,95,96,96
BOL,"Bolivia, Plurinational State of",76,76.80000305,77.59999847,78.40000153,79.19999695,80,80.80000305,81.59999847,82.40000153,83.19999695,84,84.80000305,85.59999847,86.40000153,87.19999695,88,88
BIH,Bosnia and Herzegovina,97,97,97,97,97,97,97.19999695,97.40000153,97.59999847,97.80000305,98,98.19999695,98.40000153,98.59999847,98.80000305,99,99
BWA,Botswana,94,94.19999695,94.40000153,94.59999847,94.80000305,95,95.19999695,95.40000153,95.59999847,95.80000305,96,96,96,96,96,96,96
BRA,Brazil,91,91.59999847,92.19999695,92.80000305,93.40000153,94,94.40000153,94.80000305,95.19999695,95.59999847,96,96.40000153,96.80000305,97.19999695,97.59999847,98,98
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,
BGR,Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BFA,Burkina Faso,51,52.79999924,54.59999847,56.40000153,58.20000076,60,62,64,66,68,70,71.80000305,73.59999847,75.40000153,77.19999695,79,79
BDI,Burundi,71,71.19999695,71.40000153,71.59999847,71.80000305,72,72,72,72,72,72,72,72,72,72,72,72
KHM,Cambodia,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,64
CMR,Cameroon,57,58.40000153,59.79999924,61.20000076,62.59999847,64,65.40000153,66.80000305,68.19999695,69.59999847,71,72.19999695,73.40000153,74.59999847,75.80000305,77,77
CAN,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CPV,Cape Verde,80,80.59999847,81.19999695,81.80000305,82.40000153,83,83.40000153,83.80000305,84.19999695,84.59999847,85,85.59999847,86.19999695,86.80000305,87.40000153,88,88
CAF,Central African Republic,60,60.59999847,61.20000076,61.79999924,62.40000153,63,63.40000153,63.79999924,64.19999695,64.59999847,65,65.40000153,65.80000305,66.19999695,66.59999847,67,67
TCD,Chad,42,42.59999847,43.20000076,43.79999924,44.40000153,45,45.59999847,46.20000076,46.79999924,47.40000153,48,48.59999847,49.20000076,49.79999924,50.40000153,51,51
CHL,Chile,92,92.40000153,92.80000305,93.19999695,93.59999847,94,94.40000153,94.80000305,95.19999695,95.59999847,96,96,96,96,96,96,96
CHN,China,74,75.19999695,76.40000153,77.59999847,78.80000305,80,81.40000153,82.80000305,84.19999695,85.59999847,87,87.80000305,88.59999847,89.40000153,90.19999695,91,91
COL,Colombia,90,90.19999695,90.40000153,90.59999847,90.80000305,91,91.19999695,91.40000153,91.59999847,91.80000305,92,92,92,92,92,92,92
COM,Comoros,90,90.40000153,90.80000305,91.19999695,91.59999847,92,92.59999847,93.19999695,93.80000305,94.40000153,95,95,95,95,95,95,95
COG,Congo,70,70,70,70,70,70,70.19999695,70.40000153,70.59999847,70.80000305,71,71,71,71,71,71,71
COD,"Congo, the Democratic Republic of the",44,44,44,44,44,44,44,44,44,44,44,44.20000076,44.40000153,44.59999847,44.79999924,45,45
CRI,Costa Rica,94,94.19999695,94.40000153,94.59999847,94.80000305,95,95.19999695,95.40000153,95.59999847,95.80000305,96,96.19999695,96.40000153,96.59999847,96.80000305,97,97
CIV,C™te d'Ivoire,77,77,77,77,77,77,77.40000153,77.80000305,78.19999695,78.59999847,79,79.19999695,79.40000153,79.59999847,79.80000305,80,80
HRV,Croatia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
CUB,Cuba,86,86.80000305,87.59999847,88.40000153,89.19999695,90,90.40000153,90.80000305,91.19999695,91.59999847,92,92.40000153,92.80000305,93.19999695,93.59999847,94,94
CYP,Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CZE,Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
DJI,Djibouti,79,79.59999847,80.19999695,80.80000305,81.40000153,82,82.80000305,83.59999847,84.40000153,85.19999695,86,86.40000153,86.80000305,87.19999695,87.59999847,88,88
DMA,Dominica,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
DOM,Dominican Republic,88,87.80000305,87.59999847,87.40000153,87.19999695,87,87,87,87,87,87,86.80000305,86.59999847,86.40000153,86.19999695,86,86
ECU,Ecuador,79,80.40000153,81.80000305,83.19999695,84.59999847,86,87.19999695,88.40000153,89.59999847,90.80000305,92,92.40000153,92.80000305,93.19999695,93.59999847,94,94
EGY,Egypt,94,94.40000153,94.80000305,95.19999695,95.59999847,96,96.40000153,96.80000305,97.19999695,97.59999847,98,98.19999695,98.40000153,98.59999847,98.80000305,99,99
SLV,El Salvador,78,78.80000305,79.59999847,80.40000153,81.19999695,82,82.80000305,83.59999847,84.40000153,85.19999695,86,86.40000153,86.80000305,87.19999695,87.59999847,88,88
GNQ,Equatorial Guinea,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
ERI,Eritrea,46,47.59999847,49.20000076,50.79999924,52.40000153,54,55.20000076,56.40000153,57.59999847,58.79999924,60,60,60,60,60,60,60
EST,Estonia,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
ETH,Ethiopia,20,21.79999924,23.60000038,25.39999962,27.20000076,29,30.60000038,32.20000076,33.79999924,35.40000153,37,38.40000153,39.79999924,41.20000076,42.59999847,44,44
FJI,Fiji,88,89,90,91,92,93,93.80000305,94.59999847,95.40000153,96.19999695,97,97.19999695,97.40000153,97.59999847,97.80000305,98,98
FIN,Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRA,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GAB,Gabon,84,84.19999695,84.40000153,84.59999847,84.80000305,85,85.19999695,85.40000153,85.59999847,85.80000305,86,86.19999695,86.40000153,86.59999847,86.80000305,87,87
GMB,Gambia,79,79.80000305,80.59999847,81.40000153,82.19999695,83,83.80000305,84.59999847,85.40000153,86.19999695,87,87.40000153,87.80000305,88.19999695,88.59999847,89,89
GEO,Georgia,82,83.40000153,84.80000305,86.19999695,87.59999847,89,90.40000153,91.80000305,93.19999695,94.59999847,96,96.40000153,96.80000305,97.19999695,97.59999847,98,98
DEU,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GHA,Ghana,62,63.79999924,65.59999847,67.40000153,69.19999695,71,72.59999847,74.19999695,75.80000305,77.40000153,79,80.40000153,81.80000305,83.19999695,84.59999847,86,86
GRC,Greece,98,98.19999695,98.40000153,98.59999847,98.80000305,99,99.19999695,99.40000153,99.59999847,99.80000305,100,100,100,100,100,100,100
