ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,-1.850867061,,-1.840466821,,-1.91772311,,-1.431152336,-1.549529647,-1.367735162,-1.458539997,-1.4464522,-1.587656252,-1.623821441,-1.52017417,-1.620813904,
ALB,Albania,,-1.094435089,,-1.012083073,,-0.828086078,,-0.860879697,-0.770697455,-0.680650566,-0.752274339,-0.78684389,-0.679495239,-0.505726205,-0.439199509,-0.428655008,
DZA,Algeria,,-0.482982627,,-0.973161937,,-0.952366548,,-0.940764735,-0.6726404,-0.636345359,-0.424664676,-0.452045228,-0.512745892,-0.550270859,-0.543560454,-0.48213494,
AND,Andorra,,1.357941222,,1.378704987,,1.381980782,,1.297682484,1.314197323,1.097385131,1.270196861,1.277353674,1.296142588,1.325253237,1.345134741,1.330016623,
AGO,Angola,,-1.16160399,,-1.322616431,,-1.520521554,,-1.141356757,-1.323198437,-1.301606651,-1.334379019,-1.2320986,-1.317688708,-1.274776001,-1.439971933,-1.327874516,
ATG,Antigua and Barbuda,,0.899540038,,0.9188233,,0.910594511,,0.842876681,0.831004026,0.833747302,0.763857928,1.277353674,1.296142588,1.325253237,1.345134741,1.330016623,
ARG,Argentina,,-0.215799119,,-0.186931735,,-0.325497322,,-0.523824188,-0.537974912,-0.439597558,-0.41636537,-0.386392635,-0.394043468,-0.471015832,-0.515985931,-0.437428278,
ARM,Armenia,,-0.475663511,,-0.740325718,,-0.655119344,,-0.653715537,-0.547061109,-0.623196256,-0.641168588,-0.601055133,-0.728134823,-0.610644049,-0.570230874,-0.670820088,
AUS,Australia,,1.884342018,,1.765287525,,1.960539274,,1.734808183,1.924659082,2.097818642,1.93426755,1.960589508,2.047172717,2.120562893,2.05622087,2.061006848,
AUT,Austria,,1.932035228,,2.066114625,,1.976457199,,2.097500196,2.111288781,2.127059431,1.948206277,2.012146939,2.106434282,1.935773082,1.782980368,1.642683018,
AZE,Azerbaijan,,-1.257759616,,-1.128473136,,-1.098676036,,-1.057676616,-0.943471083,-1.076350247,-0.991264793,-0.982672355,-1.021013044,-1.018692849,-1.098974687,-1.17247595,
