ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.129826588,0.129826588,0.130866623,0.131906636,0.124181008,0.116455378,0.165112448,0.213769533,0.190094071,0.226452968,0.208292001,0.21070956,0.18246875,0.175235712,0.195965166,0.175837219,0.175837219
ALB,Albania,0.281112982,0.281112982,0.289348173,0.297583385,0.315983081,0.334382784,0.33110342,0.327824061,0.345860509,0.363869887,0.349545132,0.342631222,0.364100952,0.398854759,0.412160098,0.414268998,0.414268998
DZA,Algeria,0.403403475,0.403403475,0.354385543,0.305367613,0.307447147,0.30952669,0.310686874,0.311847053,0.36547192,0.372730928,0.415067065,0.409590954,0.397450822,0.389945828,0.391287909,0.403573012,0.403573012
AND,Andorra,0.771588244,0.771588244,0.773664618,0.775740997,0.776068592,0.776396156,0.767966318,0.759536497,0.762839465,0.719477026,0.754039372,0.755470735,0.759228518,0.765050647,0.769026948,0.766003325,0.766003325
AGO,Angola,0.267679202,0.267679202,0.25157795,0.235476714,0.215686202,0.195895689,0.233812189,0.271728649,0.235360313,0.23967867,0.233124196,0.25358028,0.236462258,0.2450448,0.212005613,0.234425097,0.234425097
ATG,Antigua and Barbuda,0.679908008,0.679908008,0.681836343,0.68376466,0.682941782,0.682118902,0.675347114,0.668575336,0.666200805,0.66674946,0.652771586,0.755470735,0.759228518,0.765050647,0.769026948,0.766003325,0.766003325
ARG,Argentina,0.456840176,0.456840176,0.459726915,0.462613653,0.448757094,0.434900536,0.415067846,0.395235162,0.392405018,0.412080488,0.416726926,0.422721473,0.421191306,0.405796834,0.396802814,0.412514344,0.412514344
ARM,Armenia,0.404867298,0.404867298,0.378401077,0.351934856,0.360455489,0.368976131,0.369116509,0.369256893,0.390587778,0.375360749,0.371766282,0.379788973,0.354373035,0.37787119,0.385953825,0.365835982,0.365835982
AUS,Australia,0.876868404,0.876868404,0.864962959,0.853057505,0.872582674,0.892107855,0.869534731,0.846961637,0.884931816,0.919563728,0.88685351,0.892117902,0.909434543,0.924112579,0.911244174,0.91220137,0.91220137
AUT,Austria,0.886407046,0.886407046,0.899814987,0.913222925,0.904257202,0.89529144,0.907395744,0.919500039,0.922257756,0.925411886,0.889641255,0.902429388,0.921286856,0.887154616,0.856596074,0.828536604,0.828536604
AZE,Azerbaijan,0.248448077,0.248448077,0.261376715,0.274305373,0.277285075,0.280264793,0.284364724,0.288464677,0.311305783,0.284729951,0.301747041,0.303465529,0.295797391,0.29626143,0.280205063,0.26550481,0.26550481
BHS,Bahamas,0.740056721,0.740056721,0.754771328,0.769485961,0.773018432,0.776550914,0.783052397,0.789553882,0.779502919,0.779229306,0.765737116,0.775960546,0.774027951,0.777219593,0.773031181,0.770824755,0.770824755
BHR,Bahrain,0.532790025,0.532790025,0.526168707,0.519547387,0.546818596,0.574089798,0.611588788,0.64908777,0.589150684,0.605316956,0.592209272,0.549387308,0.549391346,0.546696517,0.546663068,0.549913459,0.549913459
BGD,Bangladesh ,0.352756895,0.352756895,0.382163739,0.411570572,0.35946939,0.307368201,0.285977125,0.264586023,0.23232752,0.208380696,0.216633071,0.218117117,0.291691814,0.298730305,0.300667826,0.301818028,0.301818028
BRB,Barbados,0.771588244,0.771588244,0.773664618,0.775740997,0.776068592,0.776396156,0.767966318,0.759536497,0.762839465,0.745732907,0.76096111,0.758589792,0.768657914,0.7613328,0.766424304,0.786330583,0.786330583
BLR,Belarus,0.313187061,0.313187061,0.342970157,0.372753235,0.385708213,0.398663177,0.371011209,0.343359261,0.349744244,0.315939507,0.324175917,0.367928737,0.3664725,0.353963259,0.3495082,0.336325425,0.336325425
BEL,Belgium,0.7622675,0.7622675,0.762882447,0.763497393,0.781081128,0.798664845,0.794559813,0.790454769,0.774196676,0.768178127,0.768438215,0.74943142,0.759263203,0.767000808,0.787331661,0.799864852,0.799864852
BLZ,Belize,0.496547534,0.496547534,0.485408387,0.474269242,0.467237413,0.46020558,0.455294919,0.450384255,0.474056175,0.421932231,0.446483226,0.422480121,0.423763797,0.433505681,0.491369321,0.484464441,0.484464441
BEN,Benin,0.313187061,0.313187061,0.346308827,0.379430597,0.390088511,0.400746438,0.370769191,0.340791957,0.385944869,0.395586611,0.308002101,0.383549094,0.424769572,0.39666045,0.36159413,0.349733254,0.349733254
BTN,Bhutan,0.588227771,0.588227771,0.615962744,0.643697718,0.609976351,0.57625498,0.595918596,0.615582206,0.650203973,0.625246018,0.649909595,0.630969548,0.648107894,0.65242205,0.663182502,0.66545262,0.66545262
BOL,"Bolivia, Plurinational State of",0.319433822,0.319433822,0.390077639,0.460721446,0.444517463,0.428313485,0.368617606,0.308921743,0.342803711,0.356339452,0.350084711,0.418894317,0.429965248,0.404005133,0.367410528,0.404635963,0.404635963
BIH,Bosnia and Herzegovina,0.429535916,0.429535916,0.436886775,0.44423763,0.423068184,0.401898739,0.415372467,0.428846192,0.439618585,0.439598081,0.462251623,0.444408753,0.423190566,0.427372383,0.425302872,0.436384346,0.436384346
BWA,Botswana,0.616759677,0.616759677,0.628756285,0.640752899,0.63668586,0.63261882,0.62703867,0.621458516,0.751046574,0.697024342,0.729209747,0.679426792,0.690806619,0.694823037,0.676904178,0.694947548,0.694947548
BRA,Brazil,0.485114371,0.485114371,0.492433285,0.499752198,0.504198308,0.508644418,0.505564304,0.50248419,0.521535217,0.50574252,0.465708408,0.471616123,0.477103057,0.49695658,0.479201549,0.511222388,0.511222388
BRN,Brunei Darussalam,0.607305865,0.607305865,0.590957761,0.574609654,0.575693202,0.576776748,0.567902935,0.559029126,0.556718009,0.581218246,0.552554803,0.546230674,0.547500712,0.596240416,0.695426134,0.671785779,0.671785779
BGR,Bulgaria,0.344203092,0.344203092,0.397970104,0.451737113,0.453886414,0.456035718,0.458363682,0.460691647,0.486638382,0.52070578,0.512022498,0.480121372,0.452739635,0.437355482,0.456706892,0.463383618,0.463383618
BFA,Burkina Faso,0.543772565,0.543772565,0.497292519,0.450812468,0.461007345,0.471202218,0.483118033,0.495033849,0.492491082,0.46750169,0.481406175,0.435705344,0.430566246,0.436414713,0.425929803,0.425453526,0.425453526
BDI,Burundi,0.221506824,0.221506824,0.244955683,0.268404561,0.282380104,0.296355643,0.303488338,0.310621018,0.290085931,0.299926845,0.319587154,0.288471171,0.277437969,0.299919538,0.286542671,0.283201282,0.283201282
KHM,Cambodia,0.306443377,0.306443377,0.294485855,0.282528346,0.3063905,0.330252637,0.316011703,0.301770776,0.311697841,0.295248298,0.263196192,0.25167435,0.273204839,0.273471615,0.25420216,0.257869497,0.257869497
CMR,Cameroon,0.267679202,0.267679202,0.27947197,0.291264776,0.289484644,0.287704509,0.284744596,0.281784713,0.329045966,0.285471848,0.264788001,0.298755813,0.312468533,0.315656132,0.315247017,0.304110362,0.304110362
CAN,Canada,0.939006781,0.939006781,0.943289375,0.947572027,0.943206739,0.938841438,0.930101299,0.921361189,0.906369084,0.868415518,0.87503709,0.893438623,0.897565183,0.901617577,0.912638404,0.912875295,0.912875295
CPV,Cape Verde,0.43599955,0.43599955,0.43599955,0.43599955,0.480417633,0.524835721,0.554727519,0.584619323,0.564279352,0.552302333,0.567730765,0.628150392,0.656995055,0.652683059,0.647146092,0.654206263,0.654206263
