ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988,0.782499988
ALB,Albania,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
DZA,Algeria,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
AND,Andorra,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999
AGO,Angola,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
ATG,Antigua and Barbuda,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
ARG,Argentina,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
ARM,Armenia,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
AUS,Australia,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987
AUT,Austria,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999
AZE,Azerbaijan,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
BHS,Bahamas,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
BHR,Bahrain,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
BGD,Bangladesh,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993
BRB,Barbados,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
BLR,Belarus,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987,0.874999987
BEL,Belgium,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999,0.067499999
BLZ,Belize,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
BEN,Benin,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
BTN,Bhutan,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993,0.449999993
BOL,"Bolivia, Plurinational State of",0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997,0.224999997
BIH,Bosnia and Herzegovina,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
BWA,Botswana,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994
BRA,Brazil,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
BRN,Brunei Darussalam,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987,0.849999987
BGR,Bulgaria,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999,0.074999999
BFA,Burkina Faso,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
BDI,Burundi,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994
KHM,Cambodia,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989
CMR,Cameroon,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
CAN,Canada,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986,0.924999986
CPV,Cape Verde,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
CAF,Central African Republic,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994,0.407499994
TCD,Chad,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
CHL,Chile,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
CHN,China,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989,0.767499989
COL,Colombia,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995,0.317499995
COM,Comoros,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997,0.207499997
