ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,,,,,,,0
ALB,Albania,50,30,30,30,30,30,50,50,50,50,70,70,70,70,70,70,R-IEF Finan free.xls
DZA,Algeria,50,50,50,50,50,50,50,30,30,30,30,20,30,30,30,30,26
AND,Andorra,,,,,,,,,,,,,,,,,26
AGO,Angola,30,30,30,30,30,,,,,,50,40,40,40,40,40,
ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,,70
ARG,Argentina,70,70,70,70,70,70,70,30,30,30,30,40,40,40,30,30,30
ARM,Armenia,50,50,50,50,70,70,70,70,90,90,70,70,70,70,70,70,
AUS,Australia,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,40
AUT,Austria,90,90,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
AZE,Azerbaijan,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,30
BHS,Bahamas,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,70
BHR,Bahrain,70,70,70,70,70,80,80,80,80,80,90,90,90,80,80,80,90
BGD,Bangladesh,50,50,50,30,30,30,30,30,30,10,30,20,20,20,20,,70
BRB,Barbados,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,40
BLR,Belarus,70,50,50,30,30,30,30,30,30,30,30,10,10,10,10,10,70
BEL,Belgium,70,70,70,70,70,70,70,70,70,70,70,80,80,80,70,70,80
BLZ,Belize,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,20
BEN,Benin,50,50,50,50,50,50,50,50,50,50,50,60,60,60,50,50,60
BTN,Bhutan,,,,,,,,,,,,,,30,30,30,10
BOL,"Bolivia, Plurinational State of",70,70,70,70,70,70,70,70,70,70,70,60,60,60,50,50,70
BIH,Bosnia and Herzegovina,,,10,10,30,30,30,50,70,70,70,60,60,60,60,60,50
BWA,Botswana,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,50
BRA,Brazil,50,50,50,50,50,50,50,50,50,50,50,40,40,50,50,50,30
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,50
BGR,Bulgaria,50,50,50,50,50,50,50,50,70,70,70,60,60,60,60,60,60
BFA,Burkina Faso,30,30,30,30,30,50,50,50,50,50,50,50,50,50,50,50,70
BDI,Burundi,,30,30,30,30,,,,,,30,30,30,30,30,30,60
KHM,Cambodia,,50,50,50,50,50,50,70,70,70,70,50,50,50,50,50,
CMR,Cameroon,30,30,30,30,30,50,50,50,50,30,50,60,50,50,50,50,60
CAN,Canada,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80,80,50
CPV,Cape Verde,10,10,10,10,10,30,50,50,50,50,50,50,50,60,60,60,30
CAF,Central African Republic,,,,,,,50,50,50,50,50,40,40,30,30,30,50
TCD,Chad,,30,30,30,30,30,50,70,70,50,50,50,40,40,40,40,50
CHL,Chile,50,50,50,50,50,50,70,70,70,70,70,70,70,70,70,70,80
CHN,China,50,50,50,50,50,30,30,30,30,30,30,30,30,30,30,30,60
COL,Colombia,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,30
COM,Comoros,,,,,,,,,,,,,,20,20,20,40
COG,Congo,30,30,30,10,10,,,,,,,,,20,20,,70
COD,"Congo, the Democratic Republic of the",30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,20,30
CRI,Costa Rica,50,50,50,50,50,50,50,50,50,50,50,40,40,50,50,,60
CIV,C™te d'Ivoire,50,50,50,50,50,50,70,70,70,70,70,70,60,60,50,50,20
HRV,Croatia,50,50,50,50,50,50,50,50,70,70,70,60,60,60,60,60,30
CUB,Cuba,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
CYP,Cyprus,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,50
CZE,Czech Republic,90,90,90,90,90,90,90,90,90,90,90,80,80,80,80,80,
DNK,Denmark,70,70,70,70,70,70,90,90,90,90,90,90,90,90,90,90,60
DJI,Djibouti,,50,50,50,30,50,50,50,50,50,70,60,60,60,60,60,10
DMA,Dominica,,,,,,,,,,,,,,30,30,30,70
DOM,Dominican Republic,50,50,50,50,50,50,50,50,30,30,50,40,40,40,40,40,80
ECU,Ecuador,50,50,50,50,50,30,30,50,50,50,50,60,50,40,40,40,90
EGY,Egypt,50,50,70,70,30,30,30,30,30,30,30,30,40,50,50,50,60
SLV,El Salvador,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,30
GNQ,Equatorial Guinea,,,,10,10,10,10,30,30,50,50,60,50,40,40,40,40
ERI,Eritrea,,,,,,,,,,,,,,20,20,20,40
EST,Estonia,70,70,70,70,70,70,90,90,90,90,90,90,80,80,80,80,40
ETH,Ethiopia,30,30,30,30,30,30,30,30,30,30,30,20,20,20,20,20,70
FJI,Fiji,50,50,50,50,50,50,50,70,70,50,50,60,60,60,60,60,40
FIN,Finland,50,50,50,50,50,50,70,70,70,70,70,80,80,80,80,80,20
FRA,France,50,50,50,50,50,50,50,50,50,50,50,60,70,70,70,70,80
GAB,Gabon,50,70,70,70,70,50,50,50,50,30,30,40,40,40,40,40,20
GMB,Gambia,,30,30,30,30,50,50,50,50,50,50,60,50,50,50,,60
GEO,Georgia,30,30,30,30,30,30,30,50,50,50,70,70,60,60,60,60,80
DEU,Germany,70,70,50,50,50,50,50,50,50,50,50,50,60,60,60,60,70
GHA,Ghana,50,50,50,50,50,50,50,50,50,30,50,50,50,60,60,60,40
GRC,Greece,30,30,30,30,30,50,50,50,50,50,50,40,50,50,60,60,50
GRD,Grenada,,,,,,,,,,,,,,,,,60
GTM,Guatemala,50,70,70,70,70,70,70,70,70,70,50,60,50,50,50,,60
GIN,Guinea,70,70,70,50,50,50,50,70,70,70,50,60,50,40,40,40,60
GNB,Guinea-Bissau,,,,10,10,10,10,10,10,10,30,40,30,30,30,30,60
GUY,Guyana,50,50,50,50,50,50,50,50,70,70,70,60,40,40,40,40,
HTI,Haiti,10,30,30,30,30,30,30,50,50,30,30,40,30,30,30,30,50
HND,Honduras,50,50,50,50,50,50,50,50,50,70,70,70,60,60,60,,40
HUN,Hungary,70,70,70,70,70,70,70,70,70,70,70,60,70,70,70,,30
ISL,Iceland,,50,50,50,50,50,50,50,50,90,90,70,70,70,60,60,30
IND,India,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,30
IDN,Indonesia,50,50,50,30,30,30,30,30,30,30,30,40,40,40,40,40,60
IRN,"Iran, Islamic Republic of",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,70
IRQ,Iraq,10,10,10,10,10,10,10,,,,,,,,,,60
IRL,Ireland,70,70,70,70,70,90,90,90,90,90,90,90,90,90,80,70,40
ISR,Israel,50,50,50,50,50,50,50,50,50,50,50,50,60,70,70,70,40
ITA,Italy,50,70,70,70,70,70,70,70,70,70,50,60,60,60,60,60,10
JAM,Jamaica,70,70,70,50,50,30,30,70,70,70,70,60,60,50,60,,
JPN,Japan,50,50,50,50,50,50,50,50,30,30,50,50,50,50,50,50,70
JOR,Jordan,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,70
KAZ,Kazakhstan,,,30,30,30,30,30,30,30,30,70,60,60,60,50,50,60
KEN,Kenya,50,70,70,70,70,50,50,50,50,50,50,50,50,50,50,50,60
KIR,Kiribati,,,,,,,,,,,,,,30,30,30,50
PRK,"Korea, Democratic People's Republic of",10,10,10,10,10,10,10,10,10,10,10,,,,,,60
KOR,"Korea, Republic of",70,70,70,50,50,50,50,50,50,50,50,50,60,60,70,,50
KWT,Kuwait,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
KGZ,Kyrgyzstan,,,50,50,50,50,50,50,50,50,50,50,50,50,50,,30
LAO,Lao People's Democratic Republic,10,10,10,10,10,10,10,10,10,10,30,20,20,20,20,,0
LVA,Latvia,50,70,70,70,70,70,70,70,70,70,70,70,70,60,50,50,70
LBN,Lebanon,70,70,70,70,70,70,70,70,70,70,70,70,70,60,60,60,50
LSO,Lesotho,30,30,30,30,30,50,50,50,50,50,50,50,50,40,40,40,50
LBR,Liberia,,,,,,,,,,,,,,20,20,20,20
LBY,Libyan Arab Jamahiriya,10,10,10,10,10,10,10,10,10,10,30,20,20,20,20,,50
LIE,Liechtenstein,,,,,,,,,,,,,,,,,60
LTU,Lithuania,30,50,50,50,50,50,50,70,90,90,90,80,80,80,80,80,40
LUX,Luxembourg,70,70,70,70,70,90,90,90,90,90,90,80,80,80,80,80,20
MDG,Madagascar,30,30,30,30,30,50,50,50,50,50,50,50,50,50,50,50,20
MWI,Malawi,50,50,50,50,50,50,50,30,30,30,50,50,50,50,50,50,
MYS,Malaysia,50,50,50,50,50,30,30,30,30,30,30,40,40,40,50,,80
MDV,Maldives,,,,,,,,,,,,,,30,30,30,80
MLI,Mali,50,50,50,50,50,50,50,50,30,30,30,40,40,40,40,40,50
MLT,Malta,50,50,50,50,50,70,70,50,70,90,70,70,70,60,60,60,50
MHL,Marshall Islands,,,,,,,,,,,,,,,,,50
MRT,Mauritania,10,10,10,10,10,30,50,70,70,70,50,50,50,40,40,40,30
MUS,Mauritius,,,,70,70,70,70,70,70,70,50,60,60,70,70,70,40
MEX,Mexico,30,30,30,30,30,50,70,70,70,70,70,60,60,60,60,60,60
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,30,30,,
MDA,"Moldova, Republic of",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,40
MCO,Monaco,,,,,,,,,,,,,,,,,70
MKD,Macedonia,,,,,,,70,70,70,70,70,60,60,60,60,60,60
MNG,Mongolia,50,50,50,50,50,50,50,50,50,50,70,60,60,60,60,60,30
MNE,Montenegro,,,,,,,30,30,,,,,,50,50,50,50
MAR,Morocco,50,50,50,50,50,50,50,50,50,30,30,40,40,50,60,60,
MOZ,Mozambique,30,30,50,50,50,50,50,70,70,50,50,50,50,50,50,,60
MMR,Myanmar,30,30,30,30,30,30,30,30,30,10,10,10,10,10,10,,60
NAM,Namibia,,70,70,70,70,50,50,70,50,50,50,60,50,50,40,40,50
NRU,Nauru,,,,,,,,,,,,,,,,,60
NPL,Nepal,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,50
NLD,Netherlands,90,90,90,90,90,90,90,90,90,90,90,80,90,90,80,,
NZL,New Zealand,90,90,90,90,90,90,90,90,90,90,90,80,80,80,80,80,40
NIC,Nicaragua,50,50,50,50,50,50,70,70,70,70,70,60,50,50,50,,
NER,Niger,30,30,30,30,30,30,30,50,50,50,50,50,40,40,40,40,30
NGA,Nigeria,30,30,30,30,30,30,30,30,30,30,30,50,40,40,40,40,80
NOR,Norway,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,80
OMN,Oman,30,30,30,30,30,50,50,50,50,50,50,50,60,60,60,60,50
PAK,Pakistan,70,50,50,50,50,50,50,50,30,30,50,40,30,40,40,,40
PLW,Palau,,,,,,,,,,,,,,,,,40
PAN,Panama,90,90,90,90,90,90,90,90,70,70,70,60,70,70,70,,60
PNG,Papua New Guinea,30,30,30,30,30,50,,,,,,,,30,30,30,60
