ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.724565114,0.733825788,0.74245226,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347,0.743495347
ALB,Albania,0.702820255,0.712812034,0.722119543,0.702994612,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755,0.655743755
DZA,Algeria,0.521832737,0.495882173,0.505442616,0.48044512,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035,0.500900035
AND,Andorra,1,1,0.979667284,0.966249388,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143,0.952749143
AGO,Angola,0.833289411,0.838894556,0.823783125,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571
ATG,Antigua and Barbuda,0.623089103,0.635761604,0.600123245,0.601742775,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253,0.58824253
ARG,Argentina,0.108680408,0.138648362,0.146231293,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119,0.149689119
ARM,Armenia,0.833289411,0.838894556,0.817005553,0.804246449,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082,0.783996082
AUS,Australia,0,0,0,0.008345645,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,0.891275703,0.866912894,0.823783125,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571,0.810996571
BHS,Bahamas,0.637805321,0.649983033,0.586773481,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175,0.59540175
BHR,Bahrain,0.797047979,0.747834957,0.722119543,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895,0.743699895
BGD,Bangladesh ,0.688323682,0.677789111,0.674676538,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244,0.669244
BRB,Barbados,0.521613093,0.537697421,0.539125096,0.520741306,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977,0.527695977
BLR,Belarus,0.347654217,0.341569054,0.362908221,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849,0.36548849
BEL,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,0.710288185,0.720028878,0.708769779,0.635697936,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852,0.656152852
BEN,Benin,0.65955018,0.656987617,0.627438914,0.601947324,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201,0.595197201
BTN,Bhutan,0.898523989,0.901935817,0.898336418,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163,0.898748163
