ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.823181999,0.81726395,0.81140395,0.805573218,0.799802975,0.794142975,0.788654682,0.783337121,0.778151267,0.772976145,0.767671755,0.762018096,0.755893706,0.749228828,0.742022975,0.734356145,0.734356145
ALB,Albania,0.262594194,0.255178584,0.246078584,0.23604395,0.225563462,0.215225414,0.205526877,0.196775657,0.18915956,0.182817609,0.177760048,0.173807365,0.170531755,0.167584926,0.164778096,0.161981023,0.161981023
DZA,Algeria,0.330682487,0.325310292,0.319486877,0.313232731,0.306539072,0.299516633,0.292377609,0.285401999,0.278820048,0.272701999,0.267077121,0.261894194,0.256981999,0.252219072,0.247544926,0.242949316,0.242949316
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,0.858981511,0.849967853,0.838767365,0.825713706,0.811218096,0.795901511,0.780533706,0.765761511,0.752132731,0.739925901,0.729231267,0.719857121,0.711294194,0.703051755,0.69497956,0.686926877,0.686926877
ATG,Antigua and Barbuda,0.205365901,0.205365901,0.205365901,0.203170824,0.200975695,0.198780565,0.196585436,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292,0.194390292
ARG,Argentina,0.247527365,0.243074194,0.238652243,0.234270779,0.229930779,0.225640535,0.221409804,0.217227853,0.213114194,0.20908834,0.205170779,0.201371267,0.197700535,0.194149316,0.190718096,0.187357121,0.187357121
ARM,Armenia,0.327590779,0.319411267,0.310167365,0.300289316,0.290150292,0.280211267,0.270839072,0.262207853,0.254432243,0.247671755,0.241985901,0.237315657,0.233443462,0.230081023,0.227089316,0.224328828,0.224328828
AUS,Australia,0.143414682,0.138439072,0.130390292,0.127365901,0.121365901,0.115317121,0.107317121,0.10126834,0.09521956,0.09019517,0.083170779,0.079170779,0.074146389,0.072097609,0.069121999,0.066097609,0.066097609
AUT,Austria,0.165687853,0.160326877,0.152248828,0.148536633,0.144487853,0.139463462,0.129463462,0.126439072,0.127365901,0.116390292,0.113365901,0.103365901,0.100341511,0.095317121,0.098341511,0.092341511,0.092341511
AZE,Azerbaijan,0.408483462,0.400120048,0.390752243,0.381532731,0.372890292,0.364855657,0.357046389,0.348902975,0.340113706,0.330856145,0.321545414,0.312771755,0.305026877,0.298642975,0.293647365,0.289869804,0.289869804
BHS,Bahamas,0.298872731,0.293039072,0.286745901,0.280342975,0.273931267,0.267434194,0.260606389,0.253230292,0.245256633,0.236843462,0.228326877,0.220161511,0.212691267,0.206122975,0.200494682,0.195557609,0.195557609
BHR,Bahrain,0.23705956,0.23439517,0.231730779,0.229136633,0.226572731,0.224078584,0.221634194,0.219249316,0.216894194,0.214569316,0.212245414,0.209843462,0.207374194,0.204827853,0.202204438,0.199523462,0.199523462
BGD,Bangladesh ,0.457546389,0.446757609,0.436068828,0.425560535,0.415321999,0.405393218,0.395833706,0.386633706,0.377802975,0.369372731,0.361354194,0.353798584,0.346666877,0.33991956,0.333495657,0.32730395,0.32730395
BRB,Barbados,0.200812731,0.199147365,0.197452243,0.195687365,0.193811755,0.191834682,0.189826389,0.187836145,0.185894194,0.183969316,0.181981023,0.179828828,0.177412731,0.174712731,0.17173956,0.168543462,0.168543462
