ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0,0,0,0,0,0,0,0.0910232,0.707821315,2.064079602,4.012711975,8.195869376,14.76202268,24.2911387,35.88696104,37.80718336,
ALB,Albania,0,0.073893279,0.10673042,0.181875047,0.358248786,0.969804574,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,98.73608984,130.3468857,141.8972543,
DZA,Algeria,0.016580899,0.040643551,0.059501588,0.060659788,0.239210526,0.281654835,0.322765829,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012327,78.51588828,93.64711494,92.42180275,
AND,Andorra,4.366373514,8.413693716,13.27786765,21.97335243,32.19504571,36.42510134,44.32745895,47.49214258,71.87097489,77.51952399,82.88824979,86.39106593,78.02309866,77.74804122,77.14067187,77.17642345,
AGO,Angola,0.016472389,0.026484163,0.055127184,0.074743507,0.17762548,0.185303094,0.521258883,0.940198411,2.269787897,4.6373295,9.770852982,17.95740315,28.31059686,37.55055726,43.70450412,46.68902631,
ATG,Antigua and Barbuda,,1.845280341,1.935787174,2.021835827,11.18641837,28.33007108,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,190.875,
ARG,Argentina,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,141.7895675,
ARM,Armenia,0,0.009457204,0.159497977,0.251873452,0.264056708,0.568447429,0.831884559,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,46.83206418,71.03776071,125.0114489,
AUS,Australia,12.40593183,21.79018077,24.7232273,26.28400406,33.366797,44.70317966,57.34301757,64.47377795,72.11214653,81.87843437,90.31713966,95.46862242,100.8897853,102.8908994,101.1311197,100.9013857,
AUT,Austria,4.825384819,7.522386244,14.55439298,28.74464901,53.18093961,76.35211393,81.33252544,83.34614995,89.56558475,97.79776372,105.3133214,112.2433541,119.41035,129.7360682,136.6840899,145.8998808,
