ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0,0,0,0,0,0,0,0.001011369,0.007864681,0.022934218,0.044585689,0.091065215,0.164022474,0.269901541,0.398744012,0.420079815,0.420079815
ALB,Albania,0,0.000821036,0.001185894,0.002020834,0.003980542,0.010775606,0.141769317,0.306027021,0.393414822,0.447874144,0.541177386,0.672270715,0.814118982,1,1,1,1
DZA,Algeria,0.000184232,0.000451595,0.000661129,0.000673998,0.002657895,0.003129498,0.003586287,0.015910996,0.050376755,0.167455748,0.461538437,0.698703047,0.903223592,0.872398759,1,1,1
AND,Andorra,0.048515261,0.093485486,0.147531863,0.24414836,0.35772273,0.404723348,0.492527322,0.527690473,0.798566388,0.861328044,0.920980553,0.959900733,0.866923318,0.863867125,0.857118576,0.857515816,0.857515816
AGO,Angola,0.000183027,0.000294268,0.000612524,0.000830483,0.001973616,0.002058923,0.005791765,0.010446649,0.025219866,0.051525883,0.108565033,0.199526702,0.314562187,0.417228414,0.485605601,0.518766959,0.518766959
ATG,Antigua and Barbuda,0.020503115,0.020503115,0.021508746,0.022464843,0.124293537,0.314778568,0.35088458,0.527283342,0.626832227,0.724305271,1,1,1,1,1,1,1
ARG,Argentina,0.012923162,0.021002946,0.062503368,0.082126853,0.117033407,0.195198888,0.20081646,0.193757121,0.22929751,0.391587226,0.636440122,0.897183247,1,1,1,1,1
ARM,Armenia,0,0.00010508,0.0017722,0.002798594,0.002933963,0.006316083,0.009243162,0.025898377,0.041524436,0.073760205,0.115260119,0.45596309,0.678197254,0.520356269,0.789308452,1,1
AUS,Australia,0.137843687,0.24211312,0.274702526,0.29204449,0.370742189,0.496701996,0.63714464,0.716375311,0.801246073,0.909760382,1,1,1,1,1,1,1
AUT,Austria,0.053615387,0.083582069,0.161715478,0.319384989,0.590899329,0.848356821,0.903694727,0.926068333,0.995173164,1,1,1,1,1,1,1,1
AZE,Azerbaijan,0.000867491,0.002433194,0.0056702,0.009127034,0.051499936,0.058036318,0.099998904,0.107984562,0.142645287,0.194830421,0.296848861,0.435235549,0.58512243,0.83022064,0.963315987,1,1
BHS,Bahamas,0.016282984,0.019380414,0.023984962,0.030866428,0.06013473,0.117676966,0.223083537,0.442404628,0.43780932,0.656653432,0.792461403,0.867405611,1,1,1,1,1
BHR,Bahrain,0.054853098,0.077460861,0.109695301,0.167352798,0.236608263,0.358176219,0.518084457,0.673152633,0.760770583,1,1,1,1,1,1,1,1
BGD,Bangladesh ,2.36433E-05,3.70591E-05,0.000236077,0.000667717,0.001301386,0.002392118,0.004378943,0.008896077,0.011109909,0.022293489,0.071129866,0.149322972,0.265280192,0.34094432,0.396215045,0.512991807,0.512991807
BRB,Barbados,0.019462245,0.026419885,0.033586331,0.050136434,0.084591861,0.118238129,0.22003722,0.40173735,0.577438409,0.823774873,0.846940699,0.971975251,1,1,1,1,1
BLR,Belarus,0.000642753,0.000716098,0.00089695,0.001341301,0.002597243,0.005480926,0.015415735,0.051791772,0.125807799,0.253255067,0.465956459,0.680423552,0.797086511,0.940544794,1,1,1
BEL,Belgium,0.025786983,0.052310841,0.106349578,0.191260264,0.346227637,0.610115298,0.831396882,0.871205047,0.921541559,0.973630698,1,1,1,1,1,1,1
BLZ,Belize,0.007939441,0.010930931,0.012289855,0.01646867,0.030124777,0.074779824,0.169084942,0.216729512,0.245211708,0.294880868,0.365547178,0.435027211,0.422022472,0.552043879,0.539492464,0.625446055,0.625446055
