ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0,0,0,0,0,0,0.007296753,0.035414268,0.052205289,0.038683604,0.068300481,0.042031143,0.008743578,0,0,0,0
ALB,Albania,0.420392721,0.420392721,0.399190688,0.377988665,0.377672195,0.37735573,0.393734932,0.41011413,0.448985604,0.407435703,0.399523062,0.404370167,0.457452472,0.49358752,0.489153881,0.463135484,0.463135484
DZA,Algeria,0.10869265,0.10869265,0.101337743,0.093982837,0.138261533,0.182540228,0.169717789,0.156895331,0.138828027,0.213164652,0.302299285,0.2783064,0.277528222,0.284330508,0.254459405,0.249759631,0.249759631
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,0.078802212,0.078802212,0.05493536,0.031068529,0.056307459,0.081546425,0.133107519,0.184668658,0.287673559,0.287596931,0.31669003,0.389799942,0.361895854,0.434230927,0.433862788,0.456927259,0.456927259
ATG,Antigua and Barbuda,0.627166173,0.627166173,0.627772248,0.628378316,0.62785933,0.627340324,0.635065413,0.642790504,0.668465649,0.728925469,0.668928112,0.666593852,0.665890459,0.669126875,0.648628045,0.684028002,0.684028002
ARG,Argentina,0.499545557,0.499545557,0.482206921,0.464868286,0.478810135,0.492751984,0.412878275,0.33300456,0.434797236,0.405107097,0.501311378,0.513658571,0.531830178,0.492235379,0.471638333,0.498190987,0.498190987
ARM,Armenia,0.404649822,0.404649822,0.382526243,0.360402667,0.360684299,0.360965924,0.390696788,0.420427644,0.540498848,0.472480899,0.477814029,0.446790501,0.521694381,0.494922047,0.54182248,0.505108333,0.505108333
AUS,Australia,0.768029346,0.768029346,0.74058218,0.713135004,0.736748123,0.760361273,0.741801262,0.723241239,0.664669567,0.6865335,0.678149364,0.686925985,0.689656392,0.694417786,0.655986555,0.662904694,0.662904694
AUT,Austria,0.76360273,0.76360273,0.743429518,0.723256315,0.707059002,0.69086165,0.721638107,0.75241459,0.688765545,0.710057793,0.720857955,0.711012328,0.750358494,0.768390213,0.730740316,0.717471218,0.717471218
AZE,Azerbaijan,0.325659,0.325659,0.338033652,0.350408296,0.336581206,0.322754134,0.284074759,0.245395363,0.303787581,0.287067705,0.279468111,0.295537988,0.37356623,0.437291435,0.424203099,0.438497289,0.438497289
BHS,Bahamas,0.697278941,0.697278941,0.700823021,0.704367087,0.720613456,0.736859834,0.706632423,0.676405012,0.661074666,0.688309098,0.69106956,0.674850946,0.64358499,0.660838002,0.673401185,0.693849495,0.693849495
BHR,Bahrain,0.41027145,0.41027145,0.429083109,0.447894768,0.471665281,0.495435794,0.515783904,0.536132014,0.593050584,0.565915664,0.485400888,0.427262175,0.45262001,0.453187361,0.485203145,0.431986728,0.431986728
BGD,Bangladesh ,0.370407841,0.370407841,0.386116743,0.401825647,0.377069724,0.352313792,0.319627666,0.286941562,0.276142037,0.22000639,0.139509925,0.201072916,0.206315338,0.206208222,0.187556372,0.215030668,0.215030668
BRB,Barbados,0.694773795,0.694773795,0.700204539,0.705635294,0.708733368,0.711831452,0.709532809,0.707234178,0.693694488,0.72458339,0.722453395,0.685874388,0.710237148,0.71580415,0.711550583,0.71429106,0.71429106
BLR,Belarus,0.505882701,0.505882701,0.502155329,0.498427957,0.495456187,0.492484417,0.516915151,0.541345885,0.623525279,0.522136818,0.560099057,0.518198816,0.55827708,0.595272468,0.590285229,0.477791964,0.477791964
BEL,Belgium,0.740919729,0.740919729,0.722949338,0.704978951,0.711670065,0.718361185,0.725309706,0.73225821,0.66884551,0.645004085,0.658705874,0.667708556,0.652633378,0.626665305,0.662634217,0.659421845,0.659421845
BLZ,Belize,0.61052164,0.61052164,0.617358696,0.624195758,0.592646408,0.561097065,0.562678212,0.564259355,0.593984183,0.593305595,0.51762176,0.512035896,0.520952554,0.539051234,0.499155444,0.498106004,0.498106004
BEN,Benin,0.694773795,0.694773795,0.657545972,0.620318154,0.624887908,0.629457664,0.636780691,0.644103711,0.63062239,0.547902596,0.568934669,0.599245305,0.570364483,0.572112347,0.587506365,0.561143952,0.561143952
BTN,Bhutan,0.618335748,0.618335748,0.608468175,0.598600615,0.596938992,0.595277364,0.611333597,0.627389823,0.693694488,0.71894291,0.76028219,0.761406462,0.629853238,0.651367501,0.652330519,0.635175582,0.635175582
BOL,"Bolivia, Plurinational State of",0.450452583,0.450452583,0.455394083,0.460335582,0.450361377,0.440387169,0.429911095,0.419435016,0.343753442,0.365577037,0.310060749,0.328138925,0.326375601,0.352131345,0.399713024,0.419980587,0.419980587
BIH,Bosnia and Herzegovina,0.369164761,0.369164761,0.373335481,0.37750618,0.378408194,0.379310206,0.417522371,0.455734542,0.424079443,0.490543888,0.414178533,0.419488108,0.387420311,0.400911857,0.373473245,0.366915046,0.366915046
BWA,Botswana,0.688867458,0.688867458,0.686391437,0.683915413,0.689748812,0.695582223,0.675407028,0.655231828,0.707259297,0.668612071,0.702237266,0.675892846,0.680326588,0.688578363,0.687579375,0.681827326,0.681827326
BRA,Brazil,0.430665234,0.430665234,0.42846067,0.42625611,0.47088033,0.515504552,0.531295097,0.547085643,0.485748151,0.432041191,0.441099101,0.44983852,0.429351655,0.447901777,0.54086118,0.509596396,0.509596396
BRN,Brunei Darussalam,0.729294176,0.729294176,0.722035503,0.714776817,0.733109331,0.751441846,0.726885986,0.702330153,0.712639986,0.771624105,0.755212089,0.740015515,0.737141219,0.734035128,0.772030219,0.748353961,0.748353961
BGR,Bulgaria,0.458792838,0.458792838,0.531433114,0.604073389,0.584668297,0.565263198,0.573226327,0.581189451,0.536484672,0.502068375,0.522905531,0.579822794,0.572123508,0.572379654,0.574393479,0.5754588,0.5754588
BFA,Burkina Faso,0.423871338,0.423871338,0.449667454,0.475463576,0.491240513,0.507017452,0.468321666,0.429625879,0.516134631,0.493579469,0.492026735,0.531303591,0.555408352,0.518859655,0.504224019,0.47759921,0.47759921
BDI,Burundi,0.032978711,0.032978711,0.022607803,0.012236936,0.037510395,0.062783871,0.037404251,0.012024623,0.051000238,0,0.183941303,0.221585141,0.23283016,0.17763778,0.249561933,0.19187994,0.19187994
KHM,Cambodia,0.2716081,0.2716081,0.261195731,0.250783383,0.295150805,0.339518253,0.339533138,0.339548028,0.359574417,0.411801779,0.410995674,0.420918617,0.41468621,0.431310927,0.366609497,0.376518571,0.376518571
CMR,Cameroon,0.284490387,0.284490387,0.310045063,0.335599733,0.355428672,0.375257613,0.369079697,0.362901783,0.385658763,0.408172624,0.452762273,0.431514548,0.422231927,0.379252582,0.428773648,0.384731866,0.384731866
CAN,Canada,0.729974634,0.729974634,0.711713171,0.693451701,0.711943269,0.730434817,0.730108023,0.729781221,0.714140992,0.676246041,0.667499274,0.713026024,0.704787093,0.706583051,0.721978032,0.688304499,0.688304499
CPV,Cape Verde,0.693506836,0.693506836,0.704583573,0.715660302,0.721128035,0.726595769,0.679036689,0.631477617,0.693694488,0.723296734,0.647474391,0.69952772,0.675349412,0.662659212,0.664507454,0.667354348,0.667354348
CAF,Central African Republic,0.262643374,0.262643374,0.277244043,0.291844698,0.285015607,0.278186505,0.208236027,0.138285558,0.17473433,0.228042514,0.220144882,0.124729829,0.126875931,0.132405296,0.090684672,0.070986095,0.070986095
TCD,Chad,0.290493745,0.290493745,0.253164768,0.215835778,0.23238256,0.248929342,0.211433959,0.173938587,0.218106498,0.20760505,0.236277456,0.123294112,0.112612176,0.089365433,0.16905043,0.193552975,0.193552975
CHL,Chile,0.621526105,0.621526105,0.56409778,0.506669446,0.550961238,0.595253034,0.644449925,0.693646818,0.647036435,0.644211084,0.678071842,0.614433167,0.580082574,0.583247995,0.612839479,0.621456017,0.621456017
CHN,China,0.450792106,0.450792106,0.416245735,0.381699364,0.398853374,0.416007388,0.418308336,0.420609285,0.377149952,0.418521255,0.396794983,0.382556751,0.395435887,0.397716743,0.38981794,0.346875942,0.346875942
COL,Colombia,0.16693437,0.16693437,0.153022909,0.13911143,0.158169079,0.17722671,0.13805995,0.09889322,0.0175074,0.060224584,0.097028749,0.133138595,0.147827205,0.134950104,0.148801932,0.201139986,0.201139986
COM,Comoros,0.588782347,0.588782347,0.599896139,0.611009933,0.54713912,0.483268302,0.523945183,0.564622065,0.374154939,0.497358215,0.458851696,0.454791669,0.292290637,0.285830423,0.363059788,0.413678343,0.413678343
COG,Congo,0.234280595,0.234280595,0.198477483,0.162674371,0.216876602,0.271078839,0.216535378,0.161991923,0.246644422,0.280691295,0.278171015,0.316363661,0.351715004,0.358157969,0.457583057,0.450854688,0.450854688
COD,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,
CRI,Costa Rica,0.637235147,0.637235147,0.657010293,0.676785427,0.670952368,0.665119318,0.684075141,0.703030963,0.630087453,0.629059332,0.651089266,0.655839322,0.631095333,0.574949881,0.613759863,0.62866725,0.62866725
