ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,2.176470588,
ALB,Albania,21.11764706,30.47058824,30.52941176,30.47058824,42.47058824,42.47058824,42.41176471,43.35294118,43.35294118,47.35294118,53.52941176,58.82352941,58.82352941,59.05882353,59.05882353,59.05882353,
DZA,Algeria,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,37.11764706,
AND,Andorra,33.64705882,33.64705882,33.64705882,33.64705882,33.64705882,33.64705882,33.64705882,33.64705882,33.64705882,33.70588235,33.70588235,33.70588235,33.70588235,33.70588235,33.70588235,33.70588235,
AGO,Angola,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,65.58823529,
ATG,Antigua and Barbuda,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,
ARG,Argentina,28.64705882,29.05882353,29.05882353,29.05882353,29.05882353,29.05882353,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,29.11764706,
ARM,Armenia,40.88235294,40.88235294,40.88235294,40.88235294,40.88235294,40.88235294,40.88235294,47.11764706,47.11764706,47.11764706,47.11764706,47.11764706,47.11764706,47.11764706,47.11764706,47.11764706,
AUS,Australia,46.64705882,46.88235294,47.05882353,48.23529412,48.94117647,51.23529412,51.70588235,59.94117647,60.17647059,60.29411765,60.58823529,61.23529412,61.23529412,61.23529412,61.23529412,61.23529412,
AUT,Austria,84.94117647,85,86,86.11764706,86.82352941,86.94117647,87,87,87,87,87,87,87,87,87,87,
AZE,Azerbaijan,37.94117647,37.94117647,37.94117647,37.94117647,37.94117647,37.94117647,37.94117647,37.94117647,38.23529412,40.05882353,40.17647059,40.17647059,40.17647059,40.17647059,40.17647059,40.17647059,
BHS,Bahamas,43.29411765,43.29411765,43.29411765,43.29411765,43.29411765,43.29411765,43.29411765,79.58823529,79.58823529,79.58823529,79.58823529,79.58823529,79.58823529,79.58823529,79.58823529,79.58823529,
BHR,Bahrain,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,7.470588235,
BGD,Bangladesh ,10,10.35294118,10.35294118,10.35294118,10.35294118,10.35294118,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,10.76470588,
BRB,Barbados,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,0.529411765,
BLR,Belarus,42.11764706,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,42.47058824,
BEL,Belgium,20.94117647,26,30.76470588,33.11764706,35.35294118,38.64705882,66.76470588,66.82352941,80.76470588,80.88235294,80.94117647,81,81,81.11764706,81.11764706,81.11764706,
BLZ,Belize,92.88235294,94.29411765,94.29411765,95.88235294,95.88235294,96.17647059,96.70588235,96.94117647,96.94117647,98.76470588,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,
BEN,Benin,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,98.88235294,
BTN,Bhutan,91.70588235,91.70588235,91.70588235,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,95.05882353,
BOL,"Bolivia, Plurinational State of",72.47058824,72.47058824,85.52941176,85.52941176,85.52941176,85.52941176,85.52941176,85.52941176,85.52941176,86.23529412,86.23529412,86.23529412,86.23529412,86.23529412,86.23529412,86.23529412,
BIH,Bosnia and Herzegovina,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.764705882,2.764705882,2.882352941,2.882352941,2.882352941,2.882352941,2.882352941,2.882352941,
BWA,Botswana,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
BRA,Brazil,65,69.35294118,74.58823529,75.88235294,76.41176471,76.82352941,79.23529412,81.11764706,81.23529412,81.41176471,82.64705882,82.70588235,82.70588235,82.70588235,82.70588235,82.70588235,
BRN,Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
BGR,Bulgaria,23.94117647,23.94117647,23.94117647,23.94117647,23.94117647,26,26.58823529,52.29411765,52.76470588,52.88235294,52.94117647,53,53,53.23529412,53.23529412,53.23529412,
BFA,Burkina Faso,80.52941176,81.47058824,81.47058824,81.47058824,81.47058824,81.47058824,81.47058824,81.47058824,83.82352941,83.82352941,83.82352941,83.82352941,83.82352941,83.82352941,83.82352941,83.82352941,
BDI,Burundi,26.58823529,29.35294118,29.35294118,29.35294118,29.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,30.35294118,
KHM,Cambodia,92.76470588,92.76470588,92.82352941,92.88235294,100,100,100,100,100,100,100,100,100,100,100,100,
CMR,Cameroon,44.88235294,45.76470588,45.76470588,45.76470588,45.76470588,51.11764706,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,53.94117647,
CAN,Canada,30.76470588,31.88235294,32.41176471,33.88235294,34.35294118,34.88235294,37.70588235,37.88235294,40,40.17647059,41.17647059,41.52941176,41.52941176,42.70588235,44.52941176,44.52941176,
CPV,Cape Verde,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,14.64705882,
CAF,Central African Republic,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,97.05882353,
TCD,Chad,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,
CHL,Chile,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,59.88235294,
CHN,China,50.64705882,52.70588235,53.41176471,54.17647059,55.58823529,58.41176471,62.35294118,64.23529412,64.23529412,64.29411765,64.29411765,64.29411765,64.29411765,64.35294118,64.35294118,64.35294118,
COL,Colombia,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,89.05882353,
COM,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
COG,Congo,39.88235294,39.88235294,39.88235294,39.88235294,45.82352941,45.82352941,55,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,55.41176471,
COD,"Congo, the Democratic Republic of the",59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,
CRI,Costa Rica,93.29411765,93.29411765,93.29411765,93.35294118,93.35294118,93.35294118,93.35294118,94.17647059,94.17647059,94.17647059,94.17647059,94.17647059,94.17647059,94.17647059,94.17647059,94.17647059,
CIV,C™te d'Ivoire,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
HRV,Croatia,44.82352941,45.88235294,46.05882353,46.23529412,54.70588235,55.17647059,56.47058824,56.47058824,56.76470588,56.76470588,56.76470588,58.35294118,58.35294118,70.76470588,70.76470588,70.76470588,
CUB,Cuba,25.23529412,25.23529412,25.23529412,25.23529412,25.23529412,25.23529412,35.58823529,36.58823529,36.58823529,36.58823529,36.58823529,36.58823529,36.58823529,36.58823529,36.58823529,37.17647059,
CYP,Cyprus,60.23529412,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
CZE,Czech Republic,84.05882353,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,84.11764706,
DNK,Denmark,26.76470588,27.23529412,27.35294118,27.35294118,27.41176471,27.64705882,27.88235294,28.17647059,28.35294118,28.47058824,28.64705882,28.76470588,28.76470588,30.05882353,30.05882353,30.05882353,
DJI,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DMA,Dominica,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,80.05882353,
DOM,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ECU,Ecuador,91.70588235,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.82352941,91.88235294,91.88235294,91.88235294,
EGY,Egypt,11.76470588,23.23529412,23.23529412,25.35294118,25.35294118,25.35294118,25.35294118,31.82352941,34.70588235,34.70588235,34.70588235,34.70588235,34.70588235,34.70588235,34.70588235,34.70588235,
SLV,El Salvador,2.529411765,2.529411765,2.529411765,2.529411765,2.529411765,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,2.588235294,4.235294118,4.882352941,4.882352941,
GNQ,Equatorial Guinea,42.64705882,42.64705882,42.64705882,42.64705882,42.64705882,100,100,100,100,100,100,100,100,100,100,100,
ERI,Eritrea,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,28.88235294,29.35294118,29.35294118,29.35294118,
EST,Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
ETH,Ethiopia,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,84.41176471,85.05882353,85.05882353,85.41176471,85.41176471,85.41176471,
FJI,Fiji,6.352941176,7.411764706,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
FIN,Finland,47.58823529,47.70588235,47.70588235,47.82352941,47.88235294,48.47058824,48.58823529,48.70588235,48.88235294,49.11764706,49.29411765,49.29411765,49.29411765,49.29411765,49.29411765,49.29411765,
FRA,France,59,61.76470588,61.82352941,67.58823529,70.17647059,70.23529412,71.58823529,71.58823529,71.58823529,76.82352941,76.82352941,76.82352941,76.82352941,76.88235294,76.88235294,76.88235294,
GAB,Gabon,27.23529412,27.23529412,27.23529412,32.47058824,33.58823529,33.58823529,33.58823529,87.52941176,89.35294118,89.35294118,89.35294118,89.35294118,89.35294118,89.35294118,89.35294118,89.35294118,
