ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,-1.732823485,,-1.717796846,,-1.749640442,,-1.77705925,-1.721125297,-1.659901402,-1.733769413,-1.969094552,-1.950028036,-1.951643099,-1.905712075,-1.897623602,
ALB,Albania,,-0.920858901,,-1.190120822,,-1.243457773,,-0.940970069,-0.984724319,-0.849827168,-0.815606365,-0.741974235,-0.707244105,-0.636034033,-0.532860187,-0.437525048,
DZA,Algeria,,-1.156870572,,-1.146722387,,-1.135281546,,-0.606838557,-0.55160401,-0.591238852,-0.70846966,-0.630911088,-0.693038709,-0.723414591,-0.763900527,-0.758924149,
AND,Andorra,,1.493747924,,1.515167311,,1.507228371,,1.483897604,1.229638349,1.277700455,1.180571234,1.207364863,1.214131389,1.217886597,1.249716086,1.231890634,
AGO,Angola,,-1.598380911,,-1.673486972,,-1.59152736,,-1.597230534,-1.532851294,-1.409199212,-1.449183267,-1.299749521,-1.353370932,-1.392498095,-1.226485263,-1.243780077,
ATG,Antigua and Barbuda,,0.972833559,,0.987932482,,0.972753764,,0.951390849,0.984498563,0.920099356,0.665060507,0.982711117,0.975387504,0.964901625,1.004717407,0.984908569,
ARG,Argentina,,0.074287126,,-0.003796837,,-0.160993805,,-0.816156887,-0.87794451,-0.827497904,-0.582238615,-0.569385422,-0.597798578,-0.665169673,-0.66790703,-0.575660344,
ARM,Armenia,,-0.453815732,,-0.348322702,,-0.448436866,,-0.372619351,-0.318471837,-0.452376633,-0.362814465,-0.495772984,-0.452625838,-0.30019444,-0.45602834,-0.470497139,
AUS,Australia,,1.708992116,,1.769037654,,1.725922669,,1.762698481,1.825701404,1.823452955,1.713068763,1.757038641,1.747597626,1.766647233,1.737847416,1.770200087,
AUT,Austria,,1.857518876,,1.849540598,,1.85321035,,1.865348259,1.836154079,1.847787213,1.863723389,1.917829918,1.974343111,1.934808629,1.777089972,1.795949391,
AZE,Azerbaijan,,-1.056317679,,-1.067129973,,-1.093342522,,-0.862705417,-0.82940787,-0.807659602,-0.748929965,-0.840134352,-0.790403577,-0.770317142,-0.860066792,-0.882899473,
BHS,Bahamas,,1.079380688,,1.210070992,,1.237857688,,1.324054415,1.323517037,1.333106171,1.327035963,1.109716322,1.253436171,1.188450956,0.780617808,0.680417393,
BHR,Bahrain,,0.298264699,,0.614119963,,0.552713686,,0.768910936,0.852997674,0.922122825,0.667601624,0.492674449,0.588134453,0.572057426,0.497794629,0.449221526,
BGD,Bangladesh ,,-0.960479238,,-0.919276547,,-0.898198786,,-0.901628057,-1.081269164,-1.017625697,-0.963802154,-0.886824925,-0.833676957,-0.71241626,-0.762920116,-0.768461544,
BRB,Barbados,,0.961321942,,1.173883937,,1.329971065,,1.414619038,1.410674247,1.367371661,1.278144963,1.171740536,1.264045098,1.276360214,0.969615289,1.03585053,
BLR,Belarus,,-0.644964883,,-0.756707828,,-0.986571173,,-1.26331379,-1.181868812,-1.180680666,-1.077532806,-1.296447767,-1.146518409,-1.020556962,-1.006191249,-1.045731507,
