ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.153435303,0.153435303,0.154937983,0.156440631,0.153256273,0.150071912,0.147330046,0.14458815,0.155774941,0.16801972,0.153246117,0.10618109,0.109994393,0.10967138,0.118857585,0.12047528,0.12047528
ALB,Albania,0.31582822,0.31582822,0.28890202,0.261975836,0.256642151,0.251308445,0.281557226,0.311805986,0.303055136,0.330034566,0.336878727,0.351605153,0.358551179,0.372793193,0.393427963,0.41249499,0.41249499
DZA,Algeria,0.268625886,0.268625886,0.269640684,0.270655523,0.271799612,0.272943691,0.325787985,0.378632289,0.389679198,0.38175223,0.358306068,0.373817782,0.361392258,0.355317082,0.347219895,0.34821517,0.34821517
AND,Andorra,0.798749585,0.798749585,0.800891542,0.803033462,0.802239561,0.801445674,0.799112606,0.796779521,0.74592767,0.755540091,0.736114247,0.741472973,0.742826278,0.743577319,0.749943217,0.746378127,0.746378127
AGO,Angola,0.180323818,0.180323818,0.172813225,0.165302606,0.173498583,0.181694528,0.18112421,0.180553893,0.193429741,0.218160158,0.210163347,0.240050096,0.229325814,0.221500381,0.254702947,0.251243985,0.251243985
ATG,Antigua and Barbuda,0.694566712,0.694566712,0.696076608,0.697586496,0.696068621,0.694550753,0.692414463,0.69027817,0.696899713,0.684019871,0.633012101,0.696542223,0.695077501,0.692980325,0.700943481,0.696981714,0.696981714
ARG,Argentina,0.514857425,0.514857425,0.507049029,0.499240633,0.483520935,0.467801239,0.402284932,0.336768623,0.324411098,0.334500419,0.383552277,0.386122916,0.380440284,0.366966065,0.366418594,0.384867931,0.384867931
ARM,Armenia,0.409236854,0.409236854,0.419786155,0.43033546,0.420324045,0.410312627,0.417894375,0.42547613,0.436305633,0.409524673,0.427437107,0.400845403,0.409474832,0.439961112,0.408794332,0.405900572,0.405900572
AUS,Australia,0.841798423,0.841798423,0.847802973,0.853807531,0.849496031,0.845184534,0.848862123,0.852539696,0.865140281,0.864690591,0.842613753,0.851407728,0.849519525,0.853329447,0.847569483,0.854040017,0.854040017
AUT,Austria,0.871503775,0.871503775,0.870705938,0.86990812,0.870275092,0.87064207,0.871855855,0.873069652,0.867230816,0.869557443,0.872744678,0.883565984,0.894868622,0.886961726,0.855417994,0.859189878,0.859189878
AZE,Azerbaijan,0.288736464,0.288736464,0.287655234,0.286574005,0.283952761,0.281331496,0.304395199,0.327458917,0.334118426,0.33846808,0.350214007,0.33197313,0.341919285,0.345936572,0.327986642,0.323420105,0.323420105
BHS,Bahamas,0.715876138,0.715876138,0.72894516,0.742014198,0.744792867,0.747571538,0.756191206,0.764810883,0.764703407,0.766621234,0.765407193,0.721943264,0.750687234,0.737690191,0.656123562,0.636083479,0.636083479
BHR,Bahrain,0.55965294,0.55965294,0.591238463,0.622823993,0.616683364,0.610542737,0.632162464,0.653782187,0.670599535,0.684424565,0.633520325,0.59853489,0.617626891,0.614411485,0.599558926,0.589844305,0.589844305
BGD,Bangladesh ,0.307904152,0.307904152,0.312024426,0.316144691,0.318252468,0.320360243,0.320017314,0.319674389,0.283746167,0.296474861,0.307239569,0.322635015,0.333264609,0.357516748,0.347415977,0.346307691,0.346307691
BRB,Barbados,0.692264388,0.692264388,0.713520575,0.734776787,0.750385499,0.765994213,0.774459028,0.782923808,0.782134849,0.773474332,0.755628993,0.734348107,0.75280902,0.755272043,0.693923058,0.707170106,0.707170106
BLR,Belarus,0.371007023,0.371007023,0.359832728,0.348658434,0.325672102,0.302685765,0.275011492,0.247337242,0.263626238,0.263863867,0.284493439,0.240710447,0.270696318,0.295888608,0.29876175,0.290853699,0.290853699
BEL,Belgium,0.76962736,0.76962736,0.753090668,0.736553956,0.748373699,0.76019346,0.76149323,0.762792991,0.760694767,0.764606261,0.747346321,0.741032044,0.761751106,0.764523112,0.776454781,0.779871513,0.779871513
BLZ,Belize,0.539120763,0.539120763,0.510572466,0.482024167,0.495545153,0.509066139,0.487166779,0.465267418,0.5110929,0.479463791,0.466063321,0.477886696,0.47117635,0.453631118,0.426201434,0.427084955,0.427084955
BEN,Benin,0.470807721,0.470807721,0.47190389,0.473000056,0.460943517,0.448886977,0.439588702,0.430290431,0.393514783,0.378301255,0.388189473,0.391439433,0.386317401,0.386980078,0.359832149,0.35370127,0.35370127
BTN,Bhutan,0.536709258,0.536709258,0.545714241,0.554719224,0.5512272,0.547735178,0.538858819,0.529982463,0.570562776,0.569178532,0.570933775,0.552666692,0.570767548,0.573677077,0.535454433,0.521382684,0.521382684
BOL,"Bolivia, Plurinational State of",0.444020617,0.444020617,0.445989192,0.447957774,0.430986476,0.414015182,0.412322927,0.410630671,0.387915145,0.376456675,0.339039342,0.329530947,0.327311522,0.295938564,0.270648639,0.287013882,0.287013882
BIH,Bosnia and Herzegovina,0.447026158,0.447026158,0.410424608,0.373823056,0.373511386,0.373199724,0.370600581,0.368001452,0.357210385,0.402634144,0.386500697,0.401666269,0.400689089,0.415720828,0.430144879,0.42713463,0.42713463
BWA,Botswana,0.60480703,0.60480703,0.611753774,0.618700532,0.61362555,0.608550562,0.604178059,0.599805549,0.631493121,0.619798731,0.626916655,0.620089935,0.629243532,0.629046273,0.631313554,0.632682205,0.632682205
BRA,Brazil,0.432677948,0.432677948,0.434692633,0.436707321,0.43582865,0.434949971,0.435028636,0.435107297,0.400579288,0.413394184,0.401335851,0.411724053,0.412440896,0.426942263,0.458336318,0.500404034,0.500404034
BRN,Brunei Darussalam,0.621294793,0.621294793,0.618050635,0.614806475,0.610488451,0.606170423,0.603326654,0.600482877,0.634170747,0.581647974,0.560816301,0.551871207,0.589796281,0.602591099,0.658008507,0.659392566,0.659392566
BGR,Bulgaria,0.429006409,0.429006409,0.428577131,0.428147852,0.439840019,0.451532192,0.466100526,0.480668859,0.457518044,0.472724925,0.465677918,0.464141079,0.471602697,0.455935341,0.490206131,0.483974065,0.483974065
BFA,Burkina Faso,0.32973354,0.32973354,0.344031048,0.358328552,0.373463345,0.388598149,0.385301232,0.382004304,0.389777973,0.391793176,0.397097877,0.419553203,0.427284282,0.4325587,0.454317675,0.457214682,0.457214682
BDI,Burundi,0.192737231,0.192737231,0.203894877,0.215052538,0.208550692,0.202048872,0.211733508,0.221418154,0.208583333,0.196453085,0.274803436,0.313392404,0.281714387,0.29234315,0.267638461,0.257758524,0.257758524
KHM,Cambodia,0.297624741,0.297624741,0.299733615,0.301842495,0.31118145,0.320520384,0.300384855,0.280249324,0.25514152,0.255262833,0.268752335,0.266472022,0.286290838,0.279042281,0.283415375,0.282477896,0.282477896
CMR,Cameroon,0.211286059,0.211286059,0.245692682,0.280099268,0.266427708,0.252756155,0.249078536,0.245400911,0.27867806,0.247982892,0.264070409,0.274369936,0.273401583,0.280951272,0.278672068,0.291269118,0.291269118
CAN,Canada,0.841136202,0.841136202,0.846082687,0.851029184,0.847306681,0.843584199,0.839540195,0.835496212,0.839408192,0.844463079,0.832699204,0.855038772,0.8582967,0.85946937,0.858082097,0.857813731,0.857813731
CPV,Cape Verde,0.596971268,0.596971268,0.633129811,0.669288366,0.66267457,0.656060788,0.599236292,0.542411795,0.544257448,0.589841897,0.573564642,0.623149749,0.625166434,0.600662192,0.595542363,0.583556291,0.583556291
CAF,Central African Republic,0.190870515,0.190870515,0.197606349,0.204342178,0.203249335,0.202156498,0.234837985,0.267519465,0.157919008,0.161916808,0.202542499,0.200262401,0.194472612,0.212496787,0.240212486,0.239616417,0.239616417
