ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2009,2010,2011
AFG,Afghanistan,,,,,,,,,,,,,,,,,,
ALB,Albania,,,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,,,
AND,Andorra,ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AGO,Angola,AFG,Afghanistan,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,ALB,Albania,,,,,,,,,,,,,,,,
ARG,Argentina,DZA,Algeria,,,,,,,,,,,,,,,,
ARM,Armenia,AND,Andorra,,,,,,,,,,,,,,,,
AUS,Australia,AGO,Angola,,,,,,,,,,,86.5,,76.2,,65.8,
AUT,Austria,ATG,Antigua and Barbuda,,,,,,,,,,,,,,,,
AZE,Azerbaijan,ARG,Argentina,31.7,,,,,32.9,,,,,26.2,,23.5,,20.8,
BHS,Bahamas,ARM,Armenia,,,,,,,,,,,,,,,,
BHR,Bahrain,AUS,Australia,,,,,,,,,,,,,,,,
BGD,Bangladesh ,AUT,Austria,,,,,,,,,,,,,,,,
BRB,Barbados,AZE,Azerbaijan,,,,,,,,,,,,,,,,
BLR,Belarus,BHS,Bahamas,,,,,,,,,,,,,,,,
BEL,Belgium,BHR,Bahrain,,,,,,,,,,,,,,,,
BLZ,Belize,BGD,Bangladesh ,84.7,,,,,77.8,,,,,70.8,,66.2,,61.6,
BEN,Benin,BRB,Barbados,,,,,,,,,,,,,,,,
BTN,Bhutan,BLR,Belarus,,,,,,,,,,,,,,,,
BOL,"Bolivia, Plurinational State of",BEL,Belgium,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,BLZ,Belize,,,,,,,,,,,,,18.7,,,
BWA,Botswana,BEN,Benin,76.8,,,,,74.3,,,,,71.8,,70.8,,69.8,
BRA,Brazil,BTN,Bhutan,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,BOL,"Bolivia, Plurinational State of",58.2,,,,,54.3,,,,,50.4,,48.8,,47.3,
BGR,Bulgaria,BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,
BFA,Burkina Faso,BWA,Botswana,,,,,,,,,,,,,,,,
BDI,Burundi,BRA,Brazil,34.1,,,,,31.5,,,,,29,,28,,26.9,
KHM,Cambodia,BRN,Brunei Darussalam,,,,,,,,,,,,,,,,
CMR,Cameroon,BGR,Bulgaria,,,,,,,,,,,,,,,,
CAN,Canada,BFA,Burkina Faso,72.4,,,,,65.9,,,,,59.5,,59.5,,,
CPV,Cape Verde,BDI,Burundi,,,,,,,,,,,64.3,,,,,
CAF,Central African Republic,KHM,Cambodia,,,,,,,,,,,78.9,,,,,
TCD,Chad,CMR,Cameroon,49.6,,,,,48.4,,,,,47.4,,46.6,,46.1,
CHL,Chile,CAN,Canada,,,,,,,,,,,,,,,,
CHN,China,CPV,Cape Verde,,,,,,,,,,,,,,,,
COL,Colombia,CAF,Central African Republic,89.7,,,,,91.9,,,,,94.1,,95,,95.9,
COM,Comoros,TCD,Chad,96.4,,,,,93.9,,,,,91.3,,90.3,,89.3,
COG,Congo,CHL,Chile,,,,,,,,,,,9,,,,,
COD,"Congo, the Democratic Republic of the",CHN,China,40.5,,,,,37.3,,,,,32.9,,31,,29.1,
CRI,Costa Rica,COL,Colombia,26.8,,,,,22.3,,,,,17.9,,16.1,,14.3,
CIV,Cªte d'Ivoire,COM,Comoros,65.4,,,,,65.4,,,,,68.9,,68.9,,,
HRV,Croatia,COG,Congo,,,,,,,,,,,53.4,,51.7,,49.9,
CUB,Cuba,COD,"Congo, the Democratic Republic of the",,,,,,,,,,,76.4,,69.1,,61.7,
CYP,Cyprus,CRI,Costa Rica,,,,,,,,,,,10.9,,,,,
CZE,Czech Republic,CIV,Cªte d'Ivoire,54.3,,,,,55.3,,,,,56.2,,56.6,,57,
DNK,Denmark,HRV,Croatia,,,,,,,,,,,,,,,,
DJI,Djibouti,CUB,Cuba,,,,,,,,,,,,,,,,
DMA,Dominica,CYP,Cyprus,,,,,,,,,,,,,,,,
DOM,Dominican Republic,CZE,Czech Republic,,,,,,,,,,,,,,,,
ECU,Ecuador,DNK,Denmark,,,,,,,,,,,,,,,,
EGY,Egypt,DJI,Djibouti,,,,,,,,,,,,,,,,
SLV,El Salvador,DMA,Dominica,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,DOM,Dominican Republic,24.4,,,,,21,,,,,17.6,,16.2,,14.8,
ERI,Eritrea,ECU,Ecuador,,,,,,,,,,,21.5,,,,,
EST,Estonia,EGY,Egypt,39.2,,,,,28.1,,,,,17.1,,14.4,,13.1,
ETH,Ethiopia,SLV,El Salvador,,,,,,,,,,,28.9,,,,,
FJI,Fiji,GNQ,Equatorial Guinea,,,,,,,,,,,66.3,,,,,
FIN,Finland,ERI,Eritrea,,,,,,,,,,,,,,,,
FRA,France,EST,Estonia,,,,,,,,,,,,,,,,
GAB,Gabon,ETH,Ethiopia,95.5,,,,,88.6,,,,,81.8,,79.1,,76.4,
GMB,Gambia,FJI,Fiji,,,,,,,,,,,,,,,,
GEO,Georgia,FIN,Finland,,,,,,,,,,,,,,,,
DEU,Germany,FRA,France,,,,,,,,,,,,,,,,
GHA,Ghana,GAB,Gabon,,,,,,,,,,,38.7,,,,,
GRC,Greece,GMB,Gambia,,,,,,,,,,,45.4,,34.8,,,
GRD,Grenada,GEO,Georgia,,,,,,,,,,,,,,,,
GTM,Guatemala,DEU,Germany,,,,,,,,,,,,,,,,
GIN,Guinea,GHA,Ghana,58.8,,,,,52.1,,,,,45.4,,42.8,,40.1,
GNB,GuineaBissau,GRC,Greece,,,,,,,,,,,,,,,,
GUY,Guyana,GRD,Grenada,,,,,,,,,,,6,,,,,
HTI,Haiti,GTM,Guatemala,53.3,,,,,48.1,,,,,42.9,,40.8,,38.7,
HND,Honduras,GIN,Guinea,68.8,,,,,57.3,,,,,45.7,,45.7,,,
HUN,Hungary,GNB,GuineaBissau,,,,,,,,,,,83.1,,,,,
ISL,Iceland,GUY,Guyana,,,,,,,,,,,33.7,,33.5,,33.2,
IND,India,HTI,Haiti,93.4,,,,,93.4,,,,,70.1,,70.1,,70.1,
IDN,Indonesia,HND,Honduras,,,,,,,,,,,34.9,,,,,
IRN,"Iran, Islamic Republic of",HUN,Hungary,,,,,,,,,,,,,,,,
IRQ,Iraq,ISL,Iceland,,,,,,,,,,,,,,,,
IRL,Ireland,IND,India,48.2,,,,,41.5,,,,,34.8,,32.1,,29.4,
ISR,Israel,IDN,Indonesia,42.6,,,,,34.4,,,,,26.3,,23,,23,
ITA,Italy,IRN,"Iran, Islamic Republic of",,,,,,,,,,,,,,,,
