ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,Andorra,,,5985,5988,5991,5994,5997,6000,6003,6006,6009,6012,6015,6018,6021,6024,6027
AGO,Angola,,,0.72,0.72,0.72,0.758000016,0.796000004,0.833999991,0.872,0.879000008,0.886000007,0.893000007,0.9,0.905000001,0.909999996,0.914999992,0.92
ATG,Antigua and Barbuda,,,6.662,6.758,6.64,6.628,6.614,6.828,6.744000006,6.66,6.58249979,6.504999924,6.427500057,6.35,6.322,6.262000084,6.202
ARG,Argentina,,,3.922,4.024666648,4.127333384,4.23,4.295000057,4.360000114,4.424999933,4.49,4.46420002,4.43840003,4.41260004,4.386800051,4.361,4.361,4.361
ARM,Armenia,,,8.332,8.535999889,8.74,8.81,9.058,8.968,9.058,10.16100037,11.264,11.22599995,11.18800032,11.15,11.612,12.00500011,12.398
AUS,Australia,,,1.504,1.504,1.504,1.504857144,1.505714288,1.506571433,1.507428563,1.508285707,1.509142852,1.51,1.51,1.51,1.51,1.51,1.51
AUT,Austria,,,4.8,5.562,4.914666681,4.267333298,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
AZE,Azerbaijan,,,6.16,6.379999924,6.600000191,6.82,6.815166473,6.81033349,6.805499971,6.800666451,6.795833468,6.791,6.901,6.901,6.901,6.901,6.901
BHS,Bahamas,,,11.004,12.102,11.232,11.232,11.022,10.894,11.972,12.03400032,12.096,12.17066662,12.2453336,12.32,12.264,12.30299997,12.342
BHR,Bahrain,,,14.51,14.51,14.51,14.51,14.51,14.71,14.65,14.94939995,14.42030001,13.89119983,13.36209965,12.833,13.7456665,14.65833282,15.571
BGD,Bangladesh ,,,11.95,12.15,12.35,12.75,12.75,12.95,13.15,13.15,13.35,13.52333336,13.696667,13.87,14.23,16.38300022,17.376
BRB,Barbados,,,16.26,16.208,16.072,15.614,15.452,15.624,15.482,15.49300018,15.504,15.55933348,15.61466661,15.67,16.008,15.95800018,15.908
BLR,Belarus,,,7.45,7.506,7.03799984,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57
BEL,Belgium,,,8.07,8.07,8.07,8.367999859,8.665999956,8.964000053,9.262,8.922666616,8.583333321,8.244,11.51,11.61899996,11.728,6.617,6.617
BLZ,Belize,,,0.682,0.681000023,0.68,0.695500015,0.710999994,0.726500003,0.742,0.759333341,0.77666667,0.794,0.88,0.871000051,0.862,0.862,0.862
BEN,Benin,,,6.26,6.225000095,6.19000001,6.154999924,6.12,6.51300025,6.906000137,7.298999786,7.692000151,8.085000038,8.478,8.478,8.478,8.478,8.478
BTN,Bhutan,,,20.82,21.082,21.24,21.372,21.612,21.668,21.504,21.5617851,21.61,21.75480362,21.87,22.07,22.298,22.79500004,23.466
BOL,"Bolivia, Plurinational State of",,,21.2,21.4,21.6,21.6,21.8,22,22,22,22.16500015,22.33000011,17.93733311,13.54466625,7.744000008,6.274,6.444500006
BIH,Bosnia and Herzegovina,,,2.46,2.356,2.606999884,2.85799993,3.108999977,3.36,3.388333201,3.416666508,3.444999933,3.47333324,3.501666665,3.530000091,3.558333397,3.586666703,3.615
BWA,Botswana,,,0.956,0.951999996,0.947999995,0.943999995,0.939999994,0.936000001,0.932,0.928,0.923999999,0.92,0.912249967,0.90450003,0.896750033,0.889,0.889
BRA,Brazil,,,0.5611,0.506600009,0.452099995,0.397599997,0.3431,0.343099998,0.343099998,0.343099998,0.343099998,0.3431,0.324433328,0.305766666,0.2871,0.2871,0.2871
BRN,Brunei Darussalam,,,2.81,3.768999939,4.728,4.688500051,4.649000053,4.609500055,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
BGR,Bulgaria,,,7.544,7.544,7.544,7.544,7.492,7.534,7.366,7.367999973,7.37,7.4479,7.5258,7.723100185,7.920400143,8.117699862,8.315
BFA,Burkina Faso,,,3.226,3.226,3.226,3.226,3.226,3.270799959,3.315600002,3.360399985,3.405200028,3.45,3.483000219,3.516,3.516,3.516,3.516
BDI,Burundi,,,6.46,6.384,6.456,6.543999996,6.632,6.14,6.166166544,6.192333221,6.218499899,6.244666576,6.270833254,6.297,9.94,9.947,9.947
KHM,Cambodia,,,7.756,7.756,7.834999976,7.914000092,7.993000088,8.072,8.205999908,8.34,8.235166311,8.130333185,8.025500059,7.920666695,7.815833092,7.711,7.711
CMR,Cameroon,,,11.486,11.648,11.464,11.468,11.496,11.368,11.338,11.5160001,11.694,11.75933344,11.82466681,11.89,12.01,11.99,12.158
CAN,Canada,,,0.558,0.56,0.566,0.567,0.567999994,0.568999996,0.57,0.576666666,0.583333334,0.59,0.656749971,0.723499998,0.790250018,0.857,0.857
CPV,Cape Verde,,,0.3,0.298800001,0.297600003,0.296399998,0.2952,0.294,0.283000002,0.272000002,0.261000002,0.25,0.25,0.25,0.25,0.25,0.25
CAF,Central African Republic,,,1.444,1.444,1.444,1.444,1.442,1.17,1.178750008,1.1875,1.196250021,1.205000013,1.213750005,1.222500026,1.231250018,1.24,1.290000021
TCD,Chad,,,1.748,1.748,1.777000001,1.806,1.834999999,1.863999999,1.892999983,1.921999997,1.951000011,1.98,1.98,1.98,1.98,1.98,1.98
CHL,Chile,,,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.12546663,14.00093322,13.8764,14.06553388,14.25466652,14.382
CHN,China,,,1.212,1.212,1.291750009,1.37150001,1.451250012,1.531000013,1.610750015,1.690500016,1.770250018,1.85,2.002750039,2.155500054,2.30825007,2.461,2.461
COL,Colombia,,,0.48,0.489999998,0.500000004,0.510000001,0.519999999,0.529999997,0.539999995,0.550000001,0.560000006,0.57,0.57,0.57,0.57,0.57,0.57
COM,Comoros,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.339999999,0.35,0.36,0.36,0.36,0.36,0.36,0.36
