ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.9712,0.9712,0.9712,0.969679999,0.96816,0.96664,0.96512,0.96484,0.96456,0.96428,0.964,0.9638,0.9636,0.9634,0.9632,0.9632,0.9632
ALB,Albania,0.73352,0.72968,0.7344,0.73488,0.73544,0.72688,0.73024,0.7336,0.736700008,0.739800003,0.742899998,0.746,0.74712,0.749519997,0.75192,0.75192,0.75192
DZA,Algeria,0.84312,0.839013334,0.834906665,0.8308,0.828199998,0.825599995,0.823000003,0.8204,0.821431999,0.822463999,0.823495998,0.824527998,0.82556,0.82556,0.82556,0.82556,0.82556
AND,Andorra,0.66672,0.658560004,0.6504,0.6476,0.63768,0.64128,0.63768,0.593559985,0.54944,0.550960002,0.552479987,0.554,0.53552,0.519799995,0.50408,0.50408,0.50408
AGO,Angola,0.93984,0.93984,0.93984,0.939805714,0.939771428,0.939737143,0.939702857,0.939668572,0.939634286,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396,0.9396
ATG,Antigua and Barbuda,0.808,0.77752,0.803413333,0.829306668,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552,0.8552
ARG,Argentina,0.7536,0.744800003,0.735999992,0.7272,0.727393341,0.72758666,0.727780001,0.727973342,0.728166661,0.72836,0.72396,0.72396,0.72396,0.72396,0.72396,0.72396,0.72396
ARM,Armenia,0.55984,0.51592,0.55072,0.55072,0.55912,0.56424,0.52112,0.518639987,0.51616,0.513173335,0.510186656,0.5072,0.50944,0.507880001,0.50632,0.50632,0.50632
AUS,Australia,0.4196,0.4196,0.4196,0.4196,0.4196,0.4116,0.414,0.402024002,0.423188,0.444352007,0.465516014,0.48668,0.45017334,0.413666687,0.37716,0.37716,0.37716
AUT,Austria,0.522,0.514,0.506,0.49,0.49,0.482,0.474,0.474,0.466,0.459066666,0.45213332,0.4452,0.4308,0.344679991,0.30496,0.29664,0.29664
AZE,Azerbaijan,0.3496,0.35168,0.35712,0.37544,0.38192,0.37504,0.38072,0.380279993,0.37984,0.377626661,0.375413335,0.3732,0.35968,0.361679993,0.36368,0.36368,0.36368
BHS,Bahamas,0.702,0.69976,0.718480006,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372,0.7372
BHR,Bahrain,0.6772,0.6772,0.6772,0.665280006,0.653360002,0.641439998,0.62952,0.643093335,0.656666667,0.67024,0.5396,0.535240002,0.53088,0.73532,0.73532,0.73532,0.73532
BGD,Bangladesh ,0.97272,0.972759999,0.9728,0.972179999,0.97156,0.97094,0.97032,0.969626666,0.968933333,0.96824,0.9648,0.965159998,0.96552,0.96552,0.96552,0.96552,0.96552
BRB,Barbados,0.7496,0.750999996,0.7524,0.753800003,0.7552,0.73947999,0.723759995,0.708040009,0.692319994,0.676599998,0.66088,0.66088,0.66088,0.66088,0.66088,0.66088,0.66088
BLR,Belarus,0.1672,0.15672,0.1504,0.14512,0.13552,0.13328,0.13984,0.137528596,0.1356,0.129807855,0.1252,0.1172,0.10808,0.088199998,0.06136,0.06136,0.06136
