ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501,0.199115501
ALB,Albania,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536,0.110904536
DZA,Algeria,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939,0.249546939
AND,Andorra,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
AGO,Angola,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107,0.260737107
ATG,Antigua and Barbuda,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759,0.354053759
ARG,Argentina,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025,0.491358025
ARM,Armenia,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134,0.240004134
AUS,Australia,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625,0.536603625
AUT,Austria,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947,0.147409947
AZE,Azerbaijan,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205,0.363083205
BHS,Bahamas,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542,0.358610542
BHR,Bahrain,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583,0.305791583
BGD,Bangladesh ,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179,0.569789179
BRB,Barbados,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388,0.315734388
BLR,Belarus,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664,0.098966664
BEL,Belgium,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522,0.06570522
BLZ,Belize,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807,0.218411807
BEN,Benin,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444,0.185927444
BTN,Bhutan,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441,0.51603441
BOL,"Bolivia, Plurinational State of",0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963,0.353419963
BIH,Bosnia and Herzegovina,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276,0.177691276
BWA,Botswana,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468,0.159818468
BRA,Brazil,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811,0.568944811
BRN,Brunei Darussalam,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837,0.874113837
BGR,Bulgaria,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212,0.188362212
BFA,Burkina Faso,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363,0.13348363
BDI,Burundi,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304,0.193584304
KHM,Cambodia,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198,0.80286198
CMR,Cameroon,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744,0.593861744
CAN,Canada,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626,0.181752626
CPV,Cape Verde,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866,0.211772866
CAF,Central African Republic,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735,0.12952735
TCD,Chad,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681,0.197467681
CHL,Chile,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026,0.504684026
CHN,China,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806,0.662307806
COL,Colombia,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004,0.50661004
COM,Comoros,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909,0.535580909
COG,Congo,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636,0.189189636
COD,"Congo, the Democratic Republic of the",0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789,0.569246789
CRI,Costa Rica,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355,0.334924355
CIV,C™te d'Ivoire,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702,0.57094702
HRV,Croatia,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148,0.274502148
CUB,Cuba,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674,0.703709674
CYP,Cyprus,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126,0.372529126
CZE,Czech Republic,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975,0.12672975
DNK,Denmark,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569,0.076067569
DJI,Djibouti,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162,0.185181162
DMA,Dominica,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224,0.377694224
DOM,Dominican Republic,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063,0.396077063
ECU,Ecuador,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452,0.806777452
EGY,Egypt,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948,0.251282948
SLV,El Salvador,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929,0.200824929
GNQ,Equatorial Guinea,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522,0.418296522
ERI,Eritrea,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551,0.344461551
EST,Estonia,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941,0.047868941
ETH,Ethiopia,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885,0.3243885
FJI,Fiji,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497,0.77989497
FIN,Finland,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595,0.05977595
FRA,France,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448,0.137774448
GAB,Gabon,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255,0.316219255
