ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.433625692,0.501193049,0.493555788,0.486141469,0.478939962,0.471943461,0.50418729,0.496571472,0.489176249,0.481993289,0.475011277,0.567382879,0.557970786,0.548859132,0.54003263,0.53147977,
ALB,Albania,1,1,1,1,1,1,8.21753185,3.616734928,2.624518071,2.424829098,2.577826553,3.01683122,3.387986113,3.733470184,3.828534682,3.713652,
DZA,Algeria,0.727150861,0.77676488,0.846189824,0.897612267,0.910398357,0.891765771,0.798297902,0.781167706,0.763893787,0.749248004,0.737156477,0.66211431,0.65117441,0.646176343,0.648746206,0.657266467,
AND,Andorra,-0.0858004,-0.341874538,1,1,1,-0.27843115,-0.169956026,-0.116802197,-0.102737291,-0.110257657,-0.136892389,-0.202837773,-0.273022064,-0.35637366,-0.391946901,-0.370135045,
AGO,Angola,1.049143567,0.793751383,0.817089251,0.805763687,0.75143083,0.681907613,0.619200145,0.577164516,0.555755304,0.555912111,0.570432815,0.531008043,0.545171154,0.555003275,0.557131768,0.553812359,
ATG,Antigua and Barbuda,-0.318132372,-0.432306998,-0.433445212,-0.450878693,-0.486543715,-0.541008538,-0.455224489,-0.525789262,-0.598245378,-0.659781651,-0.702211761,-0.212652378,-0.227391107,-0.23957907,-0.249395159,-0.256288561,
ARG,Argentina,0.305939467,0.255892582,0.260712453,0.268075849,0.279175631,0.29341821,0.287961863,0.303154443,0.315141942,0.321174497,0.322287039,0.247823036,0.248352348,0.248538873,0.248782816,0.249175017,
ARM,Armenia,1,1,1,1,1,1,1,1,1,-4.620033539,-2.856391303,-0.984905375,-0.885685005,-0.78512243,-0.655703736,-0.546511148,
AUS,Australia,0.127750879,0.186610655,0.215639383,0.23904586,0.217070856,0.201875762,0.169906743,0.187267172,0.184806229,0.196257351,0.172008373,0.13819808,0.313530869,0.101450379,0.097133519,0.128534251,
AUT,Austria,0,0,-1.95828E-13,2.02105E-13,0,-9.19928E-14,0.555225359,0.431092639,0.434460203,0.340407562,0.309347374,0.667507122,0.848375589,0.755306376,0.963401214,1.114817515,
AZE,Azerbaijan,-0.497586348,-0.380134015,-0.397476467,-0.409561947,-0.444496606,-0.472030867,0.150992875,0.15678453,0.154277729,0.133925149,0.114033745,0.247113734,0.238778965,0.128585036,0.129703028,0.225720547,
BHS,Bahamas,0.189448628,0.178004107,0.198361016,0.211369924,0.209390313,0.197210775,0.202981854,0.193453125,0.186551147,0.183014788,0.181956355,0.164259287,0.163268486,0.165099363,0.170730105,0.179460618,
BHR,Bahrain,0.027285561,0,0,0,-8.49698E-15,1.192E-14,-3.29363E-14,1,2.79579E-14,0,-2.80462E-15,0.004008099,0.003430496,0.003525462,0.004277803,0.005947647,
BGD,Bangladesh ,0.846018974,0.843946873,0.846613044,0.852218744,0.862189417,0.87669373,0.98061376,0.993707853,1.026028472,1.087871076,1.176956553,1.482714055,1.622209499,1.697255248,1.652246781,1.532826427,
BRB,Barbados,3.541774727,3.335817021,3.195248942,3.165496373,3.281996755,3.535843794,4.524691605,4.917350938,5.253586933,5.374051711,5.345084681,6.017530996,5.988067912,5.86438547,5.724722287,5.561592107,
BLR,Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
BEL,Belgium,0.394767217,0.317126066,0.255900719,0.289833999,0.269861416,0.254872122,0.119744217,0.091840425,0.098299531,0.095047257,0.074753195,0.031161574,0.027982822,0.026006367,0.025528484,0.022432285,
BLZ,Belize,6.31064E-08,0.050319718,0.035613077,0.034697824,0.065830595,0.046198017,0.337763358,0.327129792,0.310507342,0.303156548,0.299903556,0.306618286,0.297314869,0.290420205,0.284075289,0.280946698,
BEN,Benin,0.393198623,0.272602059,0.286286524,0.291112699,0.283072396,0.268194893,0.28743081,0.276150665,0.269764032,0.269032283,0.272096352,0.324169751,0.326882882,0.330020057,0.333276656,0.336512389,
BTN,Bhutan,1,12.47398498,3.040933443,1.857602123,1.509180037,1.395234344,1.489778587,1.373899565,1.327536099,1.346612137,1.41765249,1.592247695,1.737577703,1.860616739,1.902979341,1.878140134,
BOL,"Bolivia, Plurinational State of",0.570665263,0.364714679,0.369756425,0.374319971,0.377756605,0.380627837,0.383134671,0.386765891,0.393037098,0.402923854,0.415461789,0.411691126,0.424190709,0.433363877,0.437307919,0.437203141,
BIH,Bosnia and Herzegovina,1,1,0.560050073,0.29741939,0.288324505,0.386235413,0.783205773,1.555640782,6.220697645,1,1,81.24052871,1,1,1,1,
BWA,Botswana,1.17408017,0.716479633,0.745083545,0.787018385,0.849447917,0.932589018,1.021395154,1.144052439,1.225880661,1.217521564,1.146683473,0.986063649,0.934635375,0.913441058,0.932462509,0.98392089,
BRA,Brazil,0.507640337,0.568999467,0.565455405,0.566081387,0.572892402,0.585093046,0.527428987,0.539550902,0.558593662,0.587571846,0.62571138,0.516767255,0.556283378,0.588842555,0.60548304,0.608836844,
BRN,Brunei Darussalam,0.307664156,0.28130674,0.287839923,0.294792638,0.301876452,0.309104407,0.304284326,0.31210156,0.318892823,0.324009981,0.328076979,0.304241794,0.308285116,0.312968307,0.318755998,0.325391502,
BGR,Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
BFA,Burkina Faso,0.629194622,0.710862648,0.69495466,0.678849781,0.662351282,0.645836581,0.713298894,0.6948427,0.676786441,0.659087756,0.642058494,0.771624083,0.750200119,0.730682034,0.713060406,0.697055985,
BDI,Burundi,2.200679932,3.438863594,4.365494172,4.190239226,2.87014554,1.874810652,1.464287934,1.165463594,0.995948074,0.90754276,0.862821894,1.026734628,0.980540694,0.972141827,1.00723007,1.07952552,
KHM,Cambodia,0.817360006,1.457920342,1.531854987,1.61542251,1.705063079,1.800083777,1.978947052,2.101352518,2.212029278,2.292618643,2.339942746,2.630022929,2.653304641,2.625167056,2.538247932,2.416999891,
CMR,Cameroon,0.805437372,0.817409366,0.827379536,0.831052668,0.825817233,0.814322756,0.766951222,0.756715036,0.746924031,0.738250726,0.730384064,0.673870195,0.667284652,0.660530392,0.653548543,0.646750692,
CAN,Canada,0.342376642,0.429136274,0.435304456,0.529122965,0.551057226,0.513996944,0.149406988,0.167871127,0.150944616,0.149845329,0.152068661,0.153286312,0.115402678,0.105876722,0.101489014,0.106231587,
CPV,Cape Verde,0.770507274,0.809344663,0.858244969,0.903544003,0.931339104,0.945880183,0.834824577,0.860480358,0.903906006,0.976831437,1.081188725,1.131474101,1.278163614,1.393717251,1.420744076,1.374406153,
CAF,Central African Republic,0.088186665,0.091857212,0.095196754,0.099673299,0.105598084,0.112667255,0.151514809,0.161832294,0.167612438,0.16609771,0.159652477,0.243822145,0.23446018,0.226584928,0.220849139,0.216681865,
TCD,Chad,0.327791784,0.437651997,0.428899519,0.415531631,0.397414957,0.378831958,0.456061048,0.438962555,0.434849137,0.445973345,0.468419928,0.600299526,0.629078784,0.648492545,0.651300753,0.641972236,
CHL,Chile,0.159053704,0.232746768,0.248954336,0.264329713,0.27618669,0.284798126,0.332335573,0.343462293,0.353842861,0.363325809,0.372024396,0.313198573,0.319909875,0.326484684,0.333096203,0.339829752,
CHN,China,2.375302954,2.637043769,2.628021518,2.729608915,2.94778382,3.158570238,3.493164744,3.693397751,3.876973755,3.969934683,3.916781434,3.945867914,4.127681857,4.118523476,4.08112962,4.192892715,
COL,Colombia,0.345094653,0.252661938,0.254824854,0.257548075,0.261056869,0.26515268,0.252834703,0.257044358,0.26079907,0.263822731,0.266405889,0.268927069,0.271969203,0.275880763,0.28100817,0.287170066,
COM,Comoros,0.11440991,-0.056319278,-0.055577103,-0.054944422,-0.054440195,-0.054068135,-0.053771227,-0.053522205,-0.053340491,-0.053204272,-0.053156128,0.079616631,0.079545623,0.079816675,0.080454189,0.081401057,
COG,Congo,0.273179479,0.240386514,0.235521516,0.235509754,0.241640492,0.251967907,0.265915269,0.277602766,0.279838975,0.269261387,0.252770999,0.236214863,0.225449713,0.222364414,0.228472171,0.241534889,
COD,"Congo, the Democratic Republic of the",0.129542859,0.357045403,0.414471056,0.449072313,0.43217617,0.386869947,0.565265684,0.519715021,0.492905681,0.485533308,0.490335863,0.668124337,0.668087776,0.66679623,0.662584961,0.656563065,
CRI,Costa Rica,0.748816979,0.454326271,0.445555851,0.446194316,0.459127517,0.482064284,0.430813817,0.454851485,0.477471599,0.495286476,0.508844154,0.503680664,0.519331102,0.532798867,0.543216042,0.551461442,
CIV,C™te d'Ivoire,0.281823935,0.363987979,0.379880194,0.401585986,0.431863021,0.470025174,0.809836866,0.878209094,0.921054891,0.917268543,0.878196873,0.834323066,0.795891664,0.753339432,0.7096214,0.668345834,
HRV,Croatia,0.805375116,1,0.147631237,1,0.215910882,1,1.023446158,,,1,4.723102569,1,1,1,1,1,
CUB,Cuba,0.498105007,0.788319867,0.886402538,0.97600631,1.033728878,1.062963203,6.87061E-14,0,0,-9.21394E-14,1.29232E-13,0.273695822,0.836228035,1,1,1,
