ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.716812846,0.750596525,0.746777894,0.743070735,0.739469981,0.73597173,0.752093645,0.748285736,0.744588124,0.740996645,0.737505639,0.78369144,0.778985393,0.774429566,0.770016315,0.765739885,0.765739885
ALB,Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DZA,Algeria,0.86357543,0.88838244,0.923094912,0.948806134,0.955199179,0.945882886,0.899148951,0.890583853,0.881946893,0.874624002,0.868578238,0.831057155,0.825587205,0.823088172,0.824373103,0.828633234,0.828633234
AND,Andorra,0.4570998,0.329062731,1,1,1,0.360784425,0.415021987,0.441598902,0.448631355,0.444871172,0.431553806,0.398581114,0.363488968,0.32181317,0.304026549,0.314932477,0.314932477
AGO,Angola,1,0.896875692,0.908544625,0.902881843,0.875715415,0.840953806,0.809600072,0.788582258,0.777877652,0.777956055,0.785216408,0.765504021,0.772585577,0.777501638,0.778565884,0.77690618,0.77690618
ATG,Antigua and Barbuda,0.340933814,0.283846501,0.283277394,0.274560654,0.256728142,0.229495731,0.272387755,0.237105369,0.200877311,0.170109174,0.148894119,0.393673811,0.386304447,0.380210465,0.37530242,0.371855719,0.371855719
ARG,Argentina,0.652969734,0.627946291,0.630356226,0.634037925,0.639587815,0.646709105,0.643980932,0.651577222,0.657570971,0.660587248,0.66114352,0.623911518,0.624176174,0.624269436,0.624391408,0.624587509,0.624587509
ARM,Armenia,1,1,1,1,1,1,1,1,1,0,0,0.007547313,0.057157497,0.107438785,0.172148132,0.226744426,0.226744426
AUS,Australia,0.563875439,0.593305327,0.607819692,0.61952293,0.608535428,0.600937881,0.584953372,0.593633586,0.592403114,0.598128675,0.586004186,0.56909904,0.656765435,0.55072519,0.54856676,0.564267126,0.564267126
AUT,Austria,0.5,0.5,0.5,0.5,0.5,0.5,0.77761268,0.71554632,0.717230101,0.670203781,0.654673687,0.833753561,0.924187794,0.877653188,0.981700607,1,1
AZE,Azerbaijan,0.251206826,0.309932993,0.301261767,0.295219027,0.277751697,0.263984567,0.575496437,0.578392265,0.577138864,0.566962575,0.557016873,0.623556867,0.619389482,0.564292518,0.564851514,0.612860273,0.612860273
BHS,Bahamas,0.594724314,0.589002053,0.599180508,0.605684962,0.604695157,0.598605388,0.601490927,0.596726563,0.593275574,0.591507394,0.590978178,0.582129644,0.581634243,0.582549681,0.585365052,0.589730309,0.589730309
BHR,Bahrain,0.51364278,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.502004049,0.501715248,0.501762731,0.502138902,0.502973823,0.502973823
BGD,Bangladesh ,0.923009487,0.921973436,0.923306522,0.926109372,0.931094708,0.938346865,0.99030688,0.996853926,1,1,1,1,1,1,1,1,1
BRB,Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLR,Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,Belgium,0.697383608,0.658563033,0.627950359,0.644916999,0.634930708,0.627436061,0.559872108,0.545920213,0.549149766,0.547523628,0.537376598,0.515580787,0.513991411,0.513003183,0.512764242,0.511216142,0.511216142
BLZ,Belize,0.500000032,0.525159859,0.517806538,0.517348912,0.532915297,0.523099009,0.668881679,0.663564896,0.655253671,0.651578274,0.649951778,0.653309143,0.648657435,0.645210103,0.642037644,0.640473349,0.640473349
BEN,Benin,0.696599312,0.636301029,0.643143262,0.645556349,0.641536198,0.634097447,0.643715405,0.638075332,0.634882016,0.634516141,0.636048176,0.662084875,0.663441441,0.665010028,0.666638328,0.668256194,0.668256194
BTN,Bhutan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,"Bolivia, Plurinational State of",0.785332631,0.68235734,0.684878212,0.687159985,0.688878303,0.690313919,0.691567335,0.693382945,0.696518549,0.701461927,0.707730894,0.705845563,0.712095355,0.716681939,0.71865396,0.718601571,0.718601571
BIH,Bosnia and Herzegovina,1,1,0.780025036,0.648709695,0.644162253,0.693117707,0.891602887,1,1,1,1,1,1,1,1,1,1
BWA,Botswana,1,0.858239816,0.872541773,0.893509192,0.924723958,0.966294509,1,1,1,1,1,0.993031825,0.967317687,0.956720529,0.966231255,0.991960445,0.991960445
BRA,Brazil,0.753820168,0.784499734,0.782727703,0.783040693,0.786446201,0.792546523,0.763714493,0.769775451,0.779296831,0.793785923,0.81285569,0.758383627,0.778141689,0.794421278,0.80274152,0.804418422,0.804418422
BRN,Brunei Darussalam,0.653832078,0.64065337,0.643919962,0.647396319,0.650938226,0.654552203,0.652142163,0.65605078,0.659446411,0.66200499,0.664038489,0.652120897,0.654142558,0.656484154,0.659377999,0.662695751,0.662695751
BGR,Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BFA,Burkina Faso,0.814597311,0.855431324,0.84747733,0.839424891,0.831175641,0.822918291,0.856649447,0.84742135,0.83839322,0.829543878,0.821029247,0.885812042,0.87510006,0.865341017,0.856530203,0.848527993,0.848527993
BDI,Burundi,1,1,1,1,1,1,1,1,0.997974037,0.95377138,0.931410947,1,0.990270347,0.986070914,1,1,1
KHM,Cambodia,0.908680003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR,Cameroon,0.902718686,0.908704683,0.913689768,0.915526334,0.912908617,0.907161378,0.883475611,0.878357518,0.873462016,0.869125363,0.865192032,0.836935097,0.833642326,0.830265196,0.826774271,0.823375346,0.823375346
CAN,Canada,0.671188321,0.714568137,0.717652228,0.764561482,0.775528613,0.756998472,0.574703494,0.583935563,0.575472308,0.574922665,0.57603433,0.576643156,0.557701339,0.552938361,0.550744507,0.553115793,0.553115793
CPV,Cape Verde,0.885253637,0.904672332,0.929122485,0.951772002,0.965669552,0.972940091,0.917412288,0.930240179,0.951953003,0.988415719,1,1,1,1,1,1,1
CAF,Central African Republic,0.544093333,0.545928606,0.547598377,0.54983665,0.552799042,0.556333627,0.575757405,0.580916147,0.583806219,0.583048855,0.579826239,0.621911073,0.61723009,0.613292464,0.610424569,0.608340932,0.608340932
TCD,Chad,0.663895892,0.718825999,0.714449759,0.707765816,0.698707478,0.689415979,0.728030524,0.719481278,0.717424569,0.722986673,0.734209964,0.800149763,0.814539392,0.824246272,0.825650377,0.820986118,0.820986118
CHL,Chile,0.579526852,0.616373384,0.624477168,0.632164856,0.638093345,0.642399063,0.666167787,0.671731147,0.67692143,0.681662904,0.686012198,0.656599286,0.659954938,0.663242342,0.666548101,0.669914876,0.669914876
CHN,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COL,Colombia,0.672547326,0.626330969,0.627412427,0.628774038,0.630528435,0.63257634,0.626417351,0.628522179,0.630399535,0.631911365,0.633202944,0.634463534,0.635984601,0.637940381,0.640504085,0.643585033,0.643585033
COM,Comoros,0.557204955,0.471840361,0.472211448,0.472527789,0.472779902,0.472965932,0.473114386,0.473238897,0.473329755,0.473397864,0.473421936,0.539808315,0.539772811,0.539908338,0.540227094,0.540700528,0.540700528
COG,Congo,0.63658974,0.620193257,0.617760758,0.617754877,0.620820246,0.625983953,0.632957634,0.638801383,0.639919487,0.634630693,0.6263855,0.618107432,0.612724857,0.611182207,0.614236086,0.620767445,0.620767445
COD,"Congo, the Democratic Republic of the",0.56477143,0.678522701,0.707235528,0.724536157,0.716088085,0.693434974,0.782632842,0.75985751,0.746452841,0.742766654,0.745167932,0.834062168,0.834043888,0.833398115,0.831292481,0.828281533,0.828281533
CRI,Costa Rica,0.874408489,0.727163136,0.722777926,0.723097158,0.729563758,0.741032142,0.715406908,0.727425743,0.7387358,0.747643238,0.754422077,0.751840332,0.759665551,0.766399434,0.771608021,0.775730721,0.775730721
CIV,C™te d'Ivoire,0.640911967,0.681993989,0.689940097,0.700792993,0.715931511,0.735012587,0.904918433,0.939104547,0.960527445,0.958634272,0.939098436,0.917161533,0.897945832,0.876669716,0.8548107,0.834172917,0.834172917
HRV,Croatia,0.902687558,1,0.573815618,1,0.607955441,1,1,1,1,1,1,1,1,1,1,1,1
CUB,Cuba,0.749052504,0.894159934,0.943201269,0.988003155,1,1,0.5,0.5,0.5,0.5,0.5,0.636847911,0.918114018,1,1,1,1
CYP,Cyprus,0.582116482,0.542679828,0.544400829,0.545667059,0.546083988,0.545978051,0.553376109,0.553688326,0.554985586,0.557730149,0.561801897,0.595425366,0.602793232,0.609700201,0.614918114,0.618623486,0.618623486
CZE,Czech Republic,1,1,1,1,1,1,1,1,0,0,0.149117737,0.5,0.5,0.5,0.5,0.5,0.5
DNK,Denmark,0.545175928,0.520785959,0.52830016,0.532376109,0.535525881,0.53516182,0.762111857,0.793416217,0.84398414,0.861380971,0.838383202,0.95979741,0.839721341,0.755642795,0.779869752,0.836123872,0.836123872
