ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,-1.87538524,-1.87538524,-1.960386395,-2.045387492,-2.025464535,-2.005541396,-1.718108892,-1.430676503,-1.289727713,-1.218267837,-1.17171726,-1.198665762,-1.128073422,-1.264163331,-1.424107484,-1.454594532,-1.454594532
ALB,Albania,-0.835756681,-0.835756681,-0.641917109,-0.448077632,-0.362091541,-0.27610542,-0.174825177,-0.07354491,0.098270501,0.026297842,-0.038514572,0.027976232,0.033513626,0.144362364,0.1050969,0.097512696,0.097512696
DZA,Algeria,-1.284640943,-1.284640943,-1.35870409,-1.432767315,-1.307198763,-1.181630167,-1.119080067,-1.05653001,-1.108298759,-0.760152643,-0.740252666,-0.943814158,-0.988516256,-0.98081936,-1.025964962,-1.008794209,-1.008794209
AND,Andorra,1.636086085,1.636086085,1.627594829,1.619103588,1.606577635,1.594051843,1.524415255,1.454778498,1.316016592,1.479101659,1.435702143,1.342519019,1.331404868,1.369367103,1.346977114,1.359626252,1.359626252
AGO,Angola,-1.649409263,-1.649409263,-1.53565228,-1.421895267,-1.48269105,-1.543486842,-1.413907051,-1.284327173,-1.249994794,-1.26510099,-1.239537545,-1.229887202,-1.141211179,-1.096368828,-1.143010999,-1.139245651,-1.139245651
ATG,Antigua and Barbuda,0.127786627,0.127786627,0.105051719,0.082316813,0.116373502,0.150430183,0.13111259,0.111794992,0.187717009,0.530965517,0.512552508,0.593253958,0.532481808,0.571521453,0.582322007,0.507985131,0.507985131
ARG,Argentina,0.298000768,0.298000768,0.228191838,0.158382886,0.208752632,0.259122364,0.210493594,0.161864804,0.31681868,0.338383976,0.219582571,0.337485547,0.368984205,0.266557424,0.242874528,0.309604138,0.309604138
ARM,Armenia,-0.768857581,-0.768857581,-0.662858486,-0.556859435,-0.495156109,-0.433452776,-0.496830493,-0.560208224,-0.51798617,-0.516922406,-0.631667747,-0.729760492,-0.762149328,-0.860651163,-0.887454717,-0.851710256,-0.851710256
AUS,Australia,1.475130666,1.475130666,1.45007205,1.425013561,1.469579458,1.514145215,1.455723047,1.397300834,1.406009808,1.501494574,1.507007823,1.380300198,1.355062307,1.3776083,1.382417804,1.428903554,1.428903554
AUT,Austria,1.541738561,1.541738561,1.481239796,1.420740967,1.402602673,1.384464277,1.3451581,1.305851855,1.317316959,1.49319396,1.373607275,1.388879058,1.351724894,1.372752377,1.390364648,1.440676269,1.440676269
AZE,Azerbaijan,-1.155043099,-1.155043099,-1.055989981,-0.956936867,-0.969190955,-0.981445043,-0.938844085,-0.896243211,-1.01269256,-0.979528077,-1.049248166,-1.21203879,-1.183570319,-1.278047349,-1.232517721,-1.272331561,-1.272331561
BHS,Bahamas,1.069910864,1.069910864,1.104796886,1.139683037,1.151773691,1.163864225,1.168421626,1.172978999,1.067982942,1.023438455,0.986059697,1.052954712,1.128815106,1.103969744,1.023304984,0.998521024,0.998521024
BHR,Bahrain,-0.762143776,-0.762143776,-0.897604823,-1.033065934,-1.047837257,-1.062608478,-0.840477467,-0.618346401,-0.692843294,-0.612294113,-0.767785848,-0.920250702,-0.876904932,-0.894144831,-0.782368008,-0.854846263,-0.854846263
BGD,Bangladesh ,-0.148571476,-0.148571476,-0.203275919,-0.257980341,-0.270974755,-0.283969185,-0.367076457,-0.450183722,-0.605690659,-0.654909608,-0.565220077,-0.449685972,-0.522880186,-0.452677446,-0.300323757,-0.27560594,-0.27560594
BRB,Barbados,1.510446234,1.510446234,1.481711864,1.452977634,1.438839555,1.424701435,1.400187254,1.375673029,1.217497306,1.151967941,1.055965612,1.142406237,1.136117159,1.06764043,1.20177512,1.211264968,1.211264968
BLR,Belarus,-1.095374713,-1.095374713,-0.996896386,-0.898418141,-1.124078035,-1.34973801,-1.375386953,-1.401035865,-1.353775904,-1.370811435,-1.745388652,-1.770482919,-1.695001965,-1.599539625,-1.561973608,-1.553724788,-1.553724788
BEL,Belgium,1.482258719,1.482258719,1.422760248,1.363261717,1.378798127,1.394334524,1.389204741,1.384074802,1.473491553,1.46633642,1.40908154,1.370768187,1.389385595,1.359272024,1.409320091,1.42778387,1.42778387
BLZ,Belize,0.758694779,0.758694779,0.783518434,0.808342038,0.853394508,0.898447056,0.861700177,0.824953335,0.882262642,0.759296159,0.748599182,0.540629199,0.587704571,0.670950362,0.785391984,0.707811745,0.707811745
BEN,Benin,0.13030428,0.13030428,0.252358437,0.374412604,0.381055772,0.387698905,0.223085538,0.058472164,0.168049439,0.022474622,0.078134356,0.316849945,0.392271747,0.313776297,0.332639834,0.290077979,0.290077979
BTN,Bhutan,-0.733779828,-0.733779828,-0.857004106,-0.980228355,-0.969494462,-0.958760522,-1.089303136,-1.219845731,-1.214390592,-0.940018846,-1.049718614,-0.947872966,-0.807630888,-0.566377644,-0.518399392,-0.461899994,-0.461899994
BOL,"Bolivia, Plurinational State of",0.036847591,0.036847591,0.160080582,0.283313571,0.180350572,0.07738758,0.071874365,0.066361149,-0.028232748,-0.164779636,-0.181350629,0.084511291,0.046777486,-0.021857501,-0.042581916,-0.088978093,-0.088978093
BIH,Bosnia and Herzegovina,-0.215771949,-0.215771949,-0.171323746,-0.126875542,-0.097473249,-0.068070965,-0.148091346,-0.228111739,0.010937265,0.07643879,0.059944853,0.140185478,0.085281933,-0.016536511,-0.031455307,-0.116466239,-0.116466239
BWA,Botswana,0.856781379,0.856781379,0.796840489,0.736899587,0.699457645,0.662015628,0.650902748,0.63978995,0.657432234,0.723482442,0.573011645,0.476705541,0.48984142,0.471857653,0.392697201,0.432291648,0.432291648
BRA,Brazil,0.099588354,0.099588354,0.145981058,0.192373763,0.179961354,0.167548936,0.268063933,0.368578913,0.477439952,0.353336661,0.430191361,0.458153157,0.505937889,0.504027096,0.481392448,0.499221577,0.499221577
