ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.124922952,0.124922952,0.107922721,0.090922502,0.094907093,0.098891721,0.156378222,0.213864699,0.242054457,0.256346433,0.265656548,0.260266848,0.274385316,0.247167334,0.215178503,0.209081094,0.209081094
ALB,Albania,0.332848664,0.332848664,0.371616578,0.410384474,0.427581692,0.444778916,0.465034965,0.485291018,0.5196541,0.505259568,0.492297086,0.505595246,0.506702725,0.528872473,0.52101938,0.519502539,0.519502539
DZA,Algeria,0.243071811,0.243071811,0.228259182,0.213446537,0.238560247,0.263673967,0.276183987,0.288693998,0.278340248,0.347969471,0.351949467,0.311237168,0.302296749,0.303836128,0.294807008,0.298241158,0.298241158
AND,Andorra,0.827217217,0.827217217,0.825518966,0.823820718,0.821315527,0.818810369,0.804883051,0.7909557,0.763203318,0.795820332,0.787140429,0.768503804,0.766280974,0.773873421,0.769395423,0.77192525,0.77192525
AGO,Angola,0.170118147,0.170118147,0.192869544,0.215620947,0.20346179,0.191302632,0.21721859,0.243134565,0.250001041,0.246979802,0.252092491,0.25402256,0.271757764,0.280726234,0.2713978,0.27215087,0.27215087
ATG,Antigua and Barbuda,0.525557325,0.525557325,0.521010344,0.516463363,0.5232747,0.530086037,0.526222518,0.522358998,0.537543402,0.606193103,0.602510502,0.618650792,0.606496362,0.614304291,0.616464401,0.601597026,0.601597026
ARG,Argentina,0.559600154,0.559600154,0.545638368,0.531676577,0.541750526,0.551824473,0.542098719,0.532372961,0.563363736,0.567676795,0.543916514,0.567497109,0.573796841,0.553311485,0.548574906,0.561920828,0.561920828
ARM,Armenia,0.346228484,0.346228484,0.367428303,0.388628113,0.400968778,0.413309445,0.400633901,0.387958355,0.396402766,0.396615519,0.373666451,0.354047902,0.347570134,0.327869767,0.322509057,0.329657949,0.329657949
AUS,Australia,0.795026133,0.795026133,0.79001441,0.785002712,0.793915892,0.802829043,0.791144609,0.779460167,0.781201962,0.800298915,0.801401565,0.77606004,0.771012461,0.77552166,0.776483561,0.785780711,0.785780711
AUT,Austria,0.808347712,0.808347712,0.796247959,0.784148193,0.780520535,0.776892855,0.76903162,0.761170371,0.763463392,0.798638792,0.774721455,0.777775812,0.770344979,0.774550475,0.77807293,0.788135254,0.788135254
AZE,Azerbaijan,0.26899138,0.26899138,0.288802004,0.308612627,0.306161809,0.303710991,0.312231183,0.320751358,0.297461488,0.304094385,0.290150367,0.257592242,0.263285936,0.24439053,0.253496456,0.245533688,0.245533688
BHS,Bahamas,0.713982173,0.713982173,0.720959377,0.727936607,0.730354738,0.732772845,0.733684325,0.7345958,0.713596588,0.704687691,0.697211939,0.710590942,0.725763021,0.720793949,0.704660997,0.699704205,0.699704205
BHR,Bahrain,0.347571245,0.347571245,0.320479035,0.293386813,0.290432549,0.287478304,0.331904507,0.37633072,0.361431341,0.377541177,0.34644283,0.31594986,0.324619014,0.321171034,0.343526398,0.329030747,0.329030747
BGD,Bangladesh ,0.470285705,0.470285705,0.459344816,0.448403932,0.445805049,0.443206163,0.426584709,0.409963256,0.378861868,0.369018078,0.386955985,0.410062806,0.395423963,0.409464511,0.439935249,0.444878812,0.444878812
BRB,Barbados,0.802089247,0.802089247,0.796342373,0.790595527,0.787767911,0.784940287,0.780037451,0.775134606,0.743499461,0.730393588,0.711193122,0.728481247,0.727223432,0.713528086,0.740355024,0.742252994,0.742252994
BLR,Belarus,0.280925057,0.280925057,0.300620723,0.320316372,0.275184393,0.230052398,0.224922609,0.219792827,0.229244819,0.225837713,0.15092227,0.145903416,0.160999607,0.180092075,0.187605278,0.189255042,0.189255042
BEL,Belgium,0.796451744,0.796451744,0.78455205,0.772652343,0.775759625,0.778866905,0.777840948,0.77681496,0.794698311,0.793267284,0.781816308,0.774153637,0.777877119,0.771854405,0.781864018,0.785556774,0.785556774
BLZ,Belize,0.651738956,0.651738956,0.656703687,0.661668408,0.670678902,0.679689411,0.672340035,0.664990667,0.676452528,0.651859232,0.649719836,0.60812584,0.617540914,0.634190072,0.657078397,0.641562349,0.641562349
BEN,Benin,0.526060856,0.526060856,0.550471687,0.574882521,0.576211154,0.577539781,0.544617108,0.511694433,0.533609888,0.504494924,0.515626871,0.563369989,0.578454349,0.562755259,0.566527967,0.558015596,0.558015596
BTN,Bhutan,0.353244034,0.353244034,0.328599179,0.303954329,0.306101108,0.308247896,0.282139373,0.256030854,0.257121882,0.311996231,0.290056277,0.310425407,0.338473822,0.386724471,0.396320122,0.407620001,0.407620001
BOL,"Bolivia, Plurinational State of",0.507369518,0.507369518,0.532016116,0.556662714,0.536070114,0.515477516,0.514374873,0.51327223,0.49435345,0.467044073,0.463729874,0.516902258,0.509355497,0.4956285,0.491483617,0.482204381,0.482204381
BIH,Bosnia and Herzegovina,0.45684561,0.45684561,0.465735251,0.474624892,0.48050535,0.486385807,0.470381731,0.454377652,0.502187453,0.515287758,0.511988971,0.528037096,0.517056387,0.496692698,0.493708939,0.476706752,0.476706752
BWA,Botswana,0.671356276,0.671356276,0.659368098,0.647379917,0.639891529,0.632403126,0.63018055,0.62795799,0.631486447,0.644696488,0.614602329,0.595341108,0.597968284,0.594371531,0.57853944,0.58645833,0.58645833
BRA,Brazil,0.519917671,0.519917671,0.529196212,0.538474753,0.535992271,0.533509787,0.553612787,0.573715783,0.59548799,0.570667332,0.586038272,0.591630631,0.601187578,0.600805419,0.59627849,0.599844315,0.599844315
BRN,Brunei Darussalam,0.371881382,0.371881382,0.360431623,0.348981871,0.351422954,0.353864036,0.336251354,0.318638683,0.29843299,0.335986472,0.296330901,0.282312637,0.291577794,0.29906029,0.340671295,0.36084113,0.36084113
