ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,2,,,,,22,,,,,42,,,,,50,
ALB,Albania,98,,,,,98,,,,,96,,,,,95,
DZA,Algeria,93,,,,,89,,,,,85,,,,,83,
AND,Andorra,100,,,,,100,,,,,100,,,,,100,
AGO,Angola,43,,,,,46,,,,,48,,,,,51,
ATG,Antigua and Barbuda,91,,,,,91,,,,,,,,,,,
ARG,Argentina,95,,,,,96,,,,,96,,,,,,
ARM,Armenia,90,,,,,92,,,,,95,,,,,98,
AUS,Australia,100,,,,,100,,,,,100,,,,,100,
AUT,Austria,100,,,,,100,,,,,100,,,,,100,
AZE,Azerbaijan,71,,,,,74,,,,,77,,,,,80,
BHS,Bahamas,96,,,,,96,,,,,,,,,,,
BHR,Bahrain,,,,,,,,,,,,,,,,,
BGD,Bangladesh ,78,,,,,79,,,,,81,,,,,81,
BRB,Barbados,100,,,,,100,,,,,100,,,,,100,
BLR,Belarus,100,,,,,100,,,,,100,,,,,100,
BEL,Belgium,100,,,,,100,,,,,100,,,,,100,
BLZ,Belize,80,,,,,86,,,,,93,,,,,98,
BEN,Benin,62,,,,,66,,,,,70,,,,,75,
BTN,Bhutan,,,,,,86,,,,,91,,,,,96,
BOL,"Bolivia, Plurinational State of",76,,,,,80,,,,,84,,,,,88,
BIH,Bosnia and Herzegovina,97,,,,,97,,,,,98,,,,,99,
BWA,Botswana,94,,,,,95,,,,,96,,,,,96,
BRA,Brazil,91,,,,,94,,,,,96,,,,,98,
BRN,Brunei Darussalam,,,,,,,,,,,,,,,,,
BGR,Bulgaria,100,,,,,100,,,,,100,,,,,100,
BFA,Burkina Faso,51,,,,,60,,,,,70,,,,,79,
BDI,Burundi,71,,,,,72,,,,,72,,,,,72,
KHM,Cambodia,34,,,,,44,,,,,54,,,,,64,
CMR,Cameroon,57,,,,,64,,,,,71,,,,,77,
CAN,Canada,100,,,,,100,,,,,100,,,,,100,
CPV,Cape Verde,80,,,,,83,,,,,85,,,,,88,
CAF,Central African Republic,60,,,,,63,,,,,65,,,,,67,
TCD,Chad,42,,,,,45,,,,,48,,,,,51,
CHL,Chile,92,,,,,94,,,,,96,,,,,96,
