ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672,0.509166672
ALB,Albania,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672,0.285916672
DZA,Algeria,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338,0.665833338
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672,0.524416672
ATG,Antigua and Barbuda,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338,0.711583338
ARG,Argentina,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338,0.320583338
ARM,Armenia,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672,0.279666672
AUS,Australia,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672,0.491166672
AUT,Austria,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005,0.236000005
AZE,Azerbaijan,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005,0.291500005
