ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.084916513,0.084916513,0.079596448,0.074276379,0.073029367,0.071782366,0.109595807,0.1543495,0.161451272,0.173827668,0.180749676,0.171002517,0.155199215,0.140801015,0.13704789,0.128306104,0.128306104
ALB,Albania,0.344784789,0.344784789,0.353385146,0.361985508,0.373745656,0.38550581,0.396624439,0.40774307,0.438166738,0.425521719,0.413788427,0.417532212,0.44275205,0.473771584,0.47411112,0.465635674,0.465635674
DZA,Algeria,0.251722645,0.251722645,0.227994156,0.204265662,0.228089643,0.251913628,0.252196217,0.252478794,0.260880065,0.311288351,0.356438606,0.333044841,0.325758597,0.326037488,0.313518107,0.317191267,0.317191267
AND,Andorra,0.799402731,0.799402731,0.799591792,0.799780857,0.79869206,0.797603262,0.786424685,0.775246098,0.763021391,0.757648679,0.7705899,0.761987269,0.762754746,0.769462034,0.769211186,0.768964288,0.768964288
AGO,Angola,0.172199854,0.172199854,0.166460951,0.160722063,0.15848515,0.156248249,0.194712766,0.233177291,0.257678304,0.258085134,0.267302239,0.299134261,0.290038626,0.320000654,0.305755401,0.321167742,0.321167742
ATG,Antigua and Barbuda,0.610877169,0.610877169,0.610206311,0.609535446,0.611358604,0.613181754,0.612211681,0.611241613,0.624069952,0.667289344,0.6414034,0.68023846,0.677205113,0.682827271,0.678039798,0.683876118,0.683876118
ARG,Argentina,0.505328629,0.505328629,0.495857401,0.486386172,0.489772585,0.493158997,0.456681613,0.420204228,0.463521997,0.46162146,0.487318273,0.501292385,0.508939442,0.483781233,0.472338684,0.490875386,0.490875386
ARM,Armenia,0.385248535,0.385248535,0.376118541,0.366988545,0.374036189,0.381083833,0.386815733,0.39254763,0.442496464,0.414819056,0.407748921,0.393542459,0.407879183,0.400221002,0.416761787,0.400200755,0.400200755
AUS,Australia,0.813307961,0.813307961,0.79851985,0.78373174,0.80108223,0.818432723,0.800826867,0.783221014,0.776934448,0.802132048,0.78880148,0.785034642,0.790034466,0.798017341,0.781238097,0.786962258,0.786962258
AUT,Austria,0.819452496,0.819452496,0.813164155,0.806875811,0.797278913,0.787681982,0.799355157,0.811028333,0.791495564,0.81136949,0.795073555,0.797072509,0.813996777,0.810031768,0.788469773,0.778047692,0.778047692
AZE,Azerbaijan,0.281032819,0.281032819,0.29607079,0.311108765,0.30667603,0.302243306,0.293556889,0.284870466,0.304184951,0.291964013,0.290455173,0.28553192,0.310883186,0.325981132,0.319301539,0.316511929,0.316511929
BHS,Bahamas,0.717105945,0.717105945,0.725517909,0.733929885,0.741328875,0.748727864,0.741123048,0.733518231,0.718058058,0.724075365,0.718006205,0.720467478,0.714458654,0.719617181,0.717031121,0.721459485,0.721459485
BHR,Bahrain,0.430210907,0.430210907,0.425243617,0.420276323,0.436305475,0.452334632,0.486425733,0.520516834,0.514544203,0.516257933,0.47468433,0.430866447,0.442210123,0.440351637,0.458464204,0.436976978,0.436976978
BGD,Bangladesh,0.397816813,0.397816813,0.409208433,0.42060005,0.394114721,0.367629386,0.344063167,0.320496947,0.295777142,0.265801721,0.24769966,0.276417613,0.297810371,0.304801012,0.309386482,0.320575836,0.320575836
BRB,Barbados,0.756150429,0.756150429,0.756737177,0.757323939,0.75752329,0.757722632,0.752512193,0.74730176,0.733344471,0.733569962,0.731535876,0.724315142,0.735372831,0.730221679,0.739443304,0.747624879,0.747624879
BLR,Belarus,0.36666494,0.36666494,0.381915403,0.397165855,0.385449598,0.373733331,0.370949657,0.368165991,0.400838114,0.354638013,0.345065748,0.344010323,0.361916395,0.376442601,0.375799569,0.334457477,0.334457477
BEL,Belgium,0.766546324,0.766546324,0.756794612,0.747042896,0.756170273,0.765297645,0.765903489,0.766509313,0.745913499,0.735483165,0.736320133,0.730431205,0.729924567,0.721840173,0.743943299,0.748281157,0.748281157
BLZ,Belize,0.586269377,0.586269377,0.586490257,0.586711136,0.576854241,0.566997352,0.563437722,0.559878092,0.581497629,0.555699019,0.537941607,0.514213952,0.520752422,0.535582329,0.549201054,0.541377598,0.541377598
BEN,Benin,0.511340571,0.511340571,0.518108829,0.524877091,0.530395857,0.535914628,0.517388996,0.498863367,0.516725716,0.482661377,0.46418788,0.515388129,0.524529468,0.510509352,0.505209487,0.489630934,0.489630934
BTN,Bhutan,0.519935851,0.519935851,0.517676699,0.515417554,0.504338817,0.49326008,0.496463855,0.499667627,0.533673448,0.55206172,0.566749354,0.567600472,0.538811651,0.563504674,0.570611047,0.569416068,0.569416068
BOL,Bolivia,0.425751974,0.425751974,0.459162613,0.492573247,0.476982985,0.461392723,0.437634525,0.41387633,0.393636868,0.396320187,0.374625111,0.421311833,0.421898782,0.417254993,0.419535723,0.435606977,0.435606977
BIH,Bosnia and Herzegovina,0.418515429,0.418515429,0.425319169,0.4321229,0.427327242,0.422531584,0.434425523,0.446319462,0.45529516,0.481809909,0.462806375,0.463977985,0.442555755,0.441658979,0.430828352,0.426668715,0.426668715
BWA,Botswana,0.65899447,0.65899447,0.65817194,0.65734941,0.655442067,0.653534723,0.644208749,0.634882778,0.696597439,0.670110967,0.682016448,0.650220249,0.656367164,0.659257643,0.647674331,0.654411068,0.654411068
BRA,Brazil,0.478565759,0.478565759,0.483363389,0.48816102,0.503690303,0.519219586,0.530157396,0.541095205,0.534257119,0.502817015,0.49761526,0.504361758,0.50254743,0.515221259,0.538780406,0.540221033,0.540221033
BRN,Brunei Darussalam,0.569493807,0.569493807,0.557808296,0.546122781,0.553408496,0.56069421,0.543680092,0.526665987,0.522596995,0.562942941,0.534699265,0.522852942,0.525406575,0.543111944,0.602709216,0.59366029,0.59366029
BGR,Bulgaria,0.460039785,0.460039785,0.501557582,0.543075376,0.541002842,0.538930307,0.545690862,0.552451418,0.542297252,0.544704525,0.544829704,0.55973185,0.552247822,0.541951182,0.545827595,0.545323282,0.545323282
BFA,Burkina Faso,0.438520222,0.438520222,0.438593157,0.438666097,0.454789231,0.470912363,0.457714402,0.444516438,0.482118436,0.458958455,0.463557563,0.467803457,0.472526289,0.464803895,0.459403138,0.451670616,0.451670616
BDI,Burundi,0.145194759,0.145194759,0.152378209,0.159561669,0.167019717,0.174477773,0.181344791,0.18821179,0.192558084,0.177248756,0.289554006,0.285987689,0.286701453,0.274356323,0.297652429,0.263606039,0.263606039
KHM,Cambodia,0.307427787,0.307427787,0.296523321,0.285618865,0.311638912,0.337658953,0.334636748,0.331614544,0.327223454,0.345737529,0.324307402,0.331590069,0.337109226,0.338543828,0.314300534,0.31994025,0.31994025
CMR,Cameroon,0.287123534,0.287123534,0.292648582,0.298173643,0.304985134,0.311796624,0.307990595,0.304184579,0.329337343,0.333641372,0.336467985,0.343658326,0.346262562,0.327955951,0.348764848,0.325494288,0.325494288
CAN,Canada,0.831684366,0.831684366,0.825915647,0.82014694,0.824344532,0.828542113,0.822427591,0.816313084,0.808064788,0.793077466,0.779736858,0.795881718,0.792067854,0.796833292,0.806759359,0.792356249,0.792356249
CPV,Cape Verde,0.59224867,0.59224867,0.595848883,0.599449087,0.610744278,0.622039465,0.616150963,0.610262469,0.629007161,0.636483593,0.603100926,0.65764469,0.666522313,0.664262075,0.660210181,0.664156332,0.664156332
CAF,Central African Republic,0.265718398,0.265718398,0.292859602,0.320000802,0.311730905,0.303461002,0.270160103,0.236859209,0.222620547,0.233157708,0.269655402,0.242611743,0.240362021,0.245826649,0.248819168,0.230027318,0.230027318
TCD,Chad,0.298861887,0.298861887,0.287636646,0.276411398,0.287897317,0.299383227,0.283037305,0.266691387,0.248940406,0.239853639,0.224418701,0.189607174,0.18958973,0.169836003,0.205505332,0.217705175,0.217705175
CHL,Chile,0.68069816,0.68069816,0.652194109,0.623690063,0.656050207,0.688410361,0.712907509,0.737404656,0.700817381,0.719668797,0.738373121,0.699350612,0.685281119,0.681705935,0.69262722,0.7101815,0.7101815
CHN,China,0.380411716,0.380411716,0.366006589,0.351601456,0.361290371,0.370979289,0.347970289,0.324961299,0.327515771,0.337918373,0.321940982,0.316689049,0.311930419,0.325633197,0.319439267,0.298789985,0.298789985
COL,Colombia,0.3130782,0.3130782,0.314062552,0.315046897,0.320472268,0.325897631,0.321653966,0.317410306,0.293829046,0.326871334,0.339272903,0.360108887,0.354832964,0.349437853,0.351378143,0.361950684,0.361950684
COM,Comoros,0.421007893,0.421007893,0.414024593,0.407041293,0.378838046,0.350634799,0.387643152,0.4246515,0.370684863,0.407493194,0.391937949,0.425974556,0.359508712,0.360573732,0.384319961,0.395526424,0.395526424
COG,Congo,0.268591822,0.268591822,0.234988888,0.201385945,0.225165892,0.248945834,0.260081697,0.271217551,0.29887751,0.305624774,0.286105629,0.290921612,0.300963428,0.303560373,0.333851249,0.338797345,0.338797345
COD,"Congo,DRC",0.124487459,0.124487459,0.122274935,0.120062429,0.139684701,0.159307003,0.181352878,0.203398786,0.198841459,0.192567705,0.198423997,0.217977044,0.231024349,0.239003268,0.219574914,0.219952285,0.219952285
CRI,Costa Rica,0.655112806,0.655112806,0.671990538,0.688868261,0.682657743,0.676447221,0.678264705,0.680082192,0.653684767,0.626519648,0.629985208,0.632025629,0.631002433,0.617394209,0.651868515,0.655893227,0.655893227
CIV,Cªte d'Ivoire,0.469906239,0.469906239,0.442769079,0.415631919,0.353680905,0.291729892,0.262286596,0.232843278,0.227853835,0.18593111,0.165391588,0.198260158,0.212654277,0.218354531,0.264764747,0.245526733,0.245526733
HRV,Croatia,0.414119249,0.414119249,0.418737874,0.4233565,0.476341005,0.529325508,0.557208375,0.585091242,0.590801042,0.600687568,0.569513495,0.568137366,0.577679188,0.574262499,0.574585034,0.572824695,0.572824695
CUB,Cuba,0.443269299,0.443269299,0.431356032,0.419442768,0.424640325,0.429837887,0.432243501,0.434649122,0.409738451,0.42231003,0.419625036,0.41077537,0.413530738,0.425723823,0.435362461,0.443657054,0.443657054
CYP,Cyprus,0.713058873,0.713058873,0.691021013,0.668983156,0.679891296,0.690799439,0.680933001,0.671066567,0.679522485,0.647005569,0.652238056,0.677971906,0.67511403,0.694879784,0.66516805,0.669556305,0.669556305
CZE,Czech Republic,0.681513555,0.681513555,0.667110546,0.652707535,0.618573471,0.5844394,0.618808609,0.653177817,0.650684192,0.631401418,0.650864836,0.653259475,0.650136583,0.659168619,0.657175527,0.653206233,0.653206233
DNK,Denmark,0.853809396,0.853809396,0.850175198,0.846540997,0.857528448,0.868174485,0.862883886,0.857251847,0.848871054,0.859498092,0.841797544,0.843718608,0.837360526,0.842284217,0.836027845,0.830959555,0.830959555
DJI,Djibouti,0.373397203,0.373397203,0.34108723,0.308777251,0.340586285,0.372395319,0.378934256,0.385473206,0.343096915,0.40658073,0.340609767,0.368280381,0.381520177,0.431537709,0.439243703,0.423176207,0.423176207
DMA,Dominica,0.666614575,0.666614575,0.652479752,0.638344932,0.625744849,0.613144764,0.624850768,0.636556765,0.648991854,0.675718964,0.66693285,0.675562539,0.667918563,0.677061627,0.662670551,0.684263214,0.684263214
DOM,Dominican Republic,0.478603433,0.478603433,0.447828802,0.417054174,0.442941323,0.468828473,0.481363349,0.493898225,0.428515079,0.454159325,0.442396172,0.465100196,0.462662838,0.461738786,0.463438088,0.449851246,0.449851246
ECU,Ecuador,0.3780001,0.3780001,0.393881839,0.40976357,0.385074607,0.360385635,0.366430603,0.372475575,0.371567364,0.381995488,0.372053272,0.370082951,0.375380394,0.384331841,0.374713317,0.380607825,0.380607825
EGY,Egypt,0.403280922,0.403280922,0.410969128,0.418657331,0.416335122,0.414012919,0.395614892,0.377216862,0.349900341,0.345889183,0.351347643,0.316301513,0.334610018,0.340446431,0.353403659,0.322144891,0.322144891
