ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.067873321,0.067873321,0.068474393,0.069075452,0.067801709,0.066527965,0.065431218,0.064536734,0.070382113,0.07835056,0.079266465,0.072231409,0.090843234,0.114384894,0.146322922,0.151237161,0.151237161
ALB,Albania,0.251356264,0.251493103,0.242578513,0.239281207,0.243368855,0.24657013,0.277901676,0.313345642,0.323392182,0.35383526,0.373667188,0.399591551,0.425214938,0.457109112,0.472154035,0.475676378,0.476676378
DZA,Algeria,0.233009715,0.239459656,0.243545144,0.247597873,0.252022186,0.256748171,0.278705091,0.306002548,0.320858573,0.340505892,0.392792191,0.440546483,0.480542208,0.486910513,0.523009155,0.517398342,0.519898342
AND,Andorra,0.368424315,0.37741836,0.389084418,0.409264486,0.431661799,0.440744368,0.457371935,0.463471332,0.500443145,0.51886056,0.524452552,0.544146078,0.530336489,0.534270238,0.535466888,0.5341203,0.5341203
AGO,Angola,0.137961301,0.137979841,0.135529353,0.13306214,0.135826416,0.13899633,0.139852078,0.140861501,0.158688844,0.167538224,0.177076954,0.201913197,0.212808648,0.231608839,0.25787019,0.258375059,0.261041726
ATG,Antigua and Barbuda,0.367189365,0.367189365,0.36799445,0.368789624,0.388548213,0.426038072,0.432404758,0.466829993,0.489388387,0.50373106,0.538466898,0.563878946,0.563293057,0.562454187,0.56563945,0.5722992,0.5722992
ARG,Argentina,0.471936526,0.473283157,0.477597095,0.478264877,0.48188107,0.514375751,0.518269245,0.514079775,0.52840457,0.561179773,0.612619684,0.669200465,0.682691666,0.692001688,0.705639531,0.708122644,0.70978931
ARM,Armenia,0.318537951,0.318555465,0.313579323,0.338429681,0.356277961,0.353584366,0.363073033,0.37653782,0.376430331,0.379035068,0.405467484,0.477980078,0.525675344,0.570516415,0.623779948,0.673847048,0.675013715
AUS,Australia,0.779906756,0.797284994,0.804718079,0.792563735,0.801202518,0.818387273,0.844060576,0.879909117,0.898254439,0.916190261,0.925037918,0.939969243,0.942339842,0.942276482,0.940689828,0.938346672,0.935680006
AUT,Austria,0.638165299,0.654666889,0.67492775,0.712491395,0.769567824,0.821666636,0.831712501,0.787581654,0.796983466,0.802644243,0.805327702,0.81255028,0.829480017,0.858793528,0.870325665,0.870082959,0.869916293
AZE,Azerbaijan,0.289996356,0.288080259,0.285545064,0.275378841,0.286106052,0.286116599,0.300071598,0.306840875,0.312813452,0.321368287,0.33569286,0.352887206,0.377832928,0.470067297,0.498132545,0.501354511,0.502187845
BHS,Bahamas,0.445949924,0.446466163,0.451589928,0.457093185,0.462897458,0.473414055,0.493855039,0.53328178,0.53248007,0.569593364,0.591823346,0.589826071,0.621506459,0.617840778,0.591651901,0.586388538,0.587805207
BHR,Bahrain,0.348686163,0.353944409,0.374332226,0.398957229,0.412939832,0.431154282,0.465012231,0.498063501,0.518272275,0.562752188,0.545784108,0.534122297,0.540486297,0.614581162,0.616796975,0.626225435,0.616392102
BGD,Bangladesh,0.235922039,0.235924275,0.237330869,0.238776231,0.239584435,0.240361434,0.245244928,0.244348285,0.232855898,0.236562821,0.250980644,0.272692643,0.282783997,0.304417112,0.3219285,0.342771862,0.344521865
BRB,Barbados,0.529709504,0.53086911,0.539148913,0.548992668,0.559938143,0.601876664,0.619986546,0.666523502,0.708976029,0.760577289,0.771921816,0.799099283,0.823355721,0.858354521,0.864641019,0.849672178,0.849672178
BLR,Belarus,0.43654099,0.447705119,0.451035115,0.465287076,0.474076194,0.477605886,0.480547882,0.487547947,0.515887712,0.544801181,0.590669747,0.62056355,0.661443096,0.706720335,0.740920583,0.7341179,0.725284566
BEL,Belgium,0.63110776,0.643465831,0.647394995,0.656469487,0.68667222,0.739827465,0.780913652,0.792514838,0.804692611,0.822698965,0.824252345,0.829940681,0.837668083,0.842724418,0.858570403,0.866209314,0.866709314
BLZ,Belize,0.389858637,0.390357219,0.381067607,0.372247977,0.37903099,0.390980493,0.399398226,0.40799582,0.424229156,0.419477266,0.430282827,0.44941291,0.449245005,0.466363829,0.472564889,0.49309447,0.485927804
BEN,Benin,0.255011553,0.254929773,0.25752636,0.259859821,0.257776274,0.257418901,0.260176595,0.263585918,0.254479128,0.255128665,0.262325976,0.270554276,0.292179608,0.321910083,0.336710364,0.379180195,0.380513529
BTN,Bhutan,0.334043229,0.334043229,0.33704489,0.340046551,0.338882543,0.340005297,0.33656994,0.335775238,0.352134848,0.358685688,0.366029767,0.373633847,0.399372252,0.432170252,0.440565816,0.449108162,0.447058591
BOL,Bolivia,0.349832584,0.350463227,0.363862469,0.378009757,0.389142449,0.399504922,0.413172604,0.418966624,0.427890988,0.4347532,0.433814271,0.401650139,0.404830283,0.44953109,0.462411788,0.482781477,0.481614811
BIH,Bosnia and Herzegovina,0.398645481,0.398729512,0.386940169,0.375584323,0.376845598,0.378718619,0.395140876,0.409027234,0.421323881,0.452775027,0.456725614,0.474305807,0.502278734,0.547382396,0.573365863,0.566862808,0.567196141
BWA,Botswana,0.337039915,0.338828201,0.340741545,0.344313882,0.350419368,0.364115836,0.375800793,0.376247815,0.402540917,0.40529525,0.414200507,0.437953557,0.474308548,0.502508652,0.530511709,0.529634592,0.529967925
BRA,Brazil,0.309649116,0.310993202,0.317332894,0.324443074,0.338338958,0.353876096,0.367342429,0.384384463,0.394445976,0.424941964,0.451836258,0.475651472,0.506232414,0.557579698,0.587050201,0.601572773,0.60373944
BRN,Brunei Darussalam,0.333430439,0.33844383,0.337417477,0.338271404,0.35983821,0.380930921,0.419770768,0.422698223,0.452640793,0.45317355,0.463475342,0.499366488,0.534018798,0.541374668,0.569283403,0.562305084,0.562305084
BGR,Bulgaria,0.450994717,0.473041516,0.484912388,0.486238194,0.502800834,0.512036625,0.529048881,0.548744316,0.565085439,0.602511512,0.647864821,0.672004312,0.691466994,0.689525638,0.712701329,0.717123974,0.720790641
BFA,Burkina Faso,0.187900942,0.187736215,0.19214412,0.196879116,0.201908859,0.207615173,0.207587462,0.208080703,0.213238291,0.217522371,0.226990021,0.238698451,0.253184402,0.30937924,0.318719163,0.321617543,0.330617543
BDI,Burundi,0.157887808,0.157887568,0.161608408,0.165327533,0.163716045,0.162877413,0.166518053,0.173414652,0.169937008,0.168963262,0.196474091,0.212571011,0.205392366,0.228365635,0.233038068,0.238633684,0.238800351
KHM,Cambodia,0.179274072,0.180205007,0.178894244,0.179216133,0.186937523,0.194848925,0.188310091,0.183999629,0.179156732,0.183720996,0.194054439,0.207699089,0.234552371,0.261264838,0.28749958,0.315400385,0.316900385
CMR,Cameroon,0.179687025,0.179695194,0.19117186,0.202649392,0.198102886,0.193530274,0.196049445,0.200010187,0.215375194,0.209792624,0.228317764,0.245778369,0.263504611,0.278530181,0.301338317,0.311684271,0.313517604
CAN,Canada,0.767050178,0.772542043,0.778267011,0.735929225,0.748156414,0.753036829,0.764288446,0.771271277,0.780176166,0.791093763,0.801095752,0.81476711,0.823636358,0.83144953,0.838265706,0.838214881,0.838381548
CPV,Cape Verde,0.302177565,0.302177565,0.314239383,0.326731716,0.327559101,0.330967738,0.315461749,0.311968355,0.319752271,0.346593579,0.354295979,0.384665685,0.407445483,0.441044427,0.459849774,0.501600394,0.499100394
CAF,Central African Republic,0.155502096,0.155557871,0.157817745,0.160075158,0.159838113,0.159378038,0.17037028,0.181138859,0.145706362,0.147752252,0.162742575,0.159462955,0.165026398,0.173799977,0.205404204,0.213646433,0.215146433
TCD,Chad,0.179212961,0.179212961,0.177662033,0.176547865,0.179036184,0.18164838,0.182409017,0.183311758,0.163362891,0.164341949,0.154001586,0.15987343,0.167425634,0.173670785,0.192418813,0.195699324,0.19386599
CHL,Chile,0.509426503,0.52121087,0.52873816,0.546548758,0.58504853,0.598861604,0.626819941,0.647821644,0.663813884,0.689841786,0.728766726,0.740893068,0.782977258,0.803054012,0.823567878,0.825283292,0.826283292
CHN,China,0.273188473,0.276074921,0.278903861,0.282715887,0.285185869,0.293205816,0.315996576,0.341417814,0.357294392,0.380313265,0.396143247,0.403167094,0.424776896,0.443453107,0.452219446,0.477461164,0.478294498
COL,Colombia,0.289640534,0.296961227,0.319079659,0.336924255,0.331167312,0.333922988,0.345778732,0.355174872,0.358595815,0.395474711,0.464683145,0.515445886,0.540730425,0.583359942,0.603682158,0.629676933,0.6303436
COM,Comoros,0.149235359,0.149235359,0.143958613,0.138681863,0.139385688,0.139668593,0.149084255,0.158499909,0.174840022,0.17025502,0.175064047,0.187223467,0.191428248,0.198826615,0.207619763,0.226450098,0.227283432
COG,Congo,0.143993336,0.144059235,0.141531612,0.139003981,0.142761129,0.157543176,0.161414067,0.166429985,0.179504064,0.181030162,0.178033377,0.213092041,0.236895686,0.262165016,0.277834994,0.349949784,0.360199779
COD,"Congo,DRC",0.121481329,0.120305987,0.112475762,0.104642982,0.111462322,0.121114327,0.130931353,0.141690443,0.140174064,0.150123682,0.161683815,0.165598608,0.174714529,0.193102014,0.194794211,0.184045393,0.186878726
CRI,Costa Rica,0.427300577,0.428722065,0.434760323,0.442069366,0.440214262,0.440386115,0.446866163,0.45588375,0.464784556,0.469273883,0.471011096,0.476192001,0.474522012,0.49496139,0.501282272,0.54386161,0.546944946
CIV,Cªte d'Ivoire,0.231296664,0.234289331,0.231747685,0.229575431,0.229119162,0.227555122,0.224145968,0.221116021,0.213582756,0.22499006,0.229900543,0.250432192,0.283636353,0.309933464,0.345813016,0.361509982,0.361509982
HRV,Croatia,0.332976942,0.339784142,0.348601583,0.365498973,0.38952547,0.433471736,0.469000967,0.499207052,0.530713767,0.561342425,0.60824487,0.618563806,0.635934303,0.646313522,0.64535679,0.653412698,0.653912698
CUB,Cuba,0.2080357,0.20228957,0.203134601,0.205997123,0.239537629,0.246011222,0.255819559,0.259239153,0.282448509,0.391669495,0.430961677,0.493404697,0.496156892,0.494148311,0.505828462,0.513148827,0.513148827
